player,normalized_player,pfr_player_id,gsis_id,cfb_player_id,draft_season,position,college,height_raw,height,weight,forty,vertical,broad,three_cone,short_shuttle,bench,combine_invite,combine_participation,pro_day_used,testing_source,ras_score,speed_score,burst_score,agility_score,ten_yard_split,twenty_yard_split,arm_length,hand_size,wingspan,bmi,testing_coverage_score,testing_notes
Jacoby Brissett,jacobybrissett,BrisJa00,00-0033119,jacoby-brissett-2,2016,QB,North Carolina State,6-4,76.0,231.0,4.94,31.0,113.0,7.17,4.53,,1,1,0,nflverse_combine,,,,,,,,,,28.11513157894737,0.8888888888888888,
Kentrell Brothers,kentrellbrothers,BrotKe00,00-0032422,kentrell-brothers-1,2016,OLB,Missouri,6-0,72.0,245.0,4.89,28.5,110.0,6.99,4.11,19.0,1,1,0,nflverse_combine,,,,,,,,,,33.22434413580247,1.0,
Anthony Brown,anthonybrown,BrowAn02,00-0033047,anthony-brown-6,2016,CB,Purdue,5-11,71.0,192.0,4.33,35.0,115.0,7.03,4.19,19.0,1,1,0,nflverse_combine,,,,,,,,,,26.77563975401706,1.0,
Beniquez Brown,beniquezbrown,BrowBe00,,beniquez-brown-1,2016,OLB,Mississippi State,6-1,73.0,229.0,4.77,31.0,110.0,7.07,4.28,18.0,1,1,0,nflverse_combine,,,,,,,,,,30.209607806342653,1.0,
Chris Brown,chrisbrown,BrowCh07,,chris-brown-11,2016,WR,Notre Dame,6-2,74.0,194.0,4.48,,,,,,1,1,0,nflverse_combine,,,,,,,,,,24.905405405405407,0.4444444444444444,
Lamarcus Brutus,lamarcusbrutus,BrutLa00,,lamarcus-brutus-1,2016,S,Florida State,6-0,72.0,206.0,4.76,33.0,114.0,7.08,4.33,14.0,1,1,0,nflverse_combine,,,,,,,,,,27.93557098765432,1.0,
Deforest Buckner,deforestbuckner,BuckDe00,00-0032378,deforest-buckner-1,2016,DE,Oregon,6-7,79.0,291.0,5.05,32.0,116.0,7.51,4.47,,1,1,0,nflverse_combine,,,,,,,,,,32.77888158948886,0.8888888888888888,
Jonathan Bullard,jonathanbullard,BullJo00,00-0033093,jonathan-bullard-1,2016,DE,Florida,6-3,75.0,285.0,4.93,32.0,116.0,7.31,4.56,23.0,1,1,0,nflverse_combine,,,,,,,,,,35.61866666666667,1.0,
Aaron Burbridge,aaronburbridge,BurbAa00,00-0032441,aaron-burbridge-1,2016,WR,Michigan State,6-0,72.0,206.0,4.56,30.5,115.0,7.22,4.31,20.0,1,1,0,nflverse_combine,,,,,,,,,,27.93557098765432,1.0,
Artie Burns,artieburns,BurnAr00,00-0033103,artie-burns-1,2016,CB,Miami (FL),6-0,72.0,193.0,4.46,31.5,,,,,1,1,0,nflverse_combine,,,,,,,,,,26.172646604938272,0.5555555555555556,
Juston Burris,justonburris,BurrJu00,00-0032403,juston-burris-1,2016,CB,North Carolina State,6-0,72.0,212.0,4.53,36.5,122.0,7.1,4.4,19.0,1,1,0,nflverse_combine,,,,,,,,,,28.749228395061728,1.0,
Deon Bush,deonbush,BushDe00,00-0032774,deon-bush-1,2016,S,Miami (FL),6-0,72.0,199.0,4.64,36.0,123.0,,,17.0,1,1,0,nflverse_combine,,,,,,,,,,26.98630401234568,0.7777777777777778,
Vernon Butler,vernonbutler,ButlVe00,00-0032967,vernon-butler-1,2016,DT,Louisiana Tech,6-4,76.0,323.0,5.33,29.5,104.0,7.82,4.76,26.0,1,1,0,nflverse_combine,,,,,,,,,,39.3125,1.0,
Devon Cajuste,devoncajuste,CajuDe01,00-0032716,devon-cajuste-1,2016,WR,Stanford,6-4,76.0,234.0,4.62,36.0,123.0,6.49,4.2,12.0,1,1,0,nflverse_combine,,,,,,,,,,28.480263157894736,1.0,
Shilique Calhoun,shiliquecalhoun,CalhSh00,00-0033122,shilique-calhoun-1,2016,DE,Michigan State,6-4,76.0,251.0,4.82,35.0,115.0,6.97,4.25,23.0,1,1,0,nflverse_combine,,,,,,,,,,30.549342105263158,1.0,
Taveze Calhoun,tavezecalhoun,CalhTa01,00-0032663,taveze-calhoun-1,2016,CB,Mississippi State,6-0,72.0,192.0,4.58,33.5,,,,14.0,1,1,0,nflverse_combine,,,,,,,,,,26.037037037037038,0.6666666666666666,
De'Vondre Campbell,devondrecampbell,CampDe00,00-0032401,devondre-campbell-1,2016,OLB,Minnesota,6-4,76.0,232.0,4.58,34.0,116.0,,,16.0,1,1,0,nflverse_combine,,,,,,,,,,28.236842105263158,0.7777777777777778,
Maurice Canady,mauricecanady,CanaMa00,00-0032438,maurice-canady-1,2016,CB,Virginia,6-1,73.0,193.0,4.49,38.0,124.0,7.03,4.09,16.0,1,1,0,nflverse_combine,,,,,,,,,,25.460499155563895,1.0,
Leonte Carroo,leontecarroo,CarrLe00,00-0033060,leonte-carroo-1,2016,WR,Rutgers,6-0,72.0,211.0,4.5,35.5,120.0,,,14.0,1,1,0,nflverse_combine,,,,,,,,,,28.613618827160494,0.7777777777777778,
Tra Carson,tracarson,CarsTr01,00-0032540,tra-carson-1,2016,RB,Texas A&M,5-11,71.0,227.0,4.63,,,,,19.0,1,1,0,nflverse_combine,,,,,,,,,,31.656615750843088,0.5555555555555556,
