player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Shane Carden,10001,QB,E CAROLINA,13,2.8,2.64,3.9,5.07,679,156,77.2,325,331,5.6,1.79,6,5,1.4,69.8,231,57,8.0,334,49.2,20,0.29,1,,,,,77.2,80.0,84.3,,78.4,,,,,,0,1,355,55.7,5.3,108.5,0.9,3,0,0,0,20,5,1.4,2335,7.1,67.6,256,289,13.2,3.77,1,14,4.6,56.1,162,171,6.4,345,50.8,11,0.03,2,,,,,69.4,80.3,67.6,,79.5,,,63.1,,,2,9,360,46.4,17.5,81.8,8.7,30,26,0,30,10,11,3.1,2392,8.3
Anu Solomon,46599,QB,ARIZONA,14,2.54,2.27,4.48,4.47,626,109,72.3,365,368,7.2,1.69,2,10,2.6,64.7,238,25,9.8,370,59.1,26,0.16,1,,,,,77.8,75.5,84.9,,74.0,,,,,,0,3,394,50.8,8.0,96.0,0.5,2,0,0,1,16,7,1.8,2553,6.9,55.1,158,181,15.4,3.76,1,13,6.7,42.0,76,114,12.6,256,40.9,11,-0.29,2,,,,,66.0,61.6,63.1,,61.1,,,61.4,,,0,6,270,36.7,29.8,73.5,13.3,34,41,0,22,12,8,3.0,1224,6.8
Brandon Doughty,10857,QB,W KENTUCKY,13,2.48,2.39,3.42,4.79,588,346,81.5,329,341,5.1,1.8,8,11,3.2,72.7,248,50,7.5,346,58.8,20,0.27,1,,,,,77.2,78.5,84.3,,77.0,,,,,,2,7,352,52.6,10.0,105.9,1.4,5,0,0,2,21,9,2.6,2555,7.5,69.1,204,213,14.4,3.45,0,16,7.1,59.6,127,85,9.9,242,41.2,14,0.27,1,,,,,47.8,90.4,60.5,,90.8,,,49.4,,,2,3,254,48.3,17.6,130.1,6.2,15,14,0,7,28,5,2.0,2280,10.7
Pete Thomas,12587,QB,LA MONROE,12,2.59,2.41,3.24,4.0,588,209,75.1,289,301,4.5,1.84,8,4,1.3,67.4,203,101,6.5,308,52.4,14,-0.12,1,,,,,76.7,63.3,83.8,,62.6,,,,,,2,4,320,43.8,6.9,83.3,2.3,7,0,0,2,6,4,1.3,1726,5.7,66.7,165,200,11.8,3.42,2,10,4.8,49.5,99,162,10.0,279,47.4,11,-0.19,0,,,,,57.4,61.3,83.3,,66.6,,,45.9,,,5,2,290,36.2,24.1,82.9,14.0,39,40,0,28,8,6,2.1,1461,7.3
Christian Hackenberg,10685,QB,PENN STATE,13,2.67,2.43,3.52,5.29,561,266,76.0,258,265,4.1,1.7,4,4,1.5,68.3,181,41,7.7,271,48.3,15,-0.13,1,,,,,66.4,58.7,83.1,,58.2,,,,,,0,7,280,50.2,14.6,81.1,2.2,6,0,0,3,6,7,2.5,1623,6.1,52.3,197,220,14.7,3.58,4,20,8.5,40.5,89,142,13.6,290,51.7,14,-0.33,0,,,,,67.6,43.6,65.7,,49.2,53.5,,40.8,,,3,8,307,32.8,27.5,55.2,13.4,39,31,0,16,6,15,4.9,1343,6.1
Trevone Boykin,11279,QB,TCU,13,2.59,2.31,3.98,5.03,559,305,74.8,310,319,6.7,1.71,7,10,3.0,68.7,219,39,5.6,321,57.4,13,0.18,0,,,,,76.9,80.7,84.0,,79.1,,,,,,2,8,332,53.0,5.1,102.5,0.6,2,0,0,0,21,9,2.7,2429,7.6,56.6,159,174,20.4,3.78,1,15,8.1,47.1,82,80,8.9,238,42.6,8,0.06,0,,,,,65.4,71.5,82.5,,67.4,,,70.6,,,0,2,252,42.0,23.8,94.9,8.0,19,45,0,14,12,16,6.3,1474,8.5
Jared Goff,10635,QB,CAL,12,2.46,2.31,3.43,4.79,554,130,77.0,326,338,7.0,1.78,7,11,3.1,68.9,233,52,7.2,342,61.7,18,0.22,1,,,,,69.1,89.4,84.4,,87.1,,,,,,3,5,357,54.4,7.7,102.3,1.2,4,0,0,2,21,4,1.1,2290,6.8,60.0,145,169,17.3,3.55,2,19,10.3,47.3,80,122,8.0,212,38.3,7,0.08,1,,,,,31.0,74.5,59.7,,75.4,,,58.1,,,7,2,231,41.0,17.2,105.2,9.9,21,22,0,15,14,11,4.8,1664,9.8
Connor Halliday,9724,QB,WASH STATE,9,2.23,2.15,3.5,5.42,551,341,77.4,350,354,6.1,1.62,2,20,5.4,70.6,250,24,7.7,356,64.6,21,0.08,1,,,,,77.5,84.7,84.6,,82.8,,,,,,0,8,372,48.6,8.3,102.6,0.6,2,0,0,2,23,13,3.5,2498,7.1,71.4,154,171,10.3,3.34,2,9,5.0,58.5,100,75,9.1,195,35.4,10,-0.12,1,,,,,39.4,73.5,57.3,,75.1,,,49.1,,,2,3,208,44.1,24.0,93.8,9.2,18,6,0,13,9,8,3.8,1342,7.8
Sefo Liufau,12064,QB,COLORADO,12,2.7,2.56,3.28,5.26,539,143,82.0,256,261,3.4,1.92,3,6,2.2,77.0,201,40,4.3,262,48.6,9,0.17,1,,,,,76.0,67.9,83.0,,67.0,,,,,,1,6,274,55.7,2.5,100.7,0.4,1,0,0,1,15,7,2.6,1555,6.0,66.3,205,237,11.4,3.44,1,12,4.7,51.9,123,106,9.6,277,51.4,13,-0.21,2,,,,,42.2,67.2,83.3,,69.5,,,49.1,,,4,9,295,40.8,16.0,76.4,6.1,17,23,0,27,13,13,4.4,1627,6.9
Andrew Hendrix,14711,QB,MIAMI OH,12,2.74,2.54,3.45,4.54,537,221,57.7,222,229,10.6,1.99,2,9,3.7,51.5,118,61,7.8,242,45.1,10,-0.02,0,,,,,75.7,54.7,82.6,,53.7,,,69.4,,,0,4,256,45.5,19.7,83.6,5.0,12,1,0,5,14,11,4.3,1401,6.1,53.7,201,230,17.8,3.37,1,22,9.2,44.3,102,132,5.6,294,54.7,6,-0.02,0,,,,,40.3,68.8,83.5,,65.4,,,70.8,,,3,5,306,42.9,23.5,76.0,10.5,31,33,0,25,9,14,4.6,1822,7.9
