player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
James Knapke,46506,QB,BOWL GREEN,13,2.45,2.31,3.41,4.45,532,122,77.1,306,318,5.7,1.79,7,10,3.0,67.9,216,43,8.5,323,60.7,20,-0.11,1,,,,,68.5,69.3,84.1,,68.5,,,57.3,,,0,5,340,44.6,9.3,87.4,1.2,4,1,0,5,10,10,2.9,1891,5.9,49.7,143,170,19.0,3.48,5,17,9.3,39.4,67,75,5.6,209,39.3,4,-0.31,1,,,,,52.5,46.5,32.9,,53.8,,,37.3,,,0,7,222,33.5,17.3,61.6,6.2,13,26,0,22,6,12,5.4,1309,7.7
Taylor Heinicke,9896,QB,DOMINION,12,2.85,2.59,3.86,5.09,527,263,80.2,222,232,7.0,1.81,4,12,4.9,72.0,167,32,6.2,232,44.0,11,0.14,1,,,,,75.4,85.2,82.4,,83.4,,,,,,1,4,244,52.6,0.0,105.9,0.0,0,0,0,5,17,4,1.6,1479,6.4,66.5,206,226,14.0,3.66,1,24,9.8,54.0,122,135,10.9,295,56.0,15,0.1,1,,,,,67.8,85.3,83.7,,85.1,,,62.5,,,1,12,317,46.8,23.0,80.7,10.5,31,38,0,18,13,12,3.8,1985,8.8
Sam Richardson,18467,QB,IOWA STATE,11,2.78,2.51,3.68,5.21,520,193,70.7,242,249,5.5,1.88,6,6,2.3,61.8,154,35,9.9,253,48.7,17,-0.03,1,,,,,75.8,65.5,82.8,,64.7,,,,,,1,6,264,46.2,11.4,87.0,1.6,4,0,0,0,14,7,2.7,1476,5.9,63.5,181,204,10.7,3.64,8,11,5.1,49.0,100,110,13.0,267,51.3,15,-0.18,1,,,,,56.7,60.9,83.1,,56.4,,,70.0,,,1,3,279,41.9,20.0,67.6,8.2,22,41,0,14,4,15,5.4,1186,5.8
Fredi Knighten,17824,QB,ARK STATE,13,2.85,2.54,3.65,5.18,514,113,81.7,230,242,3.7,1.8,6,9,3.6,74.4,180,37,4.3,248,48.2,8,0.28,3,,,,,55.0,81.5,82.6,,80.0,,,,,,1,3,255,53.6,16.2,115.4,2.4,6,0,0,5,16,5,2.0,2001,8.3,64.2,162,190,12.3,3.83,3,10,4.9,47.4,90,138,13.5,265,51.6,14,-0.19,1,,,,,47.4,55.8,83.2,,57.4,,,54.1,,,1,4,284,41.1,21.7,75.1,11.3,30,45,0,24,8,15,5.3,1288,6.8
Dane Evans,46560,QB,TULSA,12,2.46,2.3,3.3,4.62,514,320,72.4,275,283,7.1,1.74,6,12,4.1,62.9,178,48,10.6,286,55.6,21,-0.08,4,,,,,67.1,67.5,63.8,,67.0,,,,,,0,8,297,45.5,6.3,86.8,1.0,3,0,0,2,16,12,4.0,1714,6.1,58.0,169,181,15.1,3.37,0,9,4.6,43.6,79,100,19.4,228,44.4,19,-0.2,2,,,,,68.2,48.6,82.4,,52.3,,,45.3,,,1,9,245,39.5,21.0,62.5,9.2,21,26,0,11,7,18,7.3,1384,7.6
Marcus Mariota,9435,QB,OREGON,15,2.83,2.57,3.66,5.27,513,264,83.3,240,241,5.8,1.79,1,5,2.0,78.0,188,17,6.0,246,48.0,12,0.49,2,,,,,75.6,90.0,82.6,,88.1,,,,,,0,2,254,56.5,29.4,128.8,2.0,5,0,0,0,20,2,0.8,2193,9.1,68.6,194,203,14.8,3.79,1,21,9.5,56.7,115,117,13.5,267,52.0,18,0.29,2,,,,,47.7,92.5,63.1,,91.3,,,79.5,,,0,2,286,49.8,23.1,127.6,10.1,27,37,0,8,22,12,4.2,2256,11.1
Rakeem Cato,14642,QB,MARSHALL,14,2.71,2.52,3.46,4.59,508,214,69.6,237,241,11.4,1.9,2,22,8.7,63.9,154,23,6.7,245,48.2,11,0.19,3,,,,,75.7,84.9,82.7,,83.1,,,,,,1,5,258,53.1,17.4,109.1,1.6,4,0,0,1,21,5,1.9,1928,8.0,60.8,199,209,17.6,3.48,0,32,14.3,53.6,112,66,7.4,262,51.6,9,0.24,1,,,,,59.8,88.5,62.7,,81.4,,,84.9,,,2,8,281,52.3,25.8,98.7,6.5,17,36,0,8,18,12,4.3,1968,9.4
Jameis Winston,9434,QB,FLORIDA ST,13,2.74,2.54,4.48,5.42,508,167,78.9,242,247,5.4,1.91,3,7,2.8,72.5,179,38,6.3,248,48.8,12,0.19,2,,,,,75.6,79.3,82.6,,77.9,,,,,,1,8,253,57.3,2.6,92.3,0.4,1,0,0,1,11,5,2.0,1687,6.8,65.4,208,220,12.8,3.52,1,13,5.7,57.3,126,110,7.4,260,51.2,10,0.24,0,,,,,75.9,80.2,63.6,,78.4,,,68.0,,,1,10,277,51.2,15.5,94.0,6.5,17,23,0,10,14,13,4.7,2211,10.1
Blake Decker,16932,QB,UNLV,13,2.94,2.6,3.53,4.72,506,325,67.1,225,229,8.3,1.95,3,6,2.5,61.6,141,51,6.6,234,46.2,10,-0.17,1,,,,,65.1,61.3,82.4,,60.8,,,,,,0,5,245,39.7,9.8,81.9,2.1,5,0,0,1,9,6,2.4,1345,5.9,60.6,165,176,16.1,3.78,3,14,7.5,51.7,91,128,9.0,272,53.8,9,-0.08,1,,,,,66.9,61.0,83.2,,64.8,,,52.7,,,2,13,286,43.0,24.2,62.0,11.4,31,65,0,6,6,14,4.9,1529,8.7
Michael Brewer,19619,QB,VA TECH,13,2.88,2.72,3.44,4.92,501,337,76.4,208,215,5.8,1.86,6,6,2.7,68.4,147,42,7.5,217,43.3,12,-0.18,1,,,,,75.1,68.6,82.1,,67.7,,,,,,0,4,228,41.5,4.8,91.8,0.9,2,0,0,1,12,5,2.2,1131,5.3,64.2,193,227,13.2,3.67,4,13,5.3,50.2,114,138,8.1,284,56.7,10,-0.21,5,,,,,54.7,67.6,64.2,,67.9,,,59.1,,,1,11,302,41.2,22.5,60.8,10.9,31,26,0,29,6,14,4.6,1540,6.8
Ikaika Woolsey,46495,QB,HAWAII,13,2.92,2.71,3.44,4.58,500,180,66.3,187,194,7.2,1.88,6,5,2.5,56.2,109,28,12.1,199,39.8,15,-0.28,1,,,,,62.6,55.4,81.5,,55.5,,,57.0,,,1,4,205,39.7,14.3,69.6,2.0,4,1,0,0,5,9,4.4,963,5.0,60.6,203,225,15.0,3.61,0,15,6.3,44.4,100,131,18.7,301,60.2,23,-0.14,2,,,,,59.0,60.1,46.7,,64.3,,,49.1,,,0,9,318,36.9,27.5,63.3,12.0,36,40,0,22,8,17,5.3,1567,7.0
Everett Golson,18665,QB,NOTRE DAME,13,2.88,2.59,4.24,5.09,499,258,78.4,236,246,5.3,1.78,10,6,2.3,69.9,172,35,7.0,247,49.5,13,0.1,2,,,,,75.7,81.3,82.7,,79.7,,,,,,0,7,258,54.7,2.9,104.5,0.4,1,0,0,0,20,7,2.7,1707,6.9,64.1,156,184,17.2,3.96,0,16,8.2,46.2,85,115,15.0,252,50.5,15,-0.1,1,,,,,26.0,71.9,82.8,,71.6,,,61.9,,,7,7,265,40.9,26.1,80.4,11.9,30,38,0,21,9,13,4.9,1738,9.4
Sean Mannion,9522,QB,OREGON ST,12,2.76,2.68,3.35,4.86,499,265,80.1,201,203,5.0,1.89,1,2,1.0,71.4,145,26,9.9,205,41.1,16,-0.09,0,,,,,74.8,76.5,81.7,,75.3,,,,,,1,3,211,48.8,7.7,90.9,1.0,2,0,0,0,7,3,1.4,1167,5.7,63.8,235,253,12.3,3.36,2,25,9.2,54.2,137,121,8.7,294,58.9,13,-0.22,1,,,,,59.2,77.9,83.7,,77.2,,,55.4,,,2,5,316,39.8,28.1,82.5,11.6,34,7,0,14,8,13,4.1,2002,7.9
Grant Hedrick,12753,QB,BOISE ST,14,2.67,2.36,3.32,4.61,498,120,83.3,233,238,4.8,1.81,4,3,1.2,79.4,189,38,2.6,243,48.8,5,0.18,1,,,,,75.5,90.0,82.5,,88.3,,,,,,1,7,248,55.1,13.2,105.0,2.1,5,0,0,0,13,7,2.8,1848,7.8,72.8,158,176,14.1,3.5,0,14,7.6,59.1,104,99,9.6,255,51.2,11,0.11,1,,,,,55.8,88.9,82.9,,90.5,67.3,,61.2,,,0,7,267,46.3,20.2,93.9,7.8,20,59,0,18,9,8,3.0,1779,10.1
Cody Kessler,10727,QB,USC,13,2.77,2.67,3.35,5.21,495,326,88.4,207,212,3.7,1.79,4,2,0.9,79.7,169,39,7.7,217,43.8,14,0.34,0,,,,,75.1,85.8,82.0,,84.1,,,,,,1,1,224,52.5,12.8,128.9,2.3,5,0,0,0,20,2,0.9,1664,7.8,72.8,224,241,12.4,3.54,1,21,8.2,60.2,145,137,11.0,278,56.2,18,0.23,3,,,,,63.4,93.4,43.7,,92.8,,,70.6,,,0,4,292,47.1,18.2,108.7,9.0,25,12,0,16,19,6,2.1,2147,8.9
Brian Burrell,17419,QB,FRESNO ST,14,2.7,2.49,3.91,4.76,492,169,74.0,215,220,5.6,1.86,4,2,0.9,64.5,142,33,10.7,223,45.3,17,-0.05,1,,,,,75.3,71.2,82.2,,70.5,,,57.0,,,0,8,236,47.5,6.1,76.3,0.9,2,1,0,1,8,6,2.5,1238,5.6,63.9,194,212,13.8,3.39,2,10,4.6,51.4,109,105,12.1,269,54.7,15,-0.19,0,,,,,66.3,64.9,83.1,,62.4,,,68.5,,,0,10,279,36.8,34.3,74.3,13.4,36,21,0,16,14,8,2.9,1375,6.5
Brett Hundley,9580,QB,UCLA,13,2.84,2.4,4.32,4.88,489,324,86.3,227,229,3.1,1.77,2,4,1.7,81.7,187,13,4.6,230,47.0,9,0.34,1,,,,,75.4,77.9,82.3,,76.6,,,,,,0,3,242,56.1,7.7,110.8,0.4,1,0,0,0,12,4,1.7,1765,7.7,65.3,147,164,14.8,3.79,4,13,7.4,50.6,83,118,13.5,259,53.0,13,-0.11,0,,,,,21.9,65.6,83.0,,68.1,,,55.9,,,2,2,274,40.9,33.9,94.5,15.4,40,55,0,11,10,12,4.4,1376,8.4
Marquise Williams,11419,QB,N CAROLINA,13,2.67,2.48,3.3,4.61,488,245,79.8,218,226,3.9,1.72,6,1,0.4,72.6,164,42,5.7,229,46.9,10,0.23,1,,,,,75.3,80.4,82.2,,79.0,,,,,,1,2,235,55.0,7.1,110.0,1.3,3,0,0,1,13,3,1.3,1735,7.7,61.5,182,203,12.2,3.51,6,12,5.5,51.7,105,141,6.3,259,53.1,7,-0.2,1,,,,,30.7,62.6,62.4,,57.9,,,73.8,,,1,7,277,39.4,15.6,71.2,8.5,22,34,0,14,8,14,5.1,1326,6.5
Dylan Thompson,9696,QB,S CAROLINA,13,2.75,2.6,4.34,5.29,487,289,78.6,215,218,5.8,1.96,3,7,3.1,71.6,156,36,7.7,218,44.8,13,0.2,1,,,,,75.1,86.4,82.1,,84.7,,,,,,0,4,228,53.2,0.0,103.1,0.0,0,0,0,0,11,6,2.6,1685,7.7,58.4,214,234,15.1,3.39,1,14,5.7,48.7,114,117,8.8,269,55.2,11,-0.03,1,,,,,56.9,65.1,62.8,,64.7,,,61.4,,,1,7,282,39.0,19.7,85.1,8.6,23,12,0,18,15,14,5.0,1880,8.0
Maty Mauk,46507,QB,MISSOURI,14,3.03,2.72,4.45,5.33,483,229,71.8,238,242,6.3,1.81,4,6,2.4,64.0,155,24,9.4,244,50.5,16,0.0,0,,,,,75.6,68.4,82.6,,67.5,,,,,,0,6,253,47.1,8.3,88.1,0.8,2,0,0,0,14,5,2.0,1373,5.7,54.2,142,177,17.5,4.27,1,22,11.5,37.9,67,137,13.0,239,49.5,10,-0.15,2,,,,,75.7,65.5,60.9,,61.7,,,69.6,,,2,7,258,36.4,13.9,67.9,7.9,19,43,0,32,11,13,5.0,1274,7.2
Cody Sokol,14536,QB,LA TECH,14,2.39,2.28,3.73,4.84,478,208,76.1,280,292,6.6,1.85,10,14,4.6,67.5,197,62,7.5,296,61.9,16,0.25,0,,,,,64.1,79.7,83.6,,78.4,,,57.3,,,1,10,309,53.7,4.8,94.2,1.0,3,1,0,1,17,13,4.2,2159,7.4,52.1,140,156,16.4,3.27,2,14,8.3,39.7,62,80,15.1,182,38.1,11,-0.03,1,,,,,49.6,54.2,81.3,,56.1,,,48.7,,,4,3,197,34.1,20.0,88.3,8.8,16,10,0,10,13,12,6.1,1247,8.0
Garrett Grayson,9508,QB,COLO STATE,13,2.71,2.52,3.56,4.9,476,144,81.0,210,217,5.0,1.81,6,4,1.8,72.4,157,36,7.6,219,46.0,13,0.3,0,,,,,75.1,75.5,82.0,,74.3,,,,,,1,1,224,51.6,5.6,112.7,0.9,2,0,0,0,12,5,2.2,1759,8.1,69.2,185,206,15.9,3.47,4,22,10.0,56.3,116,104,9.4,257,54.0,12,0.22,1,,,,,36.5,80.5,82.9,,83.3,,,49.5,,,1,6,272,43.6,25.0,114.7,10.1,26,25,0,16,20,13,4.8,2246,10.9
Nick Arbuckle,16351,QB,GA STATE,12,2.41,2.23,3.32,5.06,475,175,74.3,296,308,7.0,1.84,9,19,5.9,66.6,205,60,6.8,311,65.5,15,0.18,1,,,,,76.8,84.8,65.8,,83.3,,,,,,0,15,327,49.8,5.0,87.3,1.0,3,0,0,3,17,11,3.4,2341,7.6,59.0,105,119,17.1,3.48,0,15,11.9,43.7,52,83,16.1,164,34.5,10,-0.32,0,,,,,46.5,74.5,80.7,,75.8,,,56.1,,,1,2,172,32.9,33.7,81.0,17.1,28,17,0,13,6,6,3.5,935,7.9
Anthony Boone,9751,QB,DUKE,13,2.22,2.15,3.52,4.19,475,154,73.5,294,308,4.6,1.69,12,5,1.6,64.0,197,37,8.8,311,65.5,19,-0.01,3,,,,,76.7,55.7,47.7,,56.2,,,,,,1,5,317,46.9,8.1,83.9,1.0,3,0,0,1,11,12,3.8,1727,5.6,51.5,130,148,17.7,3.2,3,12,7.6,38.5,57,66,14.9,164,34.5,10,-0.33,1,,,,,60.6,62.4,52.7,,62.1,,,62.2,,,3,3,173,32.9,10.6,70.9,4.3,7,9,0,12,8,9,5.2,964,6.5
Blake Frohnapfel,19699,QB,UMASS,10,2.73,2.66,3.17,4.51,473,216,74.0,196,205,7.2,1.98,3,5,2.3,66.3,136,67,6.2,210,44.4,9,0.32,1,,,,,63.5,79.2,81.9,,77.7,,,,,,3,4,221,52.9,7.5,102.8,2.4,5,0,0,3,14,8,3.6,1515,7.4,55.1,207,233,16.1,3.33,1,22,8.9,45.1,105,104,7.9,263,55.6,9,-0.14,0,,,,,66.3,70.8,83.0,,71.5,,,51.7,,,2,6,278,36.9,17.3,74.4,6.8,18,12,0,23,9,9,3.2,1825,7.8
Bryce Petty,9536,QB,BAYLOR,12,2.38,2.22,3.48,4.89,469,118,76.8,280,285,8.5,1.72,5,12,4.0,68.1,194,41,9.8,290,61.8,21,0.19,3,,,,,76.4,88.5,83.5,,86.5,,,,,,0,4,304,50.3,12.2,104.4,1.7,5,0,0,0,16,5,1.6,2239,7.9,64.6,130,144,19.7,3.46,0,14,9.2,52.8,76,56,9.5,179,38.2,8,0.11,1,,,,,48.7,73.9,81.2,,78.1,,,45.6,,,2,3,189,48.6,30.4,114.2,9.5,17,18,0,12,13,7,3.7,1616,11.2
Jacoby Brissett,10725,QB,NC STATE,13,3.04,2.59,4.12,5.03,466,248,78.1,187,194,4.6,1.79,5,2,1.0,70.1,136,21,6.8,201,43.1,10,0.01,0,,,,,63.0,70.0,81.7,,68.3,,,68.2,,,1,2,212,52.2,19.0,98.1,2.0,4,3,0,1,10,5,2.4,1150,5.9,62.3,146,175,15.9,3.98,2,14,7.6,48.0,84,130,7.7,265,56.9,7,0.0,1,,,,,27.3,82.9,83.1,,70.4,,,86.4,,,0,3,279,43.0,20.8,94.4,10.2,27,63,0,27,13,11,3.9,1456,8.3
Clint Trickett,15673,QB,W VIRGINIA,11,2.71,2.59,3.35,5.42,460,343,81.0,210,215,5.7,1.81,4,6,2.8,74.9,161,24,5.3,220,47.8,9,0.26,0,,,,,75.0,90.5,81.9,,89.7,,,63.2,,,1,2,221,50.9,16.7,116.0,1.8,4,1,0,0,13,1,0.5,1820,8.5,67.5,200,209,11.4,3.54,1,12,5.2,57.4,120,87,11.1,240,52.2,15,-0.23,2,,,,,29.6,58.9,82.8,,58.7,,,58.1,,,1,8,264,42.9,21.8,71.2,7.9,19,12,0,7,5,20,7.6,1465,7.0
Justin Holman,46581,QB,UCF,13,2.66,2.45,3.43,4.29,459,323,77.1,201,210,4.6,1.92,6,2,0.9,66.2,139,56,10.3,217,47.3,16,0.03,0,,,,,64.1,64.1,82.1,,62.9,,,64.3,,,3,6,232,49.8,10.7,92.8,2.8,6,1,0,0,15,7,3.0,1191,5.7,59.9,167,182,18.2,3.33,1,10,5.2,46.2,84,110,16.0,242,52.7,16,-0.04,0,,,,,65.5,63.9,82.6,,66.6,,,51.7,,,9,8,254,44.2,20.9,77.2,9.5,23,37,0,5,8,10,3.9,1759,9.7
Paxton Lynch,10660,QB,MEMPHIS,13,2.56,2.38,3.65,4.82,457,218,78.1,242,244,5.4,1.79,2,10,4.0,70.1,171,45,9.5,248,54.3,18,-0.03,2,,,,,65.5,71.8,82.6,,70.7,,,,,,0,5,253,49.2,8.9,95.7,1.6,4,0,0,0,11,11,4.3,1682,6.9,63.6,154,172,13.7,3.47,1,16,8.7,51.7,89,101,9.2,209,45.7,9,-0.08,1,,,,,52.0,84.7,81.9,,84.8,,,61.4,,,0,4,220,43.1,10.9,91.1,5.3,11,26,0,17,11,6,2.7,1413,8.2
Tyler Rogers,46638,QB,NEW MEX ST,12,2.25,2.17,3.52,4.43,456,242,76.5,298,307,5.0,1.63,6,11,3.4,70.4,216,32,5.3,307,67.3,12,0.11,1,,,,,76.7,70.3,83.8,,69.2,,,,,,1,14,320,49.8,0.0,85.6,0.0,0,0,0,2,16,14,4.4,1955,6.4,49.1,114,130,13.9,3.51,0,5,3.7,39.2,51,55,8.9,149,32.7,5,-0.48,1,,,,,29.7,38.2,80.2,,39.0,,,54.8,,,0,9,154,32.9,16.4,39.4,6.0,9,10,0,16,3,14,9.1,805,6.2
Patrick Towles,46478,QB,KENTUCKY,12,2.56,2.31,3.3,5.12,456,202,73.9,238,254,6.2,1.74,13,11,4.2,62.6,159,37,9.7,264,57.9,17,-0.07,2,,,,,46.2,59.9,82.9,,59.4,,,,,,1,5,269,42.4,27.0,89.7,3.8,10,0,0,2,11,13,4.8,1780,7.0,62.1,124,140,14.1,3.68,1,6,4.1,46.4,65,101,15.6,192,42.1,12,-0.33,2,,,,,49.9,56.5,81.4,,50.2,59.3,,74.0,,,1,4,199,34.4,23.8,60.2,12.5,24,28,0,14,2,11,5.5,894,6.4
