season,cfbd_id,player,position,team,conference,average_ppa_all,average_ppa_pass,average_ppa_rush,average_ppa_first_down,average_ppa_second_down,average_ppa_third_down,average_ppa_standard_downs,average_ppa_passing_downs,total_ppa_all,total_ppa_pass,total_ppa_rush,total_ppa_first_down,total_ppa_second_down,total_ppa_third_down,total_ppa_standard_downs,total_ppa_passing_downs,normalized_name,canonical_school
2022,4685334,A.J. Duffy,QB,Florida State,ACC,-0.06,0.068,-0.358,-0.059,-0.156,0.44,-0.059,-0.06,-0.598,0.476,-1.074,-0.118,-0.467,1.761,-0.118,-0.479,aj duffy,Florida State
2023,4685334,A.J. Duffy,QB,Florida State,ACC,-0.583,-1.558,1.366,1.366,-2.391,-0.725,-0.512,-0.725,-1.749,-3.116,1.366,1.366,-2.391,-0.725,-1.024,-0.725,aj duffy,Florida State
2025,4685334,A.J. Duffy,QB,New Haven,,0.28,0.252,0.581,0.11,0.24,0.74,0.208,0.426,79.321,64.512,15.112,13.519,18.984,54.752,39.289,40.032,aj duffy,New Haven
2014,545682,A.J. Erdely,QB,Middle Tennessee,CUSA,0.321,-0.404,0.425,-0.266,0.943,-0.404,0.425,-0.404,2.571,-0.404,2.975,-0.798,3.773,-0.404,2.975,-0.404,aj erdely,Middle Tennessee
2017,545682,A.J. Erdely,QB,UAB,CUSA,0.225,0.182,0.374,0.111,0.119,0.562,0.199,0.264,103.227,65.054,38.173,19.575,16.642,75.83,55.63,47.597,aj erdely,UAB
2018,545682,A.J. Erdely,QB,UAB,CUSA,0.226,0.243,0.172,-0.077,0.271,0.634,-0.022,0.507,63.142,51.245,11.897,-7.585,27.399,48.851,-3.247,66.389,aj erdely,UAB
2014,535646,A.J. Schurr,QB,Army,Ind,0.265,-0.096,0.531,0.13,-0.062,0.764,0.153,0.456,19.333,-2.961,22.294,4.144,-1.246,12.23,7.031,12.302,aj schurr,Army
2015,535646,A.J. Schurr,QB,Army,Ind,0.223,0.296,0.199,-0.064,0.315,0.447,0.243,0.19,28.558,9.465,19.093,-2.77,12.897,16.102,19.43,9.128,aj schurr,Army
2023,4819250,AJ Bianco,QB,Nevada,MWC,0.253,0.216,0.491,0.02,0.528,0.376,0.067,0.482,29.87,18.762,14.741,0.811,22.182,12.777,4.332,25.538,aj bianco,Nevada
2024,4819250,AJ Bianco,QB,Nevada,MWC,0.419,0.452,0.219,-0.394,0.914,1.595,-0.115,1.245,11.733,10.856,0.877,-4.336,9.137,7.976,-1.959,13.691,aj bianco,Nevada
2025,4819250,AJ Bianco,QB,Nevada,MWC,-0.079,-0.157,0.394,-0.122,-0.317,0.118,-0.119,-0.036,-4.529,-7.677,3.149,-2.563,-5.385,1.645,-3.556,-0.973,aj bianco,Nevada
2017,3116087,AJ Bush,QB,Virginia Tech,ACC,0.348,0.857,0.053,0.226,0.316,1.351,0.187,0.67,10.442,9.426,1.016,3.167,2.209,9.456,3.745,6.697,aj bush,Virginia Tech
2018,3116087,AJ Bush,QB,Illinois,B1G,0.177,0.037,0.435,-0.086,0.118,0.556,0.126,0.28,62.377,8.493,53.885,-10.852,14.219,53.958,29.658,32.72,aj bush,Illinois
2024,5146355,AJ Hairston,QB,Massachusetts,Ind,0.236,0.317,-0.069,-0.099,0.532,0.293,0.058,0.515,22.405,23.788,-1.383,-4.549,11.694,7.035,3.348,19.057,aj hairston,Massachusetts
2025,5146355,AJ Hairston,QB,Massachusetts,MAC,-0.036,-0.054,0.106,-0.243,0.101,0.331,-0.197,0.115,-6.953,-9.184,2.232,-15.82,6.432,17.211,-18.327,11.375,aj hairston,Massachusetts
2025,5141473,AJ Hill,QB,Memphis,AAC,0.079,0.079,,-0.362,0.195,1.19,-0.191,0.445,2.591,2.591,0.0,-5.072,2.538,4.759,-3.638,6.23,aj hill,Memphis
2014,3116756,AJ Long,QB,Syracuse,ACC,0.042,0.069,-0.1,-0.11,-0.046,0.285,0.059,0.021,7.388,10.29,-2.902,-6.799,-2.61,16.797,5.669,1.719,aj long,Syracuse
2025,5084295,AJ Maddox,QB,Ole Miss,SEC,0.334,0.355,0.313,0.355,,0.313,0.355,0.313,0.668,0.355,0.313,0.355,0.0,0.313,0.355,0.313,aj maddox,Ole Miss
2019,4363148,AJ Mayer,QB,Miami (OH),MAC,-0.665,-0.537,-0.728,,-1.209,-0.248,-1.209,-0.393,-1.994,-0.537,-1.457,0.0,-1.209,-0.248,-1.209,-0.785,aj mayer,Miami (OH)
2020,4363148,AJ Mayer,QB,Miami (OH),MAC,0.299,0.315,0.033,0.302,0.336,0.134,0.431,0.104,15.543,15.444,0.099,6.64,5.035,1.874,13.367,2.176,aj mayer,Miami (OH)
2021,4363148,AJ Mayer,QB,Miami (OH),MAC,0.318,0.308,0.597,0.067,0.605,0.662,0.213,0.447,47.631,39.477,12.529,4.036,25.422,27.801,17.681,29.949,aj mayer,Miami (OH)
2022,4363148,AJ Mayer,QB,Arkansas State,SBC,0.203,0.131,0.298,0.105,-0.081,0.516,0.203,0.202,14.187,5.258,8.93,2.739,-1.38,11.868,9.347,4.84,aj mayer,Arkansas State
2022,4869321,AJ Padgett,QB,Rice,CUSA,0.114,0.263,-0.4,0.031,0.116,0.199,0.082,0.155,12.195,21.806,-9.61,1.389,3.602,5.184,4.896,7.3,aj padgett,Rice
2023,4869321,AJ Padgett,QB,Rice,AAC,0.158,0.135,0.299,-0.139,0.362,-0.082,0.066,0.28,23.41,17.122,6.288,-7.621,19.553,-2.692,5.516,17.895,aj padgett,Rice
2024,5083410,AJ Simpkins,QB,Columbia,,-0.536,0.898,-0.823,-0.157,-0.725,,-0.613,-0.381,-3.215,0.898,-4.113,-0.315,-2.9,0.0,-2.453,-0.761,aj simpkins,Columbia
2025,5079717,AJ Surace,QB,Rutgers,B1G,0.592,0.592,,-0.722,-0.22,1.767,-0.633,1.612,6.511,6.511,0.0,-2.886,-0.661,5.302,-3.164,9.674,aj surace,Rutgers
2022,5081405,AJ Swann,QB,Vanderbilt,SEC,0.178,0.214,-0.417,0.045,0.215,0.27,0.072,0.319,36.938,41.942,-5.004,3.381,13.947,15.685,8.542,28.396,aj swann,Vanderbilt
2023,5081405,AJ Swann,QB,Vanderbilt,SEC,0.258,0.253,0.326,0.258,0.076,0.442,0.212,0.318,55.293,50.406,4.887,24.019,4.496,24.293,25.687,29.605,aj swann,Vanderbilt
2024,5081405,AJ Swann,QB,LSU,SEC,-0.213,-0.213,,,-0.18,-0.246,,-0.213,-0.852,-0.852,0.0,0.0,-0.359,-0.493,0.0,-0.852,aj swann,LSU
2025,5081405,AJ Swann,QB,App State,SBC,0.055,0.094,0.032,-0.126,0.231,-0.064,-0.08,0.234,11.964,19.367,0.32,-10.1,16.622,-3.811,-9.996,21.96,aj swann,App State
2022,5084802,AJ Wilson,QB,Houston Christian,,-0.399,-0.536,-0.281,-0.449,-0.854,-0.205,-0.427,-0.242,-5.183,-3.215,-1.968,-2.245,-1.708,-1.23,-4.699,-0.484,aj wilson,Houston Christian
2023,5084802,AJ Wilson,QB,Houston Christian,,0.791,0.876,-0.393,0.952,0.137,1.285,1.252,0.484,11.87,12.263,-0.393,4.759,0.687,6.424,7.514,4.357,aj wilson,Houston Christian
2024,5084802,AJ Wilson,QB,Houston Christian,,2.066,2.066,,1.198,3.713,1.255,0.923,3.362,66.114,66.114,0.0,16.771,44.551,6.277,15.688,50.426,aj wilson,Houston Christian
2018,4384187,Aaron Allen,QB,Louisiana Tech,CUSA,0.111,0.314,-1.316,1.179,-0.888,2.074,-0.303,0.524,0.885,2.2,-1.316,1.179,-4.442,4.148,-1.211,2.095,aaron allen,Louisiana Tech
2019,4384187,Aaron Allen,QB,Louisiana Tech,CUSA,0.012,0.072,-0.408,-0.176,0.058,0.209,-0.302,0.355,1.015,5.508,-4.493,-5.973,1.613,5.217,-13.898,14.913,aaron allen,Louisiana Tech
2020,4384187,Aaron Allen,QB,Louisiana Tech,CUSA,-0.01,0.004,-0.157,-0.254,-0.321,0.471,-0.074,0.065,-1.43,0.451,-1.881,-13.951,-12.517,19.327,-5.55,4.12,aaron allen,Louisiana Tech
2021,4384187,Aaron Allen,QB,Louisiana Tech,CUSA,0.396,0.52,-0.083,-0.034,0.482,1.07,0.331,0.526,30.883,35.901,-0.665,-1.197,10.113,21.403,17.207,13.676,aaron allen,Louisiana Tech
2022,4384187,Aaron Allen,QB,Alcorn State,,0.195,0.204,0.152,0.494,0.168,0.0,0.436,-0.077,6.629,5.715,0.915,4.45,2.182,-0.002,7.856,-1.226,aaron allen,Alcorn State
2023,4384187,Aaron Allen,QB,Alcorn State,,0.5,0.515,0.406,0.306,0.534,0.697,0.399,0.669,109.487,97.309,12.179,26.037,37.889,40.406,54.63,54.857,aaron allen,Alcorn State
2021,4569628,Aaron Angelos,QB,Lafayette,,0.151,0.191,-0.482,0.516,0.072,-0.025,0.389,-0.421,2.568,3.051,-0.482,4.128,0.287,-0.099,4.672,-2.103,aaron angelos,Lafayette
2023,4569628,Aaron Angelos,QB,Delaware State,,0.119,0.183,-0.254,-0.168,0.118,0.282,0.1,0.144,10.602,13.903,-3.301,-5.199,3.895,6.48,4.987,5.615,aaron angelos,Delaware State
2014,546062,Aaron Bailey,QB,Illinois,B1G,-0.007,-0.077,0.054,-0.019,-0.197,0.615,-0.234,0.448,-0.352,-1.915,1.563,-0.39,-3.152,9.219,-8.408,8.055,aaron bailey,Illinois
2015,546062,Aaron Bailey,QB,Northern Iowa,,0.081,-0.141,0.393,0.01,0.05,0.357,0.157,-0.018,3.306,-3.376,6.682,0.162,0.601,4.279,3.622,-0.316,aaron bailey,Northern Iowa
2016,546062,Aaron Bailey,QB,Northern Iowa,,0.175,0.053,0.33,0.128,0.097,0.209,0.132,0.245,9.115,1.535,7.58,2.313,1.653,3.337,4.208,4.906,aaron bailey,Northern Iowa
2015,3929897,Aaron Banks,QB,Purdue,B1G,-0.064,-0.064,,,,-0.064,,-0.064,-0.064,-0.064,0.0,0.0,0.0,-0.064,0.0,-0.064,aaron banks,Purdue
2014,547096,Aaron Cantu,QB,Southern Utah,,0.147,0.176,-0.162,0.315,-0.318,0.241,0.203,0.008,5.149,5.635,-0.486,5.036,-2.541,2.653,5.066,0.083,aaron cantu,Southern Utah
2022,5085258,Aaron McLaughlin,QB,Jacksonville State,ASUN,0.045,0.108,-0.041,-0.217,-0.171,0.704,-0.381,0.471,1.803,2.492,-0.689,-2.606,-2.227,9.15,-7.62,9.422,aaron mclaughlin,Jacksonville State
2024,5132812,Aaron Philo,QB,Georgia Tech,ACC,0.296,0.277,0.409,0.488,-0.086,0.586,0.267,0.32,25.141,20.228,4.913,10.238,-2.666,16.418,10.403,14.738,aaron philo,Georgia Tech
2025,5132812,Aaron Philo,QB,Georgia Tech,ACC,-0.203,-0.535,0.628,,-0.516,-0.427,0.239,-0.534,-1.419,-2.676,1.257,0.0,-1.548,-1.282,0.717,-2.136,aaron philo,Georgia Tech
2016,3917540,Aaron Winchester,QB,Georgia State,SBC,0.124,-0.054,0.334,-0.062,0.148,0.497,-0.002,0.293,11.624,-2.734,14.358,-2.173,4.576,13.419,-0.089,11.713,aaron winchester,Georgia State
2017,3917540,Aaron Winchester,QB,Georgia State,SBC,0.001,0.031,-0.02,-0.269,-0.729,0.772,-0.105,0.149,0.043,0.4,-0.357,-2.955,-8.02,6.179,-1.898,1.942,aaron winchester,Georgia State
2018,3917540,Aaron Winchester,QB,Georgia State,SBC,0.252,0.186,0.378,0.032,0.021,0.331,0.274,0.222,22.135,10.8,11.335,0.972,0.622,6.621,13.707,8.428,aaron winchester,Georgia State
2019,3917540,Aaron Winchester,QB,Central Connecticut,,0.359,0.5,-0.484,-0.328,1.02,1.036,-0.066,1.017,10.062,11.998,-1.935,-3.609,8.16,8.288,-1.122,11.184,aaron winchester,Central Connecticut
2016,3914916,Aaron Zwahlen,QB,Hawai'i,MWC,-0.415,-0.067,-1.46,-1.335,-0.538,0.623,-1.256,0.239,-6.646,-0.805,-5.84,-8.01,-2.153,3.113,-8.795,2.15,aaron zwahlen,Hawaii
2017,3914916,Aaron Zwahlen,QB,Southern Utah,,-0.423,-0.423,,-0.239,-0.378,-0.973,-0.04,-0.997,-6.339,-6.339,0.0,-1.909,-1.512,-2.918,-0.356,-5.983,aaron zwahlen,Southern Utah
2025,5226585,Abram Johnston,QB,Northwestern State,,-0.081,-0.102,-0.033,-0.35,0.018,0.023,-0.151,0.008,-23.325,-20.325,-3.0,-36.413,1.698,1.843,-24.339,1.014,abram johnston,Northwestern State
2025,5300386,Achilles Ringo,QB,Alcorn State,,-0.485,-0.485,,-0.485,,,-0.485,,-0.97,-0.97,0.0,-0.97,0.0,0.0,-0.97,0.0,achilles ringo,Alcorn State
2019,4251286,Adam Browner,QB,Tennessee Tech,,-0.814,-0.814,,-2.815,0.335,0.037,-2.815,0.186,-2.443,-2.443,0.0,-2.815,0.335,0.037,-2.815,0.372,adam browner,Tennessee Tech
2023,5152503,Adam Damante,QB,Northern Arizona,,0.27,0.361,-0.385,0.1,0.078,0.663,0.106,0.51,44.575,52.275,-7.699,6.31,4.424,25.843,10.423,34.152,adam damante,Northern Arizona
2025,5152503,Adam Damante,QB,New Mexico State,CUSA,0.189,0.186,0.232,0.099,0.111,0.564,0.062,0.341,21.564,19.706,1.858,4.551,4.121,16.909,3.849,17.715,adam damante,New Mexico State
2014,518526,Adam Schulz,QB,Utah,PAC,1.79,1.79,,,,1.79,1.79,,3.579,3.579,0.0,0.0,0.0,3.579,3.579,0.0,adam schulz,Utah
2015,518526,Adam Schulz,QB,Houston,AAC,0.564,0.403,1.262,0.636,-0.356,0.665,0.743,0.335,9.027,5.242,3.785,1.908,-2.136,3.324,6.685,2.342,adam schulz,Houston
2025,5227565,Adam Urena,QB,Mercyhurst,,0.137,0.157,-0.099,-0.045,0.054,0.406,-0.052,0.362,44.372,48.414,-1.38,-5.101,5.364,36.514,-9.13,53.502,adam urena,Mercyhurst
2014,3144815,Adri Kollock Jr,QB,South Carolina State,,-0.279,-0.281,-0.265,-0.703,-0.217,-0.271,-0.703,-0.246,-3.902,-3.373,-0.53,-0.703,-1.299,-1.9,-0.703,-3.199,adri kollock,South Carolina State
2018,4361182,Adrian Martinez,QB,Nebraska,B1G,0.266,0.212,0.428,0.163,0.287,0.485,0.201,0.395,128.91,77.178,51.732,34.614,45.68,48.492,64.866,64.044,adrian martinez,Nebraska
2019,4361182,Adrian Martinez,QB,Nebraska,B1G,0.205,0.154,0.315,0.028,-0.036,0.747,0.091,0.378,80.982,41.545,39.437,4.158,-4.507,84.413,21.564,59.417,adrian martinez,Nebraska
2020,4361182,Adrian Martinez,QB,Nebraska,B1G,0.348,0.197,0.656,0.199,0.334,0.574,0.356,0.332,83.814,31.96,51.855,17.509,30.392,33.298,55.604,28.21,adrian martinez,Nebraska
2021,4361182,Adrian Martinez,QB,Nebraska,B1G,0.433,0.404,0.528,0.484,0.373,0.447,0.506,0.308,182.364,130.117,52.247,80.362,50.404,46.972,134.619,47.745,adrian martinez,Nebraska
2022,4361182,Adrian Martinez,QB,Kansas State,B12,0.29,0.138,0.577,0.184,0.222,0.474,0.231,0.401,85.705,26.848,58.857,20.286,20.908,37.476,44.811,40.894,adrian martinez,Kansas State
2023,5088339,Adrian Mejia,QB,St. Francis (PA),,0.385,0.338,1.292,0.241,0.562,0.232,0.518,-0.367,7.709,6.416,1.292,3.136,0.562,1.16,8.811,-1.102,adrian mejia,St. Francis (PA)
2024,5088339,Adrian Mejia,QB,St. Francis (PA),,-0.358,-0.176,-0.632,-0.489,-0.085,-0.354,-0.457,-0.255,-16.118,-4.74,-11.378,-8.305,-1.1,-4.597,-10.501,-5.617,adrian mejia,St. Francis (PA)
2025,5088339,Adrian Mejia,QB,St. Francis (PA),,0.009,0.058,0.415,-0.162,-0.195,0.186,0.207,-0.26,0.241,0.935,3.738,-1.624,-1.365,1.299,3.102,-2.861,adrian mejia,St. Francis (PA)
2022,4877782,Ah-Shaun Davis,QB,Lafayette,,-0.059,0.009,-0.341,-0.165,0.261,-0.088,-0.218,0.112,-6.678,0.833,-7.511,-6.43,9.406,-3.093,-12.863,6.185,ah shaun davis,Lafayette
2023,4877782,Ah-Shaun Davis,QB,Lafayette,,-0.005,0.757,-0.921,-1.26,-0.184,1.906,-0.553,0.953,-0.06,4.543,-4.603,-5.042,-0.736,5.718,-3.873,3.813,ah shaun davis,Lafayette
2015,3129089,Ahmad Bradshaw,QB,Army,Ind,0.221,0.546,0.08,0.181,-0.051,0.547,0.141,0.339,39.374,29.501,9.873,10.846,-2.886,30.633,14.986,24.388,ahmad bradshaw,Army
2016,3129089,Ahmad Bradshaw,QB,Army,Ind,0.162,-0.02,0.258,-0.054,0.138,0.512,0.078,0.308,41.116,-1.734,42.85,-5.091,11.214,32.744,12.487,28.629,ahmad bradshaw,Army
2017,3129089,Ahmad Bradshaw,QB,Army,Ind,0.36,-0.053,0.433,0.195,0.29,0.699,0.312,0.47,103.018,-2.264,105.281,20.523,26.345,54.502,61.698,41.319,ahmad bradshaw,Army
2022,4877040,Ahmad Green,QB,The Citadel,,-0.281,-0.842,-0.04,0.26,-0.638,-0.2,-0.322,-0.185,-2.807,-2.526,-0.281,1.039,-1.275,-0.399,-2.251,-0.556,ahmad green,The Citadel
2023,4877040,Ahmad Green,QB,The Citadel,,1.345,3.109,0.463,-0.587,,2.311,0.463,3.109,4.035,3.109,0.926,-0.587,0.0,4.622,0.926,3.109,ahmad green,The Citadel
2023,4870757,Ahmad Haston,QB,Massachusetts,Ind,0.245,0.182,0.334,0.522,-0.178,0.448,0.562,-0.273,7.105,3.095,4.01,6.258,-1.065,4.032,10.109,-3.003,ahmad haston,Massachusetts
2024,4870757,Ahmad Haston,QB,Massachusetts,Ind,0.604,0.673,0.574,0.084,0.262,1.712,0.714,0.476,15.712,5.383,10.329,0.589,3.139,11.984,10.001,5.711,ahmad haston,Massachusetts
2024,5122054,Aidan Armenta,QB,UL Monroe,SBC,0.182,0.17,0.264,-0.049,0.184,0.428,0.136,0.23,41.679,33.768,7.911,-4.004,11.42,33.807,15.948,25.731,aidan armenta,UL Monroe
2025,5122054,Aidan Armenta,QB,UL Monroe,SBC,0.127,0.143,0.129,-0.019,0.322,0.195,0.147,0.107,37.971,37.134,4.918,-2.136,27.346,15.983,22.081,15.889,aidan armenta,UL Monroe
2022,4429179,Aidan Bouman,QB,South Dakota,,0.361,0.386,0.013,0.097,0.424,0.675,0.196,0.513,53.423,53.289,0.135,3.969,22.909,31.041,13.936,39.488,aidan bouman,South Dakota
2023,4429179,Aidan Bouman,QB,South Dakota,,0.541,0.576,0.001,0.354,0.696,0.62,0.529,0.555,125.04,125.026,0.014,30.482,55.708,38.467,65.638,59.402,aidan bouman,South Dakota
2024,4429179,Aidan Bouman,QB,South Dakota,,0.471,0.476,0.357,0.405,0.471,0.599,0.471,0.472,155.075,150.792,4.283,54.272,50.42,49.685,90.946,64.13,aidan bouman,South Dakota
2025,4429179,Aidan Bouman,QB,South Dakota,,0.278,0.295,-0.4,0.067,0.415,0.569,0.161,0.446,83.203,86.003,-2.8,7.189,46.433,42.112,28.294,54.908,aidan bouman,South Dakota
2023,5075805,Aidan Chiles,QB,Oregon State,PAC,0.668,0.545,1.068,0.303,0.837,1.257,0.393,1.002,34.067,21.252,12.815,7.271,14.227,12.569,11.018,23.049,aidan chiles,Oregon State
2024,5075805,Aidan Chiles,QB,Michigan State,B1G,0.295,0.291,0.316,0.165,0.209,0.547,0.276,0.324,118.06,95.915,22.144,27.679,23.666,57.47,65.96,52.1,aidan chiles,Michigan State
2025,5075805,Aidan Chiles,QB,Michigan State,B1G,0.431,0.343,0.772,0.146,0.312,0.754,0.373,0.515,98.679,62.393,36.286,12.001,20.893,49.793,50.315,48.364,aidan chiles,Michigan State
2022,4571053,Aidan Gilman,QB,Brown,,0.126,-0.002,1.052,-0.036,-0.154,0.585,-0.154,0.42,5.175,-0.086,5.262,-0.576,-1.851,7.602,-3.224,8.4,aidan gilman,Brown
2024,5091564,Aidan Leffler,QB,Ball State,MAC,-0.3,-0.3,,-0.703,-0.426,-0.082,-0.631,-0.134,-1.8,-1.8,0.0,-0.703,-0.852,-0.245,-1.262,-0.537,aidan leffler,Ball State
2025,5091564,Aidan Leffler,QB,Ball State,MAC,-0.514,-0.514,,,,-0.514,-0.514,,-0.514,-0.514,0.0,0.0,0.0,-0.514,-0.514,0.0,aidan leffler,Ball State
2019,4260394,Aidan O'Connell,QB,Purdue,B1G,0.215,0.234,-0.068,0.142,0.048,0.778,0.132,0.346,37.644,38.395,-0.751,9.639,3.051,29.563,14.104,23.54,aidan oconnell,Purdue
2020,4260394,Aidan O'Connell,QB,Purdue,B1G,0.225,0.23,-0.026,0.181,0.15,0.332,0.174,0.304,33.283,33.361,-0.077,10.502,7.201,12.61,15.667,17.616,aidan oconnell,Purdue
2021,4260394,Aidan O'Connell,QB,Purdue,B1G,0.459,0.455,0.679,0.312,0.395,0.841,0.319,0.669,205.441,200.01,5.431,52.776,67.524,85.761,85.762,119.679,aidan oconnell,Purdue
2022,4260394,Aidan O'Connell,QB,Purdue,B1G,0.299,0.3,0.277,0.095,0.373,0.464,0.262,0.35,156.981,151.727,5.254,19.003,67.913,61.646,80.006,76.975,aidan oconnell,Purdue
2022,4878255,Aidan Sayin,QB,Pennsylvania,,0.238,0.271,-0.159,0.084,0.144,0.532,0.122,0.449,53.635,56.334,-2.699,7.36,10.52,29.283,17.73,35.905,aidan sayin,Pennsylvania
2023,4878255,Aidan Sayin,QB,Pennsylvania,,0.284,0.33,-0.285,0.191,0.091,0.687,0.214,0.41,94.476,101.611,-7.135,26.164,9.892,56.297,46.107,48.369,aidan sayin,Pennsylvania
2024,4878255,Aidan Sayin,QB,Pennsylvania,,0.22,0.237,0.025,-0.037,0.259,0.59,0.103,0.393,39.316,38.946,0.37,-2.988,12.713,24.788,11.046,28.27,aidan sayin,Pennsylvania
2025,5082909,Aidan Semo,QB,UAlbany,,0.57,0.605,0.557,0.649,-0.434,0.933,0.71,-0.045,15.385,4.238,11.147,10.39,-1.736,4.663,15.613,-0.227,aidan semo,UAlbany
2019,4035633,Aidan Smith,QB,Northwestern,B1G,-0.045,-0.07,0.027,-0.18,0.087,0.11,-0.098,0.027,-10.781,-12.478,1.697,-15.668,6.554,7.694,-13.495,2.714,aidan smith,Northwestern
2024,5155039,Aidan Warner,QB,Florida,SEC,-0.111,-0.114,-0.072,-0.315,-0.526,0.145,-0.315,0.133,-6.302,-5.94,-0.362,-6.295,-8.418,2.61,-9.75,3.448,aidan warner,Florida
2018,4255985,Aidan Willard,QB,Oregon State,PAC,-1.209,-1.209,,-1.153,,-1.265,-1.153,-1.265,-2.418,-2.418,0.0,-1.153,0.0,-1.265,-1.153,-1.265,aidan willard,Oregon State
2022,4878833,Aiden Dunne,QB,Northern Iowa,,-0.437,-1.334,0.161,-0.265,1.21,-0.348,-0.265,-0.551,-2.184,-2.667,0.483,-0.53,1.21,-0.348,-0.53,-1.654,aiden dunne,Northern Iowa
2025,4878833,Aiden Dunne,QB,Northern Iowa,,-0.347,-0.347,,-0.638,-0.049,0.012,-0.355,-0.326,-5.204,-5.204,0.0,-5.103,-0.148,0.047,-3.902,-1.302,aiden dunne,Northern Iowa
2025,5154911,Aiden McCown,QB,Lamar,,0.168,0.131,0.301,0.193,0.055,0.36,0.153,0.189,42.14,25.609,16.531,18.177,4.326,25.548,22.528,19.612,aiden mccown,Lamar
2025,5079548,Air Noland,QB,South Carolina,SEC,0.074,0.108,-0.029,-0.361,0.391,0.625,-0.032,0.391,0.295,0.325,-0.029,-0.721,0.391,0.625,-0.096,0.391,air noland,South Carolina
2023,5078166,Ajani Sheppard,QB,Rutgers,B1G,0.765,0.748,0.799,,0.765,,0.948,0.673,2.294,1.495,0.799,0.0,2.294,0.0,0.948,1.346,ajani sheppard,Rutgers
2024,5078166,Ajani Sheppard,QB,Rutgers,B1G,0.091,,0.091,1.801,,-0.054,0.163,-0.054,0.272,0.0,0.272,1.801,0.0,-0.054,0.326,-0.054,ajani sheppard,Rutgers
2016,3945456,Akevious Williams,QB,Bethune-Cookman,,3.479,,3.479,,-0.168,7.125,,3.479,6.957,0.0,6.957,0.0,-0.168,7.125,0.0,6.957,akevious williams,Bethune-Cookman
2018,3945456,Akevious Williams,QB,Bethune-Cookman,,0.542,0.454,1.138,0.142,-0.336,1.079,0.28,0.957,16.798,12.247,4.551,1.993,-1.679,11.867,5.318,11.48,akevious williams,Bethune-Cookman
2019,3945456,Akevious Williams,QB,Bethune-Cookman,,-0.067,-0.027,-0.218,-0.458,0.31,-0.163,-0.216,0.023,-1.6,-0.511,-1.09,-2.292,2.483,-1.791,-1.947,0.347,akevious williams,Bethune-Cookman
2014,547410,Al Cobb,QB,VMI,,-0.078,-0.085,0.003,-0.107,0.125,-0.051,-0.122,0.003,-7.082,-7.105,0.023,-3.854,3.011,-1.371,-7.169,0.087,al cobb,VMI
2015,547410,Al Cobb,QB,VMI,,0.545,0.653,-0.303,0.078,0.444,0.735,0.427,0.71,28.861,30.678,-1.817,1.097,8.887,12.502,13.23,15.631,al cobb,VMI
2016,547410,Al Cobb,QB,VMI,,0.31,0.336,0.018,-0.025,0.149,0.912,0.264,0.395,11.472,11.418,0.055,-0.345,1.784,10.033,6.34,5.132,al cobb,VMI
2022,5100737,Alaka'I Yuen,QB,Tarleton State,WAC,-0.55,-0.55,,,,-0.55,,-0.55,-0.55,-0.55,0.0,0.0,0.0,-0.55,0.0,-0.55,alakai yuen,Tarleton State
2018,4362159,Alan Bowman,QB,Texas Tech,B12,0.379,0.407,-0.032,0.141,0.521,0.671,0.239,0.636,134.447,135.194,-0.747,21.105,64.658,50.314,55.002,79.445,alan bowman,Texas Tech
2019,4362159,Alan Bowman,QB,Texas Tech,B12,0.137,0.148,-0.088,-0.078,0.38,0.369,0.146,0.118,21.985,22.601,-0.616,-5.97,18.225,11.811,16.065,5.92,alan bowman,Texas Tech
2020,4362159,Alan Bowman,QB,Texas Tech,B12,0.189,0.228,-0.551,-0.013,0.561,0.178,0.052,0.429,45.176,51.787,-6.611,-1.36,43.766,8.896,7.894,37.281,alan bowman,Texas Tech
2021,4362159,Alan Bowman,QB,Michigan,B1G,0.014,0.014,,,-0.352,1.067,-2.777,0.712,0.072,0.072,0.0,0.0,-0.352,3.2,-2.777,2.848,alan bowman,Michigan
2022,4362159,Alan Bowman,QB,Michigan,B1G,1.085,1.085,,-0.108,1.52,1.625,0.245,2.204,7.593,7.593,0.0,-0.216,4.559,3.25,0.98,6.613,alan bowman,Michigan
2023,4362159,Alan Bowman,QB,Oklahoma State,B12,0.286,0.289,0.217,0.107,0.299,0.54,0.191,0.428,147.039,142.707,4.332,22.236,49.948,68.022,58.815,88.224,alan bowman,Oklahoma State
2024,4362159,Alan Bowman,QB,Oklahoma State,B12,0.331,0.355,-0.155,0.237,0.277,0.425,0.31,0.358,115.336,117.813,-2.477,32.521,31.537,35.694,60.221,55.114,alan bowman,Oklahoma State
2024,5191162,Alberto Mendoza,QB,Indiana,B1G,-1.441,0.117,-2.22,,-0.65,0.117,,-1.441,-4.323,0.117,-4.44,0.0,-0.65,0.117,0.0,-4.323,alberto mendoza,Indiana
2025,5191162,Alberto Mendoza,QB,Indiana,B1G,1.336,1.462,1.114,1.189,2.189,1.001,1.325,1.418,33.408,23.384,10.024,15.454,10.945,7.009,29.153,4.255,alberto mendoza,Indiana
2018,4241057,Aldon Clark,QB,Grambling,,0.227,-0.034,0.907,0.343,-0.226,0.614,0.498,-0.198,4.093,-0.442,4.535,1.373,-1.58,4.3,5.482,-1.389,aldon clark,Grambling
