season,cfbd_id,player,position,team,conference,average_ppa_all,average_ppa_pass,average_ppa_rush,average_ppa_first_down,average_ppa_second_down,average_ppa_third_down,average_ppa_standard_downs,average_ppa_passing_downs,total_ppa_all,total_ppa_pass,total_ppa_rush,total_ppa_first_down,total_ppa_second_down,total_ppa_third_down,total_ppa_standard_downs,total_ppa_passing_downs,normalized_name,canonical_school
2017,4240703,Kenny Pickett,QB,Pittsburgh,ACC,0.307,0.305,0.313,-0.125,0.412,0.446,0.09,0.565,28.224,21.334,6.89,-4.621,11.956,10.712,4.494,23.73,kenneth pickett,Pittsburgh
2018,4240703,Kenny Pickett,QB,Pittsburgh,ACC,0.098,0.043,0.311,-0.219,0.171,0.371,-0.111,0.326,41.758,14.366,27.392,-29.624,24.113,50.82,-24.721,66.479,kenneth pickett,Pittsburgh
2019,4240703,Kenny Pickett,QB,Pittsburgh,ACC,0.149,0.158,0.086,-0.011,0.108,0.376,0.054,0.287,83.66,77.577,6.083,-2.477,17.929,59.037,17.861,65.799,kenneth pickett,Pittsburgh
2020,4240703,Kenny Pickett,QB,Pittsburgh,ACC,0.277,0.294,0.191,0.119,0.258,0.451,0.185,0.418,114.225,100.681,13.543,18.869,32.459,52.265,46.133,68.092,kenneth pickett,Pittsburgh
2021,4240703,Kenny Pickett,QB,Pittsburgh,ACC,0.452,0.445,0.497,0.283,0.397,0.754,0.37,0.608,251.964,217.69,34.274,66.435,67.881,100.988,135.249,116.715,kenneth pickett,Pittsburgh
2015,3914864,Kenny Potter,QB,San José State,MWC,0.38,0.335,0.534,0.052,0.251,0.735,0.191,0.6,144.99,99.046,45.943,6.779,32.625,82.334,39.378,105.612,kenneth potter,San Jose State
2016,3914864,Kenny Potter,QB,San José State,MWC,0.177,0.162,0.227,0.02,-0.014,0.618,0.174,0.18,78.798,56.078,22.72,3.295,-2.035,76.619,43.086,35.712,kenneth potter,San Jose State
2014,3125353,Kent Myers,QB,Utah State,MWC,0.279,0.171,0.6,-0.072,0.402,0.555,0.176,0.4,48.562,22.177,26.385,-4.128,26.116,28.287,16.54,32.023,kent myers,Utah State
2015,3125353,Kent Myers,QB,Utah State,MWC,0.264,0.295,0.175,0.162,0.143,0.601,0.185,0.362,74.451,61.66,12.791,19.62,11.734,42.672,28.857,45.594,kent myers,Utah State
2016,3125353,Kent Myers,QB,Utah State,MWC,0.203,0.155,0.398,0.0,0.03,0.616,0.091,0.347,96.757,59.366,37.391,0.039,4.372,90.613,24.264,72.492,kent myers,Utah State
2017,3125353,Kent Myers,QB,Utah State,MWC,0.13,0.036,0.471,-0.107,0.29,0.199,0.031,0.277,36.096,7.822,28.274,-11.512,26.094,14.703,5.09,31.006,kent myers,Utah State
2018,4361566,Kenyon Oblad,QB,UNLV,MWC,-0.465,-0.465,,-0.388,-0.662,-0.343,-0.388,-0.503,-1.394,-1.394,0.0,-0.388,-0.662,-0.343,-0.388,-1.005,kenyon oblad,UNLV
2019,4361566,Kenyon Oblad,QB,UNLV,MWC,0.14,0.154,-0.015,-0.003,0.316,0.03,0.031,0.269,49.217,49.664,-0.447,-0.397,34.731,2.604,5.926,43.291,kenyon oblad,UNLV
2020,4361566,Kenyon Oblad,QB,UNLV,MWC,-0.306,-0.399,0.161,-0.114,-0.771,-0.031,-0.349,-0.263,-1.834,-1.996,0.161,-0.229,-1.543,-0.063,-1.046,-0.788,kenyon oblad,UNLV
2016,4050370,Keon Howard,QB,Southern Miss,CUSA,0.19,0.075,0.385,0.017,0.041,0.418,0.021,0.408,17.878,4.421,13.458,0.684,1.096,10.039,1.137,16.741,keon howard,Southern Miss
2017,4050370,Keon Howard,QB,Southern Miss,CUSA,0.202,0.196,0.222,0.217,0.009,0.296,0.184,0.225,45.091,33.75,11.341,15.419,0.692,20.458,23.061,22.03,keon howard,Southern Miss
2019,4050370,Keon Howard,QB,Tulane,AAC,0.632,0.722,0.515,0.601,0.12,1.079,0.689,0.474,18.959,12.266,6.693,9.609,0.721,8.629,15.166,3.793,keon howard,Tulane
