rank,player,position,posg,college,team,round,pick,age,draft_prior,football_score,profile_lift,pre_draft_prob_v6,early_evidence_prob,early_evidence_weight,success_prob_v6,model_confidence,feature_completeness,football_features_used_count,duplicate_count,data_flags,top_features_used,pre_draft_prob,success_prob,ras_score,pffx_yprr,pffx_g_off
58,Trey Amos,CB,DB,Mississippi,WAS,2.0,61.0,23.0,0.27,-0.06,-0.005,0.265,,0,0.265,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.256,0.383,8.38,,
59,Wyatt Milum,OL,OL,West Virginia,JAX,3.0,89.0,22.0,0.195,0.172,0.069,0.264,,0,0.264,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.249,0.2,9.14,,80.1
60,Will Johnson,CB,DB,Michigan,ARI,2.0,47.0,22.0,0.27,-0.086,-0.008,0.262,,0,0.262,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.347,0.442,,,
61,Demetrius Knight,LB,LB,South Carolina,CIN,2.0,49.0,25.0,0.265,-0.061,-0.005,0.26,,0,0.26,0.85,0.667,2,1,too_few_football_features,ras_score|pffx_g_off|age,0.108,0.287,8.17,,60.5
62,Dylan Fairchild,OL,OL,Georgia,CIN,3.0,81.0,22.0,0.195,0.158,0.063,0.258,,0,0.258,0.95,0.481,26,1,missing_ras,pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.21,0.354,,,73.1
63,Harold Fannin,TE,TE,Bowling Green,CLE,3.0,67.0,21.0,0.165,0.225,0.09,0.255,,0,0.255,0.95,0.894,601,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_catch_rate|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception,0.342,0.439,7.76,19.59,96.7
64,Omarr Norman-Lott,DT,DL,Tennessee,KAN,2.0,63.0,23.0,0.275,-0.226,-0.02,0.255,,0,0.255,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.256,0.166,5.95,,
65,Alfred Collins,DT,DL,Texas,SFO,2.0,43.0,23.0,0.275,-0.229,-0.021,0.254,,0,0.254,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.347,0.442,,,
66,Andrew Mukuba,SAF,DB,Texas,PHI,2.0,64.0,22.0,0.27,-0.22,-0.02,0.25,,0,0.25,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.33,0.432,5.12,,
67,Anthony Belton,OT,OL,North Carolina St.,GNB,2.0,54.0,24.0,0.285,-0.089,-0.039,0.246,,0,0.246,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.237,0.371,7.75,,65.9
68,Dillon Gabriel,QB,QB,Oregon,CLE,3.0,94.0,24.0,0.215,0.071,0.029,0.244,,0,0.244,0.95,0.946,945,1,missing_ras,pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats,0.17,0.327,,0.0,90.9
69,Kyle Williams,WR,WR,Washington St.,NWE,3.0,69.0,22.0,0.195,0.111,0.045,0.24,,0,0.24,0.95,0.985,637,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_catch_rate|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception,0.351,0.267,8.24,18.92,79.8
70,Pat Bryant,WR,WR,Illinois,DEN,3.0,74.0,22.0,0.195,0.093,0.037,0.232,,0,0.232,0.95,0.966,625,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_catch_rate|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception,0.272,0.394,7.08,17.55,84.5
71,Caleb Rogers,OL,OL,Texas Tech,LVR,3.0,98.0,23.0,0.195,0.092,0.037,0.232,,0,0.232,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.256,0.205,9.68,,72.4
72,Jaylin Noel,WR,WR,Iowa St.,HOU,3.0,79.0,23.0,0.195,0.089,0.035,0.23,,0,0.23,0.95,0.978,633,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception,0.17,0.149,9.75,33.83,84.9
73,Jalen Milroe,QB,QB,Alabama,SEA,3.0,92.0,22.0,0.215,0.003,0.001,0.216,,0,0.216,0.95,0.942,941,1,missing_ras,pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats,0.165,0.146,,0.0,90.2
74,Ashton Gillotte,DE,DL,Louisville,KAN,3.0,66.0,22.0,0.185,0.297,0.027,0.212,,0,0.212,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.295,0.409,9.75,,
75,Landon Jackson,DE,DL,Arkansas,BUF,3.0,72.0,22.0,0.185,0.209,0.019,0.204,,0,0.204,0.85,0.667,2,1,too_few_football_features,ras_score|pffx_g_off|age,0.15,0.097,9.78,,60.0
76,Emery Jones,OL,OL,LSU,BAL,3.0,91.0,21.0,0.195,0.021,0.008,0.203,,0,0.203,0.95,0.481,26,1,missing_ras,pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.257,0.206,,,73.9
77,Caleb Ransaw,SAF,DB,Tulane,JAX,3.0,88.0,22.0,0.18,0.256,0.023,0.203,,0,0.203,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.277,0.18,9.75,,
78,Jacob Parrish,CB,DB,Kansas St.,TAM,3.0,84.0,21.0,0.18,0.245,0.022,0.202,,0,0.202,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.295,0.409,8.82,,
79,Kevin Winston,SAF,DB,Penn St.,TEN,3.0,82.0,21.0,0.18,0.2,0.018,0.198,,0,0.198,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.279,0.22,,,
80,Isaac TeSlaa,WR,WR,Arkansas,DET,3.0,70.0,23.0,0.195,0.005,0.002,0.197,,0,0.197,0.95,0.961,622,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception,0.26,0.207,9.93,30.78,69.1
81,Jordan Burch,DE,DL,Oregon,ARI,3.0,78.0,23.0,0.185,0.095,0.009,0.194,,0,0.194,0.815,0.333,1,1,missing_ras;too_few_football_features,pffx_g_off|age,0.16,0.321,,,95.4
82,Azareye'h Thomas,CB,DB,Florida St.,NYJ,3.0,73.0,21.0,0.18,0.124,0.011,0.191,,0,0.191,0.85,0.667,2,1,too_few_football_features,ras_score|pffx_g_off|age,0.193,0.164,8.17,,60.0
83,Josaiah Stewart,DE,DL,Michigan,LAR,3.0,90.0,22.0,0.185,0.057,0.005,0.19,,0,0.19,0.28,0,0,1,missing_ras;too_few_football_features;low_position_feature_completeness,age,0.245,0.376,,,
84,Darien Porter,CB,DB,Iowa St.,LVR,3.0,68.0,24.0,0.18,0.098,0.009,0.189,,0,0.189,0.85,0.667,2,1,too_few_football_features,ras_score|pffx_g_off|age,0.182,0.335,9.99,,60.0
85,Princely Umanmielen,DE,DL,Mississippi,CAR,3.0,77.0,23.0,0.185,0.017,0.002,0.187,,0,0.187,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.227,0.186,8.99,,
86,Jared Wilson,OL,OL,Georgia,NWE,3.0,95.0,22.0,0.195,-0.023,-0.009,0.186,,0,0.186,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.339,0.437,9.84,,70.2
87,Savion Williams,WR,WR,TCU,GNB,3.0,87.0,23.0,0.195,-0.03,-0.012,0.183,,0,0.183,0.95,0.94,608,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception|pff_receiving_concept_screen_yprr,0.177,0.115,,14.25,86.8
88,Darius Alexander,DT,DL,Toledo,NYG,3.0,65.0,25.0,0.185,-0.047,-0.004,0.181,,0,0.181,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.119,0.116,9.17,,
89,Nick Martin,LB,LB,Oklahoma St.,SFO,3.0,75.0,22.0,0.175,0.056,0.005,0.18,,0,0.18,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.287,0.225,8.55,,
90,Nohl Williams,CB,DB,California,KAN,3.0,85.0,22.0,0.18,-0.087,-0.008,0.172,,0,0.172,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.249,0.2,7.13,,
91,Jonas Sanker,SAF,DB,Virginia,NOR,3.0,93.0,22.0,0.18,-0.1,-0.009,0.171,,0,0.171,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.249,0.379,7.04,,
92,Xavier Watts,SAF,DB,Notre Dame,ATL,3.0,96.0,23.0,0.18,-0.106,-0.01,0.17,,0,0.17,0.85,0.667,2,1,too_few_football_features,ras_score|pffx_g_off|age,0.157,0.319,5.79,,66.4
93,Jaylin Smith,CB,DB,USC,HOU,3.0,97.0,21.0,0.18,-0.123,-0.011,0.169,,0,0.169,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.309,0.201,4.82,,
94,Charles Grant,OL,OL,William & Mary,LVR,3.0,99.0,23.0,0.195,-0.29,-0.026,0.169,,0,0.169,0.352,0.019,1,1,too_few_football_features;low_position_feature_completeness,ras_score|age,0.228,0.187,5.79,,
95,Shedeur Sanders,QB,QB,Colorado,CLE,5.0,144.0,23.0,0.135,0.119,0.033,0.168,,0,0.168,0.85,0.944,943,1,missing_ras,pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats,0.107,0.21,,0.0,94.1
96,Upton Stout,CB,DB,Western Kentucky,SFO,3.0,100.0,23.0,0.18,-0.152,-0.014,0.166,,0,0.166,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.216,0.358,7.61,,
97,Justin Walley,CB,DB,Minnesota,IND,3.0,80.0,22.0,0.18,-0.169,-0.015,0.165,,0,0.165,0.85,0.333,1,1,too_few_football_features,ras_score|age,0.254,0.165,5.97,,
98,Kaleb Johnson,RB,RB,Iowa,PIT,3.0,83.0,22.0,0.165,-0.013,-0.005,0.16,,0,0.16,0.95,0.814,560,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception|pff_receiving_concept_screen_yprr,0.164,0.106,,8.0,87.3
99,Shavon Revel,CB,DB,East Carolina,DAL,3.0,76.0,24.0,0.18,-0.251,-0.023,0.157,,0,0.157,0.815,0.333,1,1,missing_ras;too_few_football_features,pffx_g_off|age,0.135,0.127,,,60.0
