rank,player,position,posg,college,team,round,pick,age,draft_prior,football_score,profile_lift,pre_draft_prob_v6,early_evidence_prob,early_evidence_weight,success_prob_v6,model_confidence,feature_completeness,football_features_used_count,duplicate_count,data_flags,top_features_used,pre_draft_prob,success_prob,ras_score,pffx_yprr,pffx_g_off
1,Caleb Williams,QB,QB,USC,CHI,1.0,1.0,22.0,0.825,0.125,0.033,0.858,,0,0.858,0.95,0.949,948,1,missing_ras,pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats,0.558,0.697,,15.0,94.3
2,Jayden Daniels,QB,QB,LSU,WAS,1.0,2.0,23.0,0.775,0.131,0.034,0.809,,0,0.809,0.95,0.935,934,1,missing_ras,pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats|pff_passing_concept_no_screen_big_time_throws,0.547,0.693,,,94.8
3,Drake Maye,QB,QB,North Carolina,NWE,1.0,3.0,22.0,0.775,0.088,0.023,0.798,,0,0.798,0.95,0.942,941,1,missing_ras,pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats,0.814,0.8,,0.0,92.3
4,Joe Alt,OL,OL,Notre Dame,LAC,1.0,5.0,21.0,0.695,0.165,0.053,0.748,,0,0.748,0.95,0.5,27,1,,ras_score|pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.572,0.703,9.93,,90.7
5,Marvin Harrison Jr.,WR,WR,Ohio St.,ARI,1.0,4.0,22.0,0.695,0.128,0.041,0.736,,0,0.736,0.95,0.977,632,1,missing_ras,pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception|pff_receiving_concept_screen_yprr,0.708,0.757,,24.92,89.9
6,Michael Penix,QB,QB,Washington,ATL,1.0,8.0,24.0,0.635,0.126,0.04,0.675,,0,0.675,0.95,0.949,948,1,,ras_score|pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw,0.576,0.284,9.75,0.0,93.0
7,Malik Nabers,WR,WR,LSU,NYG,1.0,6.0,21.0,0.615,0.179,0.057,0.672,,0,0.672,0.95,0.98,634,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_catch_rate|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception,0.797,0.793,9.67,23.0,92.9
8,Rome Odunze,WR,WR,Washington,CHI,1.0,9.0,22.0,0.615,0.175,0.056,0.671,,0,0.671,0.95,0.988,639,1,,ras_score|pffx_yprr|pffx_g_off|pff_receiving_concept_base_targets|pff_receiving_concept_declined_penalties|pff_receiving_concept_penalties|pff_receiving_concept_screen_avg_depth_of_target|pff_receiving_concept_screen_avoided_tackles|pff_receiving_concept_screen_caught_percent|pff_receiving_concept_screen_contested_receptions|pff_receiving_concept_screen_contested_targets|pff_receiving_concept_screen_drop_rate|pff_receiving_concept_screen_drops|pff_receiving_concept_screen_epa|pff_receiving_concept_screen_first_downs|pff_receiving_concept_screen_fumbles|pff_receiving_concept_screen_grades_hands_drop|pff_receiving_concept_screen_grades_pass_route|pff_receiving_concept_screen_interceptions|pff_receiving_concept_screen_longest|pff_receiving_concept_screen_pass_block_rate|pff_receiving_concept_screen_pass_blocks|pff_receiving_concept_screen_pass_plays|pff_receiving_concept_screen_positive_epa_percent|pff_receiving_concept_screen_receptions|pff_receiving_concept_screen_route_rate|pff_receiving_concept_screen_routes|pff_receiving_concept_screen_targeted_qb_rating|pff_receiving_concept_screen_targets|pff_receiving_concept_screen_targets_percent|pff_receiving_concept_screen_touchdowns|pff_receiving_concept_screen_yards|pff_receiving_concept_screen_yards_after_catch|pff_receiving_concept_screen_yards_after_catch_per_reception|pff_receiving_concept_screen_yards_per_reception,0.39,0.63,9.92,15.98,89.9
9,J.J. McCarthy,QB,QB,Michigan,MIN,1.0,10.0,21.0,0.635,0.054,0.017,0.652,,0,0.652,0.95,0.94,939,1,missing_ras,pffx_yprr|pffx_g_off|pff_passing_allowed_pressure_allowed_pressure_dropbacks|pff_passing_allowed_pressure_ce_percent|pff_passing_allowed_pressure_declined_penalties|pff_passing_allowed_pressure_hits_allowed|pff_passing_allowed_pressure_hurries_allowed|pff_passing_allowed_pressure_lg_percent|pff_passing_allowed_pressure_lt_percent|pff_passing_allowed_pressure_ol_te_percent|pff_passing_allowed_pressure_other_percent|pff_passing_allowed_pressure_penalties|pff_passing_allowed_pressure_pressures_allowed|pff_passing_allowed_pressure_pressures_ce|pff_passing_allowed_pressure_pressures_lg|pff_passing_allowed_pressure_pressures_lt|pff_passing_allowed_pressure_pressures_off|pff_passing_allowed_pressure_pressures_ol_te|pff_passing_allowed_pressure_pressures_other|pff_passing_allowed_pressure_pressures_rg|pff_passing_allowed_pressure_pressures_rt|pff_passing_allowed_pressure_pressures_self|pff_passing_allowed_pressure_pressures_te|pff_passing_allowed_pressure_rg_percent|pff_passing_allowed_pressure_rt_percent|pff_passing_allowed_pressure_sacks_allowed|pff_passing_allowed_pressure_self_percent|pff_passing_allowed_pressure_te_percent|pff_passing_concept_dropbacks|pff_passing_concept_no_screen_accuracy_percent|pff_passing_concept_no_screen_aimed_passes|pff_passing_concept_no_screen_attempts|pff_passing_concept_no_screen_avg_depth_of_target|pff_passing_concept_no_screen_avg_time_to_throw|pff_passing_concept_no_screen_bats,0.517,0.261,,0.0,90.6
10,JC Latham,OL,OL,Alabama,TEN,1.0,7.0,21.0,0.615,0.105,0.034,0.649,,0,0.649,0.95,0.481,26,1,missing_ras,pffx_g_off|pff_offense_blocking_block_percent|pff_offense_blocking_declined_penalties|pff_offense_blocking_grades_offense|pff_offense_blocking_grades_pass_block|pff_offense_blocking_grades_run_block|pff_offense_blocking_hits_allowed|pff_offense_blocking_hurries_allowed|pff_offense_blocking_non_spike_pass_block|pff_offense_blocking_non_spike_pass_block_percentage|pff_offense_blocking_pass_block_percent|pff_offense_blocking_pbe|pff_offense_blocking_penalties|pff_offense_blocking_pressures_allowed|pff_offense_blocking_sacks_allowed|pff_offense_blocking_snap_counts_block|pff_offense_blocking_snap_counts_ce|pff_offense_blocking_snap_counts_lg|pff_offense_blocking_snap_counts_lt|pff_offense_blocking_snap_counts_offense|pff_offense_blocking_snap_counts_pass_block|pff_offense_blocking_snap_counts_pass_play|pff_offense_blocking_snap_counts_rg|pff_offense_blocking_snap_counts_rt|pff_offense_blocking_snap_counts_run_block|pff_offense_blocking_snap_counts_te|age,0.56,0.698,,,81.9
