player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_snap,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_snap,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Shai Werts,40384,QB,GA SOUTHRN,11,2.97,2.55,3.76,4.85,171,174,81.4,70,70,4.2,1.75,0,0,0.0,77.1,54,7,5.3,72,42.1,3,0.07,22,,,,,70.8,64.0,77.0,,63.5,,,,,,,0,2,73,54.2,28.6,85.3,2.8,2,0,0,0,1,2,2.7,438,6.3,50.0,58,63,20.9,3.86,0,10,15.2,41.3,26,54,10.3,99,57.9,3,-0.22,27,,,,,29.5,54.8,78.4,,52.3,,,61.9,,,,1,4,102,30.3,22.2,88.2,12.1,12,24,0,4,7,7,6.9,622,9.9
Chase Garbers,60356,QB,CAL,4,2.68,2.32,3.21,4.86,170,130,78.8,85,87,5.2,1.74,2,1,1.1,73.6,64,10,4.5,91,53.5,3,0.0,27,,,,,71.7,63.3,78.1,,62.8,,,,,,,0,1,95,49.5,40.0,94.9,4.4,4,0,0,0,3,2,2.1,518,6.0,51.2,43,49,14.8,3.77,0,5,9.3,42.9,21,41,4.5,79,46.5,1,-0.26,18,,,,,48.9,56.8,77.7,,60.6,,,52.7,,,,0,2,85,31.6,26.8,62.7,13.9,11,19,0,6,3,1,1.2,253,5.2
Rocky Lombardi,60452,QB,MICH STATE,6,2.4,2.33,2.72,5.25,168,223,69.9,83,90,6.5,1.78,3,3,3.2,55.6,50,11,13.8,91,54.2,8,-0.3,24,,,,,71.7,61.6,78.1,,61.2,,,,,,,2,4,95,35.2,9.1,75.0,1.1,1,0,0,2,6,4,4.2,496,5.5,62.1,58,68,16.4,3.16,0,6,8.1,48.5,33,30,8.3,76,45.2,3,-0.04,24,,,,,47.9,61.1,77.5,,59.8,,,63.9,,,,0,5,82,38.2,13.3,58.0,5.3,4,4,0,10,2,8,9.8,592,8.7
Dorian Thompson-Robinson,83574,QB,UCLA,5,2.96,2.61,4.14,5.37,167,324,74.0,73,74,3.6,1.77,1,1,1.3,73.0,54,9,0.0,75,44.9,0,0.3,26,,,,,71.0,47.4,77.2,,47.4,,,,,,,0,3,76,49.3,11.1,119.8,1.3,1,0,0,0,10,4,5.3,608,8.2,68.4,57,66,12.4,3.98,0,4,5.4,56.1,37,47,5.1,91,54.5,2,0.29,35,,,,,52.0,74.0,78.4,,62.5,,,83.3,,,,1,1,101,49.5,14.9,85.4,7.7,7,18,0,8,2,6,5.9,520,7.9
Will McElvain,88639,QB,N IOWA,5,3.1,2.79,4.69,4.85,167,255,69.4,62,63,6.7,1.95,0,1,1.5,57.1,36,10,16.3,64,38.3,7,-0.09,16,,,,,70.7,62.9,76.8,,62.5,,,,,,,0,1,69,40.6,10.0,73.1,1.6,1,0,0,1,1,3,4.3,374,5.9,58.8,68,78,12.9,3.82,1,5,5.9,46.2,36,57,10.0,103,61.7,4,-0.14,27,,,,,72.3,62.0,78.8,,67.0,,,48.6,,,,0,1,112,31.1,14.0,65.5,7.8,8,17,0,9,0,2,1.8,568,7.3
Jack Abraham,40557,QB,SO MISS,5,2.4,2.22,3.3,5.72,167,296,74.5,98,101,4.6,1.74,1,3,2.8,67.3,68,9,6.8,103,61.7,5,0.05,33,,,,,49.4,70.4,78.7,,69.6,,,,,,,0,2,109,44.7,22.2,98.7,1.9,2,0,0,2,5,1,0.9,782,7.7,68.1,47,49,11.7,3.47,0,3,5.6,61.2,30,32,6.3,64,38.3,2,-0.02,18,,,,,70.7,75.9,76.8,,76.7,,,57.2,,,,0,2,69,37.5,31.3,88.1,15.6,10,5,0,2,2,0,0.0,451,9.2
Stetson Bennett,60387,QB,GEORGIA,8,2.57,2.41,4.23,5.17,167,173,69.0,84,89,7.3,1.81,4,6,6.5,58.4,52,11,10.3,89,53.3,6,0.07,27,,,,,71.6,74.5,78.0,,73.6,,,,,,,1,1,92,42.7,0.0,89.8,0.0,0,0,0,0,5,3,3.3,534,6.0,57.6,59,67,17.4,3.43,2,4,5.5,50.7,34,29,0.0,78,46.7,0,-0.01,31,,,,,49.1,63.6,77.7,,62.0,,,64.5,,,,1,5,86,42.3,13.8,68.0,5.1,4,7,0,5,3,4,4.7,640,9.6
Jalon Jones,104762,QB,JACKSON ST,5,2.55,2.27,3.99,4.75,166,194,70.5,95,97,5.0,1.71,1,3,2.9,60.8,59,15,11.9,100,60.2,8,0.03,30,,,,,53.2,73.0,78.7,,72.1,,,,,,,0,2,108,39.0,20.0,91.4,3.0,3,0,0,1,6,4,3.7,619,6.4,58.3,36,45,17.3,3.88,1,3,5.9,44.4,20,27,4.8,65,39.2,1,0.22,27,,,,,27.2,71.2,76.9,,58.8,,,84.6,,,,0,1,71,46.2,25.9,104.2,10.8,7,13,0,8,5,3,4.2,403,9.0
Willie Miller,104799,QB,TENN TECH,5,2.84,2.71,3.33,5.0,166,309,71.0,62,65,5.8,1.81,2,4,6.0,64.6,42,7,4.5,65,39.2,2,-0.42,14,,,,,70.6,55.3,76.7,,55.0,,,,,,,0,2,67,33.8,0.0,61.4,0.0,0,0,0,1,0,4,6.0,286,4.4,55.1,78,86,15.3,3.51,0,7,7.8,45.3,39,43,9.3,101,60.8,4,-0.16,29,,,,,33.0,55.7,34.7,,58.1,,,52.6,,,,3,6,105,35.6,16.3,58.7,6.9,7,8,0,5,5,9,8.6,588,6.8
Jacob Free,60591,QB,TROY,6,2.66,2.56,3.66,4.9,165,318,77.6,76,80,4.5,1.82,3,3,3.5,70.0,56,7,5.1,80,48.5,3,0.11,31,,,,,71.4,74.9,77.7,,74.0,,,,,,,0,1,86,50.0,0.0,93.0,0.0,0,0,0,1,3,0,0.0,485,6.1,59.4,64,73,16.5,3.45,0,4,5.3,45.2,33,31,13.2,85,51.5,5,-0.32,24,,,,,44.7,48.5,77.8,,49.0,,,56.5,,,,2,4,88,40.0,29.0,62.9,10.6,9,3,0,7,3,9,10.2,566,7.8
Carson Camp,141837,QB,S DAKOTA,4,3.32,2.82,4.73,6.28,162,291,86.5,74,75,3.8,1.88,0,1,1.3,76.0,57,8,10.9,75,46.3,7,-0.02,25,,,,,71.0,70.2,77.3,,69.5,,,,,,,0,3,77,48.0,0.0,74.3,0.0,0,0,0,1,0,2,2.6,459,6.1,61.5,52,55,16.2,4.57,0,3,5.2,45.5,25,51,21.9,87,53.7,7,-0.15,21,,,,,50.7,71.3,29.7,,71.5,,,63.4,,,,0,1,91,36.8,37.3,89.1,21.8,19,13,0,3,3,5,5.5,508,9.2
Joe Milton III,82151,QB,MICHIGAN,6,2.81,2.59,4.09,5.1,161,222,75.7,70,72,8.1,1.95,1,3,4.2,65.3,47,14,11.3,73,45.3,6,0.2,29,,,,,70.8,82.4,77.0,,81.3,,,,,,,1,0,73,47.9,7.1,99.1,1.4,1,0,0,0,2,3,4.1,577,8.0,56.1,66,69,16.2,3.56,0,8,11.0,47.8,33,38,10.8,87,54.0,4,-0.03,28,,,,,71.6,62.9,78.0,,62.6,,,60.0,,,,3,4,92,35.6,21.1,57.3,9.2,8,10,0,0,2,5,5.4,495,7.2
Bryce Rivers,60589,QB,NWSTATE,4,2.58,2.45,3.43,4.01,160,257,71.6,95,97,11.1,1.98,2,4,3.8,57.7,56,11,17.6,97,60.6,12,0.22,42,,,,,72.0,89.0,78.5,,87.4,,,,,,,0,1,104,48.5,0.0,99.3,0.0,0,0,0,0,6,1,1.0,763,7.9,51.2,43,46,12.9,3.51,0,2,4.2,43.5,20,36,9.1,63,39.4,2,-0.31,15,,,,,70.5,55.1,76.7,,57.2,,,53.3,,,,0,1,66,28.6,27.8,58.3,15.9,10,7,0,3,0,2,3.0,321,7.0
Isaiah Green,60442,QB,TENN STATE,6,3.0,2.62,4.39,5.29,160,308,71.4,77,79,6.7,1.85,2,0,0.0,63.3,50,11,9.1,80,50.0,5,0.13,26,,,,,71.2,65.2,77.5,,64.7,,,,,,,0,0,81,46.3,9.1,85.5,1.3,1,0,0,0,1,1,1.2,502,6.4,57.4,47,54,15.7,4.15,0,3,5.2,48.1,26,52,3.7,80,50.0,1,-0.39,18,,,,,71.3,51.1,77.6,,51.0,,,57.3,,,,0,2,84,30.0,23.1,64.6,15.0,12,14,0,7,1,4,4.8,410,7.6
Kyle Vantrease,55029,QB,BUFFALO,7,2.14,2.14,3.0,,155,126,70.9,117,118,8.9,1.84,1,4,3.3,61.9,73,10,12.0,118,76.1,10,0.13,38,,,,,72.7,77.3,79.2,,76.2,,,,,,,0,3,123,51.7,0.0,77.3,0.0,0,0,0,0,3,3,2.4,730,6.2,65.7,35,36,18.7,3.1,0,7,16.7,61.1,22,10,4.3,37,23.9,1,0.59,15,,,,,69.1,91.1,75.0,,90.7,,,,,,,0,0,43,56.8,10.0,142.1,2.7,1,0,0,1,4,1,2.3,596,16.6
Bryson Lucero,97608,QB,UAB,7,2.71,2.68,2.2,5.67,154,321,71.7,60,62,7.5,1.99,2,1,1.6,66.1,41,17,4.7,65,42.2,2,-0.28,18,,,,,70.4,56.4,76.6,,56.2,,,,,,,0,3,65,41.5,17.6,82.7,4.6,3,0,0,0,4,4,6.2,359,5.8,56.0,75,85,16.5,3.27,2,6,6.5,45.9,39,30,7.1,88,57.1,3,-0.06,32,,,,,71.7,68.5,78.1,,69.5,,,51.1,,,,2,5,95,39.8,0.0,58.2,0.0,0,3,0,6,3,4,4.2,625,7.4
Jeremy Hunt,123483,QB,LA MONROE,7,2.63,2.42,3.23,4.31,153,209,78.1,73,78,5.8,1.79,3,1,1.2,62.8,49,13,14.0,81,52.9,8,-0.3,19,,,,,71.4,61.9,27.7,,62.6,,,,,,,0,2,85,34.6,23.1,84.1,3.7,3,0,0,2,5,1,1.2,356,4.6,52.1,48,52,18.2,3.59,0,3,5.8,40.4,21,36,16.0,72,47.1,4,-0.13,21,,,,,45.9,57.9,77.0,,60.6,,,53.7,,,,0,2,72,31.9,19.4,57.1,9.7,7,13,0,4,1,4,5.6,386,7.4
Eli Peters,40041,QB,TOLEDO,4,2.46,2.24,2.51,4.48,152,316,78.3,83,84,4.4,1.89,1,1,1.1,73.8,62,16,4.6,89,58.6,3,0.33,28,,,,,50.3,63.0,33.5,,63.4,,,,,,,0,0,95,56.2,31.3,113.0,5.6,5,0,0,0,5,2,2.1,596,7.1,71.4,42,45,16.1,3.26,2,5,9.8,57.8,26,22,13.3,63,41.4,4,0.36,27,,,,,44.9,76.3,76.9,,79.5,,,57.4,,,,0,2,70,47.6,18.2,108.6,6.3,4,14,0,1,4,3,4.3,510,11.3
T.J. Finley,124093,QB,LSU,5,2.64,2.55,3.37,4.86,151,211,73.5,68,72,5.9,1.86,1,2,2.7,58.3,42,14,16.0,73,48.3,8,-0.18,23,,,,,71.0,62.4,77.2,,61.9,,,,,,,3,4,76,41.1,7.1,61.1,1.4,1,0,0,0,2,4,5.3,419,5.8,65.1,63,67,15.1,3.42,0,3,4.2,55.2,37,26,9.8,77,51.0,4,-0.17,25,,,,,28.4,74.1,26.3,,76.6,,,52.9,,,,1,1,81,39.0,19.2,84.6,6.5,5,5,0,3,2,4,4.9,527,7.9
Jake Bentley,40788,QB,UTAH,5,3.11,2.83,3.4,4.82,151,328,80.4,51,53,4.8,1.99,1,1,1.8,71.7,38,11,7.3,53,35.1,3,0.09,21,,,,,70.1,63.0,76.1,,62.6,,,,,,,1,1,57,54.7,0.0,104.1,0.0,0,0,0,0,3,2,3.5,398,7.5,60.3,68,71,12.3,3.71,0,4,5.6,54.9,39,54,4.9,98,64.9,2,-0.05,29,,,,,32.4,57.2,78.5,,51.6,,,68.0,,,,2,5,103,41.8,14.8,61.3,8.2,8,19,0,1,3,7,6.8,489,6.9
Jayden de Laura,131928,QB,WASH STATE,4,3.04,2.78,3.78,5.52,150,341,85.1,74,75,8.1,1.98,1,6,7.6,74.7,56,6,11.1,75,50.0,7,0.24,26,,,,,71.1,92.8,77.4,,92.3,,,,,,,0,1,79,56.0,0.0,106.4,0.0,0,0,0,0,3,0,0.0,617,8.2,56.5,46,55,15.1,4.1,0,1,1.8,41.8,23,34,11.5,75,50.0,3,-0.45,15,,,,,47.3,47.3,77.2,,48.5,,,54.0,,,,1,3,76,33.3,26.5,47.2,12.0,9,11,0,8,2,6,7.9,276,5.0
Matt McDonald,60350,QB,BOWL GREEN,5,2.99,2.7,2.87,5.16,149,122,69.6,46,48,4.5,1.9,2,0,0.0,54.2,26,12,18.8,51,34.2,6,-0.53,9,,,,,39.5,53.8,75.9,,53.6,,,,,,,0,1,55,27.5,25.0,58.8,5.9,3,0,0,0,0,2,3.6,233,4.9,50.7,69,75,15.7,3.56,2,5,6.4,37.3,28,46,20.0,98,65.8,7,-0.33,22,,,,,71.9,48.7,78.4,,51.4,,,50.8,,,,3,5,101,30.6,13.0,36.5,6.1,6,17,0,1,1,6,5.9,479,6.4
Miles Kendrick,77673,QB,KANSAS,7,2.94,2.5,4.29,5.89,148,198,75.7,70,73,5.7,1.8,2,4,5.1,69.9,51,13,3.8,74,50.0,2,-0.07,21,,,,,71.1,72.4,77.4,,71.6,,,,,,,1,1,79,37.8,7.7,90.7,1.4,1,0,0,0,3,2,2.5,392,5.4,57.1,42,47,11.7,4.07,0,0,0.0,46.8,22,49,8.3,74,50.0,2,-0.7,15,,,,,27.8,29.6,77.3,,29.1,,,58.5,,,,1,4,77,21.6,36.7,49.4,24.3,18,9,0,4,3,7,9.1,254,5.4
Aidan O'Connell,60516,QB,PURDUE,3,2.56,2.47,4.05,3.85,148,273,75.0,84,86,6.8,1.85,2,4,4.4,68.6,59,11,6.3,87,58.8,4,0.09,28,,,,,50.1,69.3,77.9,,68.5,,,,,,,0,1,91,47.1,9.1,96.3,1.1,1,0,0,0,4,3,3.3,544,6.3,72.7,44,51,10.6,3.62,0,2,3.6,56.9,29,38,9.4,60,40.5,3,-0.1,17,,,,,43.7,51.3,76.7,,54.8,,,43.9,,,,1,1,66,43.3,18.4,91.3,11.7,7,2,0,6,3,4,6.1,372,7.3
Keondre Wudtee,40367,QB,N ARIZONA,5,2.38,2.36,3.14,3.93,148,252,74.7,87,90,7.2,1.97,3,2,2.1,71.1,64,15,1.5,92,62.2,1,0.31,33,,,,,71.8,79.2,78.2,,78.1,,,,,,,0,0,98,51.1,13.3,101.0,2.2,2,0,0,0,2,0,0.0,697,7.7,42.1,38,45,20.1,3.24,0,5,10.2,33.3,15,25,6.3,53,35.8,1,-0.16,14,,,,,70.1,65.8,76.1,,61.8,,,73.6,,,,0,1,57,28.3,20.0,71.2,9.4,5,3,0,7,2,1,1.8,386,8.6
Tony Muskett,142933,QB,MONMOUTH,4,2.35,2.14,3.4,4.23,147,231,73.9,92,96,5.8,1.74,3,7,7.1,64.6,62,17,8.8,98,66.7,6,0.11,34,,,,,71.9,90.6,78.4,,90.1,,,,,,,0,0,101,40.8,11.8,103.2,2.0,2,0,0,1,5,1,1.0,689,7.2,61.3,31,32,14.8,3.57,0,5,14.3,56.3,18,28,5.3,49,33.3,1,0.09,16,,,,,38.1,69.2,75.7,,77.1,,,46.8,,,,0,2,52,40.8,28.6,108.1,16.3,8,9,0,1,4,2,3.8,350,10.9
Bronson Barron,141710,QB,WEBER ST,5,2.97,2.78,4.2,4.8,147,342,80.3,66,71,6.9,1.87,4,2,2.7,70.4,50,5,5.7,71,48.3,3,0.36,28,,,,,70.9,74.7,77.2,,73.8,,,,,,,1,1,75,59.2,0.0,108.5,0.0,0,0,0,0,4,0,0.0,593,8.4,60.0,50,60,22.6,4.01,1,8,12.1,38.3,23,39,23.3,76,51.7,7,-0.08,22,,,,,71.2,79.1,77.5,,79.0,,,62.1,,,,2,1,82,34.2,17.9,78.4,9.2,7,9,0,7,3,1,1.2,499,8.3
Myles Brennan,60438,QB,LSU,3,2.64,2.46,3.66,5.48,145,211,85.5,69,75,5.6,1.82,4,3,4.0,66.7,50,10,15.3,76,52.4,9,0.27,30,,,,,71.0,83.3,77.2,,82.1,,,,,,,2,0,76,51.3,10.0,108.3,1.3,1,0,0,0,4,0,0.0,591,7.9,67.3,49,56,15.5,3.54,0,7,12.1,51.8,29,41,12.1,69,47.6,4,0.07,24,,,,,70.8,82.7,77.0,,86.0,,,50.6,,,,1,3,72,40.6,19.5,101.3,11.6,8,5,0,6,7,1,1.4,521,9.3
Mike Beaudry,101052,QB,IDAHO,4,2.68,2.49,3.26,4.26,144,185,77.1,70,74,6.9,1.99,2,1,1.3,70.3,52,14,3.7,76,52.8,2,-0.06,22,,,,,71.2,57.9,77.5,,57.6,,,,,,,1,1,82,46.1,14.3,88.7,2.6,2,0,0,1,2,1,1.2,439,5.9,51.1,45,50,12.8,3.45,0,4,8.0,44.0,22,40,4.3,68,47.2,1,-0.33,22,,,,,70.6,65.6,76.8,,54.9,,,81.1,,,,2,2,68,36.8,15.0,59.2,8.8,6,12,0,3,1,5,7.4,365,7.3
Anthony Russo,40108,QB,TEMPLE,3,2.03,1.98,2.7,4.33,143,306,75.9,108,108,5.4,1.69,0,3,2.7,68.5,74,4,9.8,109,76.2,8,0.16,43,,,,,72.3,60.2,78.8,,59.8,,,,,,,0,5,113,50.5,25.0,87.4,0.9,1,0,0,0,8,6,5.3,592,5.5,82.1,28,28,15.6,3.2,0,3,9.4,67.9,19,10,17.4,33,23.1,4,0.05,14,,,,,68.8,90.1,74.5,,91.1,,,50.1,,,,0,1,37,48.5,20.0,97.2,6.1,2,3,0,0,1,2,5.4,279,10.0
Bryce Jefferson,89411,QB,ILL STATE,4,3.34,2.98,4.01,4.88,143,188,71.4,42,46,5.0,1.86,3,0,0.0,56.5,26,10,13.3,47,32.9,4,-0.42,7,,,,,69.7,35.4,75.6,,35.8,,,,,,,1,1,50,34.0,10.0,61.9,2.1,1,0,0,0,1,3,6.0,160,3.5,54.5,55,63,16.7,4.07,0,4,6.3,44.4,28,59,6.7,96,67.1,2,-0.27,25,,,,,24.6,45.5,78.2,,38.7,,,67.3,,,,1,5,97,34.4,23.7,48.5,14.6,14,19,0,7,2,9,9.3,482,7.7
Taulia Tagovailoa,97271,QB,MARYLAND,4,2.78,2.55,3.49,5.25,141,215,79.7,74,74,5.9,1.76,0,1,1.3,74.3,55,7,6.8,75,53.2,4,0.31,29,,,,,71.1,77.0,77.3,,76.0,,,,,,,0,2,78,54.7,14.3,105.8,1.3,1,0,0,0,4,1,1.3,622,8.4,57.1,42,48,17.3,3.99,1,4,7.3,39.6,19,32,20.8,65,46.1,5,-0.15,19,,,,,70.8,49.9,25.4,,45.0,,,70.2,,,,0,5,73,35.4,21.9,49.7,10.8,7,10,0,5,3,8,11.0,385,8.0
Tristan Gebbia,60475,QB,OREGON ST,4,2.78,2.69,3.46,4.73,140,265,76.3,59,59,5.8,1.94,0,0,0.0,71.2,42,7,6.7,60,42.9,3,0.09,24,,,,,70.3,79.0,76.5,,78.0,,,,,,,0,1,63,58.3,14.3,86.1,1.7,1,0,0,0,1,0,0.0,370,6.3,65.6,64,70,11.8,3.41,1,5,6.8,54.3,38,33,9.5,80,57.1,4,-0.19,26,,,,,71.3,73.2,77.7,,74.8,,,53.0,,,,0,2,86,38.8,21.2,72.0,8.8,7,3,0,5,2,1,1.2,454,6.5
Alex Piccirilli,109065,QB,STETSON,4,2.82,2.33,3.39,4.86,140,302,69.1,68,72,7.7,1.97,2,2,2.7,59.7,43,11,8.5,75,53.6,4,-0.49,13,,,,,71.0,51.1,77.3,,51.1,,,,,,,1,5,77,32.0,27.3,53.4,4.0,3,0,0,1,2,3,3.9,367,5.1,44.8,29,32,16.6,3.8,1,1,3.1,37.5,12,35,7.7,65,46.4,1,-0.33,19,,,,,70.6,47.9,21.1,,35.9,,,68.7,,,,0,3,68,32.3,34.3,24.7,18.5,12,21,0,2,1,4,5.9,154,4.8
Joe Mischler,77695,QB,DUQUESNE,5,2.54,2.42,3.88,5.2,140,155,76.9,78,79,7.5,1.83,0,1,1.1,72.2,57,7,5.0,79,56.4,3,0.34,34,,,,,71.5,67.8,77.9,,67.1,,,,,,,0,3,90,55.7,0.0,94.4,0.0,0,0,0,1,4,3,3.3,590,7.5,58.0,50,51,17.8,3.46,0,8,15.1,54.9,28,21,3.4,61,43.6,1,0.31,25,,,,,43.3,82.8,76.5,,83.5,,,53.8,,,,1,1,63,44.3,38.1,121.7,13.1,8,2,0,0,5,3,4.8,604,11.8
Mark Waid,108943,QB,YNGTOWN ST,6,2.9,2.48,3.37,4.56,139,353,73.6,53,58,6.7,1.96,2,1,1.6,65.5,38,6,2.6,58,41.7,1,-0.12,13,,,,,70.3,54.0,76.3,,53.8,,,,,,,2,3,61,43.1,0.0,61.9,0.0,0,0,0,1,1,2,3.3,293,5.1,69.4,36,38,9.4,3.71,0,1,2.4,60.5,23,39,8.0,78,56.1,2,-0.06,19,,,,,47.9,61.7,77.5,,58.7,,,63.2,,,,0,1,81,38.5,38.5,84.5,19.2,15,25,0,2,2,1,1.2,232,6.1
Levi Williams,98365,QB,WYOMING,6,3.01,2.9,3.53,4.77,138,351,73.7,38,42,6.2,2.01,1,2,4.5,52.4,22,21,21.4,44,31.9,6,-0.14,10,,,,,69.4,64.2,75.3,,63.8,,,,,,,2,0,46,36.4,9.5,79.3,4.5,2,0,0,1,1,1,2.2,258,6.1,52.7,74,78,14.6,3.48,0,7,8.5,47.4,37,50,5.1,94,68.1,2,-0.29,25,,,,,52.0,53.8,78.2,,53.9,,,58.2,,,,1,3,98,34.0,26.0,58.7,13.8,13,3,0,3,0,5,5.1,619,7.9
Hunter Rodrigues,78490,QB,UC DAVIS,5,3.03,2.67,4.31,5.69,138,322,79.7,59,61,6.9,1.88,2,3,4.7,68.9,42,4,10.6,61,44.2,5,0.28,22,,,,,70.4,80.8,76.5,,79.7,,,,,,,0,0,64,54.1,0.0,119.0,0.0,0,0,0,0,5,3,4.7,471,7.7,70.4,54,56,12.9,3.95,0,6,10.5,62.5,35,35,7.9,77,55.8,3,-0.13,23,,,,,21.5,58.5,77.4,,60.7,,,54.4,,,,0,4,80,44.2,28.6,76.1,13.0,10,11,0,2,3,6,7.5,455,8.1
Marquez McCray,109056,QB,SACR HEART,5,3.31,2.91,4.08,5.18,138,280,80.4,51,51,7.7,1.77,0,4,7.5,70.6,36,2,12.2,51,37.0,5,0.29,18,,,,,69.8,78.7,75.8,,77.8,,,,,,,0,2,53,62.7,0.0,101.6,0.0,0,0,0,0,4,3,5.7,378,7.4,76.1,46,56,12.4,4.21,0,5,8.5,58.9,33,46,5.7,87,63.0,2,-0.15,23,,,,,29.6,57.1,29.7,,65.4,,,46.8,,,,1,2,91,39.1,30.4,90.9,16.1,14,17,0,9,3,4,4.4,494,8.8
Carlton Aiken,141328,QB,GARD-WEBB,4,2.49,2.38,2.98,4.28,136,171,79.4,68,71,4.1,1.78,0,0,0.0,71.8,51,18,5.6,76,55.9,3,-0.29,20,,,,,48.0,57.5,77.4,,57.1,,,,,,,2,3,80,44.7,27.8,76.0,6.6,5,0,0,1,2,3,3.8,379,5.3,59.5,42,49,13.8,3.44,0,2,3.6,44.9,22,34,12.0,59,43.4,3,-0.47,20,,,,,70.5,67.8,76.7,,62.6,,,74.9,,,,3,4,66,32.2,11.8,38.6,6.8,4,6,0,4,1,2,3.0,310,6.3
Tim Demorat,78498,QB,FORDHAM,3,2.54,2.5,3.06,3.7,136,168,82.4,68,70,3.8,1.81,0,2,2.7,77.1,54,13,3.6,71,52.2,2,-0.15,18,,,,,70.9,75.6,77.1,,74.8,,,,,,,2,1,74,40.8,7.7,94.3,1.4,1,0,0,0,2,1,1.4,410,5.9,75.9,54,59,12.8,3.34,1,4,6.3,66.1,39,22,4.9,65,47.8,2,0.44,24,,,,,70.7,91.2,76.8,,90.8,,,62.1,,,,1,2,69,49.2,18.2,104.4,6.2,4,2,0,3,3,2,2.9,629,10.7
Hajj-Malik Williams,102348,QB,CAMPBELL,4,2.99,2.55,4.19,4.37,135,131,63.1,65,65,9.0,1.88,0,2,2.9,55.4,36,10,12.2,67,49.6,5,-0.13,18,,,,,70.8,48.2,24.6,,49.4,,,,,,,0,2,71,44.8,20.0,58.9,3.0,2,0,0,0,0,2,2.8,367,5.6,56.7,30,36,16.4,4.09,0,6,15.4,47.2,17,40,0.0,68,50.4,0,0.27,25,,,,,27.1,65.3,0.0,,59.3,,,71.0,,,,0,1,73,50.0,22.5,91.7,13.2,9,23,0,6,3,4,5.5,294,8.2
Drayton Arnold,40050,QB,CHATTNOOGA,5,2.86,2.51,3.25,4.62,135,137,55.6,54,54,12.1,1.97,0,1,1.7,53.7,29,12,3.3,58,43.0,1,-0.24,18,,,,,70.3,59.3,76.4,,59.0,,,,,,,0,1,62,39.7,33.3,74.1,6.9,4,0,0,0,1,1,1.6,373,6.9,54.5,44,50,17.2,3.54,1,5,9.3,42.0,21,30,12.5,77,57.0,3,-0.07,18,,,,,28.6,69.0,77.6,,74.7,,,53.4,,,,0,2,83,32.5,30.0,68.8,11.7,9,18,0,5,2,3,3.6,420,8.4
Jack Plummer,83543,QB,PURDUE,3,2.57,2.44,3.03,5.11,135,273,79.7,79,79,4.2,1.8,0,2,2.5,75.9,60,10,4.8,80,59.3,3,0.12,27,,,,,71.2,69.5,77.5,,68.8,,,,,,,0,1,81,51.3,10.0,106.3,1.3,1,0,0,0,5,2,2.5,475,6.0,73.8,42,45,12.0,3.76,0,6,11.5,62.2,28,19,9.7,54,40.0,3,0.42,21,,,,,25.6,83.4,76.3,,84.2,,,60.7,,,,0,1,61,50.0,10.5,109.8,3.7,2,7,0,3,3,4,6.6,463,10.3
Dustin Crum,60418,QB,KENT STATE,4,2.7,2.32,4.48,5.22,134,201,84.8,66,67,5.1,1.84,1,1,1.4,79.1,53,5,5.4,67,50.0,3,0.35,25,,,,,46.4,64.4,77.0,,63.9,,,,,,,0,2,73,59.7,0.0,119.3,0.0,0,0,0,0,6,4,5.5,566,8.4,75.0,48,48,19.3,3.56,0,7,12.1,64.6,31,23,13.9,67,50.0,5,0.9,35,,,,,71.2,88.1,77.5,,85.2,,,71.2,,,,0,0,82,61.2,21.7,147.6,7.5,5,14,0,0,6,2,2.4,617,12.9
