player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_snap,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_snap,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jarret Doege,60353,QB,W VIRGINIA,10,2.49,2.39,3.39,5.74,402,343,80.6,237,240,4.9,1.83,3,5,2.0,72.5,174,40,8.9,242,60.2,17,0.19,83,,,,,75.5,83.6,60.1,,82.4,,,,,,,0,2,249,50.4,5.0,97.3,0.8,2,0,0,0,7,2,0.8,1644,6.9,61.7,120,135,15.2,3.51,2,9,6.3,47.4,64,85,13.5,159,39.6,10,-0.24,41,,,,,32.2,59.9,52.1,,60.2,,,59.4,,,,0,2,169,35.2,20.0,81.5,10.7,17,7,0,13,7,10,5.9,933,6.9
Matt Corral,83517,QB,OLE MISS,10,2.95,2.68,4.07,4.63,395,226,82.8,169,170,5.6,1.84,1,4,2.3,77.6,132,18,5.7,170,43.0,8,0.44,80,,,,,74.0,82.7,80.8,,81.2,,,,,,,0,5,176,58.2,0.0,119.1,0.0,0,0,0,0,17,5,2.8,1281,7.5,75.7,140,154,17.4,3.86,4,20,11.8,63.6,98,102,7.5,221,55.9,8,0.35,82,,,,,53.6,88.5,82.3,,87.7,,,67.7,,,,2,8,239,51.6,22.5,111.5,10.4,23,44,0,8,12,11,4.6,2059,13.4
Kenny Pickett,60515,QB,PITTSBURGH,9,3.04,2.71,4.35,5.45,392,268,84.6,149,152,3.8,1.86,2,0,0.0,73.7,112,16,11.1,154,39.3,14,0.09,45,,,,,59.5,66.1,80.4,,65.4,,,,,,,0,3,162,50.0,12.5,93.8,1.3,2,0,0,1,6,3,1.9,926,6.1,63.9,166,181,14.4,3.83,1,10,5.1,50.3,91,104,14.2,236,60.2,15,-0.01,70,,,,,27.5,66.2,61.9,,66.8,,,59.5,,,,3,6,255,39.8,18.3,77.2,8.1,19,36,0,11,7,11,4.3,1481,8.2
Charlie Brewer,60344,QB,BAYLOR,9,3.17,2.93,3.76,5.0,388,118,86.0,114,120,3.3,1.94,5,1,0.8,76.7,92,14,6.1,123,31.7,6,0.1,34,,,,,72.8,68.6,79.4,,67.8,,,,,,,0,0,129,40.7,21.4,102.8,2.4,3,0,0,1,5,3,2.3,660,5.5,69.8,172,201,10.4,3.75,5,6,2.8,52.7,106,123,11.7,264,68.0,14,-0.17,67,,,,,56.5,54.3,83.1,,51.7,,,65.1,,,,1,8,279,36.4,25.2,71.1,11.7,31,32,0,23,9,16,5.7,1288,6.4
Carson Strong,83524,QB,NEVADA,9,2.62,2.47,3.95,4.91,388,239,88.8,205,211,4.9,1.64,3,7,3.1,81.0,171,16,6.0,212,54.6,11,0.17,75,,,,,75.1,86.0,59.4,,84.8,,,,,,,2,1,228,51.4,6.3,117.1,0.5,1,0,0,1,15,0,0.0,1453,6.9,66.4,128,144,18.4,3.82,0,16,10.5,54.2,78,86,8.2,175,45.1,7,0.12,48,,,,,48.2,78.4,81.1,,79.6,,,53.3,,,,2,3,185,37.7,22.1,106.9,10.9,19,12,0,14,12,7,3.8,1402,9.7
Chevan Cordeiro,75886,QB,HAWAII,9,2.82,2.41,3.69,5.31,387,180,82.1,179,185,4.5,1.8,1,4,2.1,74.1,137,31,6.8,191,49.4,10,0.12,60,,,,,59.4,62.1,81.3,,61.5,,,,,,,1,3,197,49.2,19.4,103.3,3.1,6,0,0,4,10,4,2.0,1254,6.8,60.0,115,129,17.3,3.83,2,10,7.4,45.0,58,93,15.9,195,50.4,11,-0.14,51,,,,,50.6,62.0,81.5,,57.7,,,67.0,,,,3,3,205,32.8,25.8,67.0,12.3,24,42,0,9,4,7,3.4,829,6.4
Phil Jurkovec,83533,QB,BOSTON COL,10,2.95,2.78,3.85,4.98,386,121,65.7,143,146,8.1,1.98,2,4,2.6,61.0,89,32,5.3,148,38.3,5,0.05,44,,,,,73.5,58.4,80.2,,58.1,,,,,,,1,2,155,48.0,6.3,88.4,1.4,2,0,0,0,8,5,3.2,803,5.5,70.4,179,191,12.5,3.6,0,20,9.6,60.7,116,125,7.9,235,60.9,10,0.19,86,,,,,32.4,73.7,82.6,,71.8,,,66.1,,,,3,3,253,46.8,17.6,100.1,9.4,22,22,0,9,9,13,5.1,1755,9.2
D'Eriq King,26636,QB,MIAMI FL,11,2.65,2.42,3.55,4.8,383,220,81.1,190,197,5.0,1.77,5,3,1.4,73.1,144,24,6.5,202,52.7,10,0.32,72,,,,,63.2,85.9,81.7,,84.3,,,,,,,1,4,214,51.5,20.8,109.9,2.5,5,0,0,1,14,4,1.9,1496,7.6,58.7,126,133,17.0,3.65,0,20,13.2,49.6,66,78,10.8,180,47.0,8,0.21,56,,,,,74.6,88.2,81.5,,84.8,,,72.8,,,,2,1,201,39.4,26.9,100.0,11.7,21,26,0,5,9,3,1.5,1187,8.9
Malik Cunningham,60436,QB,LOUISVILLE,11,2.89,2.58,3.57,4.76,381,210,79.2,144,145,4.9,1.87,0,6,4.1,75.2,109,27,4.4,148,38.8,5,0.11,57,,,,,73.4,78.4,80.1,,77.2,,,,,,,1,3,150,48.6,11.1,110.5,2.0,3,0,0,0,10,4,2.7,1094,7.5,67.4,141,159,15.3,3.56,0,9,5.2,54.1,86,115,9.5,231,60.6,9,0.09,84,,,,,27.9,69.2,59.8,,63.0,,,75.7,,,,1,9,246,44.2,27.0,84.4,13.4,31,41,0,17,10,15,6.1,1521,9.6
Sam Ehlinger,60555,QB,TEXAS,10,3.04,2.75,4.13,4.98,380,311,75.0,132,137,4.8,1.9,3,1,0.7,69.3,95,18,4.0,138,36.3,4,0.12,48,,,,,73.5,71.8,80.1,,70.9,,,,,,,1,1,152,47.8,5.6,96.7,0.7,1,0,0,1,5,0,0.0,912,6.7,60.7,173,185,15.7,3.69,1,16,8.0,53.5,99,106,5.7,242,63.7,6,0.18,81,,,,,75.7,78.3,82.6,,76.8,,,65.7,,,,4,4,257,41.3,22.6,112.6,9.9,24,33,0,7,21,7,2.7,1648,8.9
