player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kyle Trask,39987,QB,FLORIDA,12,-0.71,0,470,163,73.8,370,385,11.9,2.83,1,41,10.0,65.5,252,124,7.7,417,88.7,21,0.36,186,,,,,42.7,92.3,60.7,,92.6,60.0,,55.0,,,5,8,442,54.7,16.9,125.0,5.0,21,11,0,9,39,13,2.9,4000,10.4,76.4,297,309,10.0,2.66,0,30,9.2,68.9,213,94,6.2,331,70.4,14,0.43,146,,,,,50.7,92.9,56.6,,93.2,60.0,,58.6,,,4,5,348,54.7,16.0,127.9,4.5,15,7,0,8,31,7,2.0,3090,10.0,77.0,126,129,10.4,2.75,1,11,8.0,68.2,88,30,9.3,139,29.6,9,0.08,57,,,,,43.0,77.1,80.1,,78.4,,,44.7,,,1,3,148,51.1,20.0,118.6,4.3,6,4,0,1,12,6,4.1,1188,9.2,0,96.2,53,53,-2.6,1.6,0,0,0.0,92.5,49,0,3.9,53,11.3,2,0.04,17,,,,,69.9,72.3,75.9,,71.7,,,,,,0,0,54,45.3,,113.7,0.0,0,0,0,0,4,0,0.0,278,5.2,-0.79
Brady White,25506,QB,MEMPHIS,11,-5.29,0,467,218,65.5,365,374,12.0,2.66,2,24,6.0,57.8,216,85,9.6,420,89.9,23,0.12,156,,,,,41.3,73.3,72.6,,72.6,57.2,,61.3,,,0,10,450,46.4,22.4,98.9,4.5,19,27,0,7,29,19,4.2,3051,8.2,68.1,320,325,9.5,2.59,1,14,4.0,61.5,200,70,8.3,367,78.6,18,0.09,126,,,,,37.0,66.4,71.0,,65.3,,,61.7,,,0,10,390,45.0,25.7,94.4,4.9,18,24,0,4,22,16,4.1,2441,7.5,68.5,89,96,13.8,2.47,3,10,9.4,56.3,54,16,11.5,100,21.4,7,0.29,40,,,,66.7,72.3,85.7,78.8,,85.4,55.0,,58.6,,,0,0,110,48.0,6.3,121.0,1.0,1,3,0,4,9,3,2.7,939,9.8,0,90.9,44,47,-2.4,1.67,2,0,0.0,80.9,38,1,5.0,47,10.1,2,0.25,10,,,,66.7,69.8,65.0,75.7,,64.9,57.4,,,,,0,0,50,38.3,0.0,110.0,0.0,0,0,0,1,2,0,0.0,329,7.0,2.27
Dillon Gabriel,86272,QB,UCF,10,-2.24,0,451,323,69.0,316,339,14.4,3.03,6,26,7.1,54.0,183,114,16.1,377,83.6,35,0.28,135,,,,,60.8,91.1,89.3,,90.6,,,66.9,,,2,4,406,45.6,18.4,108.5,5.6,21,17,0,15,30,11,2.7,3001,8.9,74.2,217,226,10.9,2.73,3,14,5.7,61.1,138,63,14.3,247,54.8,23,0.32,89,,,,,53.8,90.2,88.3,,89.5,,,67.1,,,1,2,268,47.0,17.5,111.8,4.5,11,10,0,5,18,9,3.4,1951,8.6,74.1,170,187,12.6,2.83,3,12,6.1,58.8,110,54,12.7,204,45.2,16,0.23,70,,,,,74.9,85.8,81.8,,84.5,,,61.4,,,1,2,215,46.6,18.5,107.7,4.9,10,7,0,13,14,2,0.9,1618,8.7,0,97.2,71,74,-0.6,1.5,0,0,0.0,87.8,65,3,5.8,74,16.4,4,0.28,24,,,,,71.0,71.6,77.3,,70.9,,,,,,0,0,77,52.7,0.0,107.7,0.0,0,0,0,3,2,0,0.0,568,7.7,0.02
Ian Book,40216,QB,NOTRE DAME,12,-2.14,0,439,258,73.8,294,324,9.8,3.35,2,12,3.5,61.7,200,149,7.8,405,92.3,17,0.21,144,,,,,68.6,78.7,81.1,,74.9,60.0,,70.7,,,2,3,426,48.6,18.1,97.8,6.7,27,53,3,23,15,11,2.6,2546,7.9,77.2,246,271,7.9,3.16,2,8,2.8,64.2,174,122,8.4,339,77.2,16,0.19,121,,,,,73.7,78.2,79.9,,74.0,,,71.0,,,1,3,357,47.8,20.5,98.0,7.4,25,42,3,19,13,8,2.2,2020,7.5,70.4,81,87,10.2,3.39,0,4,4.4,62.1,54,27,5.3,100,22.8,3,0.3,37,,,,,53.2,71.2,78.6,,70.5,60.0,,62.7,,,1,0,105,51.0,7.4,100.1,2.0,2,11,0,5,2,3,2.9,807,9.3,0,90.9,33,34,-3.1,1.67,0,0,0.0,82.4,28,0,6.7,34,7.7,2,0.33,14,,,,,68.7,65.3,74.4,,64.9,,,,,,0,0,36,47.1,,101.1,0.0,0,0,0,1,0,0,0.0,281,8.3,1.83
Mac Jones,60323,QB,ALABAMA,13,-1.23,0,428,103,80.0,305,321,11.7,2.8,4,32,9.2,72.0,231,80,5.3,341,79.7,13,0.65,185,,,,,63.7,96.4,88.8,,95.4,,,82.2,,,1,4,366,63.6,12.5,147.0,2.9,10,9,1,10,38,11,3.0,3903,12.2,84.5,207,219,7.0,2.36,4,18,7.7,77.2,169,39,3.4,228,53.3,6,0.53,108,,,,,57.5,94.8,87.7,,93.8,,,83.6,,,1,2,242,61.8,12.8,136.3,2.2,5,4,1,6,22,4,1.7,2115,9.7,83.7,178,187,10.8,2.68,2,14,7.1,75.9,142,42,4.7,200,46.7,7,0.63,107,,,,,74.8,93.5,81.7,,92.9,,,65.4,,,0,2,211,61.5,11.9,146.9,2.5,5,5,0,7,19,7,3.3,2379,12.7,0,100.0,80,85,-2.6,1.38,2,0,0.0,94.1,80,1,0.0,87,20.3,0,0.28,30,,,,,71.4,72.5,77.8,,71.8,,,,,,0,0,87,54.0,0.0,107.4,0.0,0,0,0,3,3,0,0.0,591,7.0,3.06
Sam Howell,97599,QB,N CAROLINA,12,-6.72,0,419,245,74.4,281,299,13.5,2.98,5,33,10.2,64.2,192,143,8.1,367,87.6,17,0.34,149,,,,66.7,59.1,92.8,89.0,,92.0,85.7,,71.8,,,1,6,393,49.6,22.4,124.8,8.7,32,35,0,12,29,9,2.3,3247,10.9,80.7,181,190,7.3,2.76,3,12,5.9,71.1,135,78,7.5,230,54.9,11,0.27,89,,,,,69.3,90.2,87.6,,86.5,,,74.9,,,1,3,242,47.0,21.8,120.0,7.4,17,22,0,5,16,4,1.7,1696,8.9,73.0,148,157,15.3,2.84,2,21,12.2,64.3,101,66,6.5,189,45.1,7,0.35,76,,,,66.7,50.5,91.6,81.6,,91.3,85.7,,57.9,,,0,4,205,51.3,24.2,124.1,8.5,16,13,0,7,14,6,2.9,1859,11.8,0,93.8,48,48,-3.9,1.48,0,0,0.0,91.7,44,1,2.2,52,12.4,1,0.02,16,,,,,69.8,63.5,75.9,,63.0,,,,,,0,1,54,44.2,100.0,91.7,1.9,1,0,0,0,1,1,1.9,308,6.4,2.91
Shane Buechele,12659,QB,SMU,10,6.4,0,414,287,71.5,298,309,10.7,2.74,1,19,5.7,59.2,183,97,14.1,349,84.3,30,0.23,129,,,,,72.0,88.4,69.8,,84.7,52.7,,74.9,,,3,6,374,46.4,19.6,101.6,5.4,19,21,0,7,20,12,3.2,2720,8.8,74.2,244,252,8.0,2.55,1,10,3.7,63.1,159,69,12.2,288,69.6,22,0.22,98,,,,,70.2,85.4,67.6,,81.6,60.0,,74.2,,,3,4,307,45.8,21.7,107.7,5.2,15,18,0,4,19,8,2.6,2087,8.3,79.1,115,118,9.0,2.4,0,9,7.2,69.5,82,30,9.9,126,30.4,9,0.13,45,,,,,72.9,82.3,79.6,,80.8,54.3,,66.0,,,0,2,133,46.8,13.3,99.8,3.2,4,3,0,3,4,4,3.0,1006,8.5,0,96.7,61,61,-3.4,1.24,0,0,0.0,95.1,58,2,1.7,65,15.7,1,-0.01,14,,,,,70.5,70.9,76.7,,70.3,,,,,,0,0,66,44.6,0.0,108.5,0.0,0,0,0,0,3,0,0.0,373,6.1,0.25
Chase Brice,60363,QB,DUKE,11,-2.59,0,412,154,61.1,283,308,10.5,2.54,2,10,3.1,49.4,152,135,12.1,364,88.3,21,-0.28,99,,,,,42.8,48.5,88.3,,44.9,60.0,,62.1,,,10,15,382,37.6,24.4,57.7,9.1,33,21,1,12,9,22,5.8,1848,6.0,67.5,231,249,7.5,2.3,1,5,1.9,55.0,137,91,12.2,293,71.1,19,-0.16,82,,,,,54.6,56.8,87.7,,51.1,60.0,,68.2,,,7,8,310,38.9,24.2,70.4,7.5,22,16,1,9,8,11,3.5,1502,6.0,62.1,95,103,11.7,2.65,1,5,4.6,52.4,54,45,8.5,119,28.9,5,-0.42,31,,,,,26.4,38.0,79.3,,42.4,,,37.2,,,3,7,125,40.3,24.4,50.9,9.2,11,5,0,4,2,11,8.8,667,6.5,0,97.7,43,44,-3.1,1.33,0,0,0.0,88.6,39,1,7.1,48,11.7,3,0.13,14,,,,,38.6,63.2,75.8,,62.7,,,,,,0,0,53,52.1,0.0,104.6,0.0,0,0,0,1,1,0,0.0,321,7.3,0.45
Bo Nix,97790,QB,AUBURN,11,7.8,0,411,115,60.3,262,283,12.0,3.16,3,18,6.0,50.9,144,113,8.9,330,80.3,14,0.03,101,,,,,75.6,70.9,88.3,,63.3,,,74.7,,,2,6,351,40.6,15.0,75.8,5.2,17,30,1,15,10,12,3.4,1926,6.8,65.2,227,240,8.4,2.87,1,11,4.3,56.7,136,84,8.1,274,66.7,12,-0.05,79,,,,,74.5,67.5,87.7,,59.8,59.1,,72.5,,,1,7,289,38.7,16.7,71.9,5.1,14,19,1,10,8,11,3.8,1362,5.7,75.2,113,121,8.9,2.89,2,7,5.4,64.5,78,33,8.2,137,33.3,7,0.26,44,,,,,73.3,80.6,80.0,,76.2,,,75.4,,,1,0,145,51.8,9.1,103.0,2.2,3,13,0,5,4,1,0.7,1050,8.7,0,96.2,78,78,-2.6,1.7,0,0,0.0,89.7,70,4,6.7,81,19.7,5,0.13,22,,,,,71.3,77.7,77.7,,75.7,59.1,,68.1,,,0,1,83,53.1,0.0,95.8,0.0,0,2,0,0,2,0,0.0,486,6.2,3.0
Brock Purdy,77672,QB,IOWA STATE,12,-7.77,0,410,193,71.1,308,326,10.4,3.01,5,13,3.7,62.3,203,140,7.3,369,90.0,16,0.15,142,,,,,60.1,77.1,89.2,,73.1,54.3,,70.4,,,1,9,395,50.1,10.0,93.9,3.8,14,29,0,12,19,17,4.3,2507,7.7,76.5,187,196,7.2,2.84,1,6,2.9,69.9,137,85,4.2,225,54.9,6,0.11,88,,,,,60.8,70.5,87.9,,64.7,,,69.7,,,0,5,238,49.8,11.8,97.1,4.4,10,19,0,8,11,10,4.2,1348,6.9,71.9,160,169,11.0,2.86,4,7,3.9,62.1,105,56,8.7,185,45.1,10,0.19,65,,,,,62.2,83.6,81.4,,80.5,54.3,,73.4,,,1,4,198,49.7,7.1,94.4,2.2,4,12,0,4,8,7,3.5,1403,8.3,0,100.0,39,39,-2.6,1.43,0,0,0.0,100.0,39,1,0.0,41,10.0,0,0.06,11,,,,,69.1,81.7,74.9,,74.6,,,77.6,,,0,0,41,46.3,0.0,92.7,0.0,0,2,0,0,0,0,0.0,244,6.3,1.42
