season,id,name,position,team,conference,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2018,246044,Tyler Johnson,WR,Minnesota,B1G,0.727,0.763,-1.433,0.49,0.957,1.059,0.446,1.153,87.95,90.816,-2.866,26.975,23.937,41.3,32.585,55.365
2018,513670,Logan Parker,TE,Southern Utah,,1.345,1.345,,0.399,1.55,1.985,0.499,1.98,9.417,9.417,0.0,0.798,4.649,3.97,1.497,7.92
2018,530619,McCoy Hill,QB,Southern Utah,,0.614,0.417,2.389,0.393,-1.361,2.072,0.101,1.383,6.137,3.749,2.389,1.967,-1.361,6.215,0.606,5.532
2018,536118,Dylan Collie,WR,BYU,Ind,0.406,0.535,0.009,0.519,0.246,0.658,0.155,0.949,16.663,16.576,0.087,7.789,4.925,3.95,4.327,12.336
2018,536119,Brayden El-Bakri,RB,BYU,Ind,0.281,0.408,-0.035,0.298,0.301,0.046,0.225,0.488,3.938,4.076,-0.138,2.388,1.504,0.046,2.475,1.463
2018,536122,Matt Hadley,RB,BYU,Ind,0.192,0.414,0.158,0.055,-0.148,1.039,0.256,-0.073,15.735,4.552,11.183,2.263,-3.854,14.54,16.905,-1.17
2018,545334,Kolney Cassel,QB,Hawai'i,MWC,0.882,0.882,,0.882,,,0.882,,0.882,0.882,0.0,0.882,0.0,0.0,0.882,0.0
2018,545456,Berkley Edwards,RB,Michigan,B1G,-0.496,0.045,-0.676,-0.109,-0.903,-0.486,-0.563,-0.429,-1.983,0.045,-2.028,-0.109,-0.903,-0.971,-1.125,-0.858
2018,545682,A.J. Erdely,QB,UAB,CUSA,0.226,0.243,0.172,-0.077,0.271,0.634,-0.022,0.507,63.142,51.245,11.897,-7.585,27.399,48.851,-3.247,66.389
2018,545683,Brent Stockstill,QB,Middle Tennessee,CUSA,0.199,0.219,0.085,-0.079,0.303,0.501,0.076,0.377,114.447,107.08,7.368,-16.505,63.573,69.66,25.853,88.594
2018,545796,Tanner Mangum,QB,BYU,Ind,0.049,0.089,-0.789,-0.073,0.106,0.347,-0.139,0.292,9.511,16.616,-7.105,-5.821,6.162,18.385,-15.324,24.834
2018,546100,Matt Barnes,TE,Louisiana,SBC,0.336,0.336,,0.385,-0.276,0.665,0.506,0.06,7.059,7.059,0.0,3.08,-1.932,3.327,6.58,0.479
2018,546288,Ryan Finley,QB,NC State,ACC,0.392,0.414,0.106,0.225,0.37,0.626,0.286,0.563,189.502,185.894,3.608,40.563,59.216,83.905,85.336,104.167
2018,546290,Kendal Keys,WR,UNLV,MWC,0.758,0.758,,-1.143,0.211,1.643,0.735,0.771,6.061,6.061,0.0,-1.143,0.632,6.572,2.205,3.856
2018,546537,Ryan Jenkins,WR,Arizona State,PAC,1.043,1.043,,0.741,0.233,4.078,0.741,1.194,6.259,6.259,0.0,1.481,0.699,4.078,1.481,4.778
2018,546882,Robert Lewis,WR,Washington State,PAC,2.874,2.874,,,,,2.874,,2.874,2.874,0.0,0.0,0.0,0.0,2.874,0.0
2018,547164,Quinn Shanbour,QB,North Texas,CUSA,-0.078,-0.244,0.079,-0.109,0.32,0.274,0.074,-0.257,-2.884,-4.391,1.506,-1.632,3.201,2.469,1.481,-4.365
2018,547714,Charles Hughes,WR,Alcorn State,,0.509,0.541,0.444,,0.444,0.541,,0.509,1.527,1.083,0.444,0.0,0.444,1.083,0.0,1.527
2018,547963,Jay Christophe,QB,Texas Southern,,0.332,0.377,-0.198,0.042,-0.181,1.028,0.181,0.489,16.944,17.738,-0.794,0.89,-2.539,15.422,4.708,12.236
2018,549215,Cardon Johnson,RB,James Madison,,-0.586,,-0.586,-0.524,-0.897,,-0.586,,-3.515,0.0,-3.515,-2.618,-0.897,0.0,-3.515,0.0
2018,549350,Donald Liotine,RB,Stony Brook,,-0.114,0.12,-0.133,-0.351,-0.081,1.115,-0.194,0.014,-1.478,0.12,-1.599,-2.109,-0.484,1.115,-1.551,0.072
2018,550289,Ray Hudson,TE,California,PAC,0.711,0.711,,0.444,0.463,1.475,0.409,1.014,2.845,2.845,0.0,0.444,0.926,1.475,0.817,2.028
2018,550355,Mykel Traylor-Bennett,WR,Akron,MAC,0.306,0.473,-0.427,0.491,-0.155,0.543,0.274,0.362,8.273,10.409,-2.136,2.455,-1.243,5.969,4.656,3.618
2018,550359,Zach Austin,WR,Texas Tech,B12,0.497,0.512,0.218,0.098,0.369,1.166,0.531,0.419,9.949,9.731,0.218,0.884,2.585,3.498,7.434,2.515
2018,550387,Armond Weh-Weh,RB,Arkansas State,SBC,0.056,0.222,0.049,-0.074,-0.171,0.289,0.025,0.178,2.785,0.443,2.342,-1.632,-2.74,2.597,1.005,1.78
2018,550588,Delvon Hardaway,WR,Fresno State,MWC,-0.091,0.294,-0.476,,-0.091,,-0.476,0.294,-0.182,0.294,-0.476,0.0,-0.182,0.0,-0.476,0.294
2018,552061,James Noble III,RB,UAB,CUSA,0.261,,0.261,0.147,0.25,1.836,0.28,0.193,5.998,0.0,5.998,1.908,2.254,1.836,5.035,0.963
2018,552119,Kyle Kempt,QB,Iowa State,B12,-0.14,-0.118,-0.895,-0.527,0.176,0.061,-0.472,0.174,-4.89,-3.995,-0.895,-5.799,1.935,0.732,-8.025,3.135
2018,554128,Michael Colubiale,TE,UCF,AAC,0.865,0.938,-1.255,0.575,1.118,1.265,0.48,1.304,25.943,27.198,-1.255,6.896,6.71,12.653,7.684,18.259
2018,556878,Taivon Jacobs,WR,Maryland,B1G,0.352,0.482,-0.136,0.089,0.019,1.18,0.059,0.597,20.047,21.678,-1.631,1.683,0.414,16.524,1.537,18.509
2018,558337,Nick Fitzgerald,QB,Mississippi State,SEC,0.198,0.093,0.361,0.063,0.13,0.559,0.162,0.266,98.846,28.381,70.466,13.138,19.549,71.015,53.1,45.746
2018,559501,Ridge Gibson,FB,Furman,,-0.431,,-0.431,-0.14,-0.577,,-0.459,-0.375,-2.588,0.0,-2.588,-0.279,-2.309,0.0,-1.837,-0.75
