season,id,name,position,team,conference,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2024,102597,Will Rogers,QB,Washington,B1G,0.352,0.381,-0.245,0.335,0.496,0.317,0.299,0.448,114.748,118.43,-3.682,44.89,53.07,23.791,62.722,52.025
2024,107494,Trey Sanders,RB,TCU,B12,0.038,,0.038,-0.179,-0.118,-0.749,-0.337,1.285,0.49,0.0,0.49,-1.256,-0.473,-0.749,-3.366,3.855
2024,146583,John Adams,WR,Temple,AAC,0.834,0.936,0.295,0.595,0.366,1.918,0.76,0.963,15.855,14.971,0.884,2.977,3.29,9.588,9.115,6.74
2024,548696,Malik Jackson,TE,Towson,,0.296,0.296,,0.647,-0.056,,0.647,-0.056,0.592,0.592,0.0,0.647,-0.056,0.0,0.647,-0.056
2024,550577,Jordan Brown,WR,Fresno State,MWC,0.309,0.309,,0.499,0.04,0.62,0.236,0.454,2.778,2.778,0.0,1.996,0.162,0.62,1.416,1.362
2024,553074,Aaron Young,RB,Old Dominion,SBC,0.139,0.141,0.139,0.089,0.112,0.402,0.087,0.38,21.106,0.845,20.261,7.363,5.837,6.432,10.852,10.254
2024,560147,Kevin Johnson,WR,Hampton,,0.787,0.787,,0.438,-0.763,2.473,0.695,1.094,10.23,10.23,0.0,2.628,-2.289,9.891,6.949,3.281
2024,3116099,Monte Harrison,WR,Arkansas,SEC,1.119,1.119,,1.119,,,1.119,,2.238,2.238,0.0,2.238,0.0,0.0,2.238,0.0
2024,3949586,Jake Taylor,TE,Duke,ACC,0.467,0.467,,0.333,0.403,0.177,0.633,0.267,5.137,5.137,0.0,1.663,0.805,0.531,3.801,1.336
2024,4038961,Cam McCormick,TE,Miami,ACC,1.562,1.562,,,1.562,,2.01,1.114,9.372,9.372,0.0,0.0,9.372,0.0,6.029,3.342
2024,4242373,Bentley Hanshaw,TE,Liberty,CUSA,0.976,0.976,,0.353,2.058,1.861,0.84,1.519,9.759,9.759,0.0,2.117,2.058,5.584,6.72,3.039
2024,4251136,Spencer Curtis,WR,Hawai'i,MWC,1.293,1.293,,0.545,1.546,2.385,0.769,2.19,24.559,24.559,0.0,4.906,7.73,11.923,9.228,15.331
2024,4360435,Jacolby Hewitt,WR,Alabama A&M,,0.877,0.837,1.523,1.183,0.538,1.167,1.034,0.654,14.917,13.394,1.523,8.278,4.305,2.335,10.337,4.581
2024,4360480,Spencer Petras,QB,Utah State,MWC,0.283,0.31,-0.072,0.114,0.186,0.566,0.183,0.45,87.911,89.496,-1.585,13.046,21.619,40.756,35.701,52.21
2024,4360689,Tyler Shough,QB,Louisville,ACC,0.39,0.404,0.204,0.1,0.505,0.658,0.232,0.617,165.139,159.428,5.71,16.368,72.278,68.419,57.729,107.41
2024,4360890,Jordan McCloud,QB,Texas State,SBC,0.412,0.43,0.445,0.241,0.444,0.575,0.372,0.485,182.655,163.07,26.278,49.573,54.606,59.852,105.598,77.057
2024,4360930,Jyaire Shorter,WR,Memphis,AAC,1.091,1.091,,0.421,-0.037,2.438,0.865,1.429,10.905,10.905,0.0,1.263,-0.11,9.752,5.188,5.717
2024,4361014,Brant Kuithe,TE,Utah,B12,0.958,1.015,0.667,0.685,1.131,1.369,0.748,1.484,46.957,41.617,5.34,15.754,15.832,15.056,26.18,20.777
2024,4361025,Jack Tuttle,QB,Michigan,B1G,0.062,0.082,-0.048,-0.451,0.245,0.561,-0.118,0.343,3.956,4.434,-0.479,-12.636,4.906,7.851,-4.619,8.575
2024,4361059,Da'kendall James,WR,Towson,,0.682,1.29,-3.576,0.207,0.513,2.168,0.969,0.202,5.453,9.029,-3.576,0.207,3.078,2.168,4.847,0.606
2024,4362075,Cameron Rising,QB,Utah,B12,0.334,0.317,0.576,0.122,0.5,0.744,0.142,0.632,24.736,21.856,2.879,4.526,8.003,14.879,6.395,18.34
2024,4362159,Alan Bowman,QB,Oklahoma State,B12,0.331,0.355,-0.155,0.237,0.277,0.425,0.31,0.358,115.336,117.813,-2.477,32.521,31.537,35.694,60.221,55.114
2024,4362188,Sterling Galban,WR,Massachusetts,Ind,0.452,0.572,-2.414,0.094,0.604,0.93,0.045,0.828,11.307,13.721,-2.414,0.944,6.642,3.721,0.54,10.767
2024,4362248,Anthony Torres,TE,Toledo,MAC,1.1,1.1,,0.721,0.814,1.896,1.046,1.173,41.796,41.796,0.0,7.934,8.956,20.861,23.022,18.774
2024,4362263,Jalynn Williams,RB,Western Carolina,,0.675,0.235,0.715,0.582,0.416,1.156,0.859,0.258,24.299,0.706,23.594,8.152,5.819,8.092,21.464,2.836
