season,id,name,position,team,conference,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2014,29649,Jamaal Jackson,RB,Delaware State,,-0.527,,-0.527,-0.609,-0.2,,-0.609,-0.2,-2.637,0.0,-2.637,-2.437,-0.2,0.0,-2.437,-0.2
2014,109907,Jon Lee,RB,Air Force,MWC,0.124,0.015,0.179,0.222,0.173,-0.363,-0.128,0.63,1.12,0.044,1.076,0.444,1.04,-0.363,-0.77,1.89
2014,115262,Jamar Brown,WR,Indiana State,,0.431,0.431,,0.685,0.595,0.222,0.64,0.222,1.724,1.724,0.0,0.685,0.595,0.444,1.28,0.444
2014,147386,Josh Smith,WR,Akron,MAC,-0.081,-0.081,,0.164,-0.449,,0.155,-1.026,-0.406,-0.406,0.0,0.491,-0.897,0.0,0.62,-1.026
2014,183814,Cody Clay,TE,West Virginia,B12,0.208,0.253,-0.154,0.336,0.797,1.843,0.161,0.373,1.874,2.028,-0.154,1.009,3.187,1.843,1.127,0.746
2014,381477,Jefferson Court,TE,Utah State,MWC,1.052,1.052,,1.373,1.9,0.754,0.91,2.047,8.414,8.414,0.0,2.746,1.9,3.768,6.367,2.047
2014,381494,Christian Stewart,QB,BYU,Ind,0.246,0.257,0.183,-0.001,0.301,0.609,0.159,0.37,105.713,94.371,11.342,-0.171,41.559,60.911,39.932,65.782
2014,480211,Andre Debose,WR,Florida,SEC,-0.166,-0.68,1.118,-0.146,,-0.288,-0.166,,-1.163,-3.399,2.236,-0.875,0.0,-0.288,-1.163,0.0
2014,480746,Bryce Petty,QB,Baylor,B12,0.341,0.368,0.149,0.265,0.471,0.343,0.305,0.413,173.161,163.788,9.373,62.275,69.723,39.047,103.028,70.133
2014,480846,C.J. Brown,QB,Maryland,B1G,0.09,0.046,0.224,-0.013,-0.026,0.342,0.007,0.216,44.228,16.871,27.357,-2.725,-3.762,47.24,2.173,42.055
2014,480878,Cory White,TE,Florida International,CUSA,1.689,1.689,,1.689,,,1.689,,3.378,3.378,0.0,3.378,0.0,0.0,3.378,0.0
2014,481341,Marcus Sullivan,WR,UNLV,MWC,0.012,0.082,-0.185,-0.169,0.118,0.194,-0.062,0.145,0.491,2.527,-2.036,-3.205,1.177,2.519,-1.679,2.17
2014,481838,Ernest Celestie,WR,McNeese,,-0.058,-0.052,-0.098,-0.209,0.73,-0.621,-0.209,0.054,-0.409,-0.311,-0.098,-0.626,1.46,-1.243,-0.626,0.217
2014,482359,Gabe Holmes,TE,Purdue,B1G,0.309,0.309,,0.535,0.128,1.547,0.493,0.149,9.283,9.283,0.0,3.747,1.28,9.284,6.898,2.385
2014,482594,Taysom Hill,QB,BYU,Ind,0.382,0.204,0.736,0.144,0.393,0.841,0.277,0.586,82.429,29.439,52.99,13.36,28.671,39.506,39.651,42.777
2014,482644,Jordan Pu'u-Robinson,TE,Hawai'i,MWC,0.398,0.398,,0.274,0.54,0.451,0.363,0.451,1.989,1.989,0.0,0.547,0.54,0.901,1.088,0.901
2014,482880,Sterling Griffin,WR,Louisiana Tech,CUSA,1.167,1.167,,0.297,1.753,1.201,0.544,1.546,43.176,43.176,0.0,2.675,19.28,19.222,7.611,35.565
2014,484112,Mitch Jessop,WR,Southern Utah,,0.089,0.089,,-0.582,0.619,-0.231,0.426,-0.416,0.889,0.889,0.0,-1.746,3.097,-0.461,2.555,-1.665
2014,484131,Chandler Allphin,WR,Southern Utah,,-0.134,-0.084,-0.482,0.208,-0.317,-0.636,-0.04,-0.789,-1.072,-0.589,-0.482,0.834,-0.634,-1.272,-0.283,-0.789
2014,484489,Matt Lengel,WR,Eastern Kentucky,,0.109,0.109,,,0.109,,0.109,,0.109,0.109,0.0,0.0,0.109,0.0,0.109,0.0
2014,485025,Naia Ursua,WR,Southern Utah,,-0.014,0.056,-0.364,0.1,-0.242,,-0.014,,-0.085,0.279,-0.364,0.4,-0.484,0.0,-0.085,0.0
2014,485026,Ammon Olsen,QB,Southern Utah,,-0.066,-0.1,0.031,-0.343,-0.06,0.498,0.056,-0.281,-3.848,-4.307,0.459,-8.571,-1.253,5.975,2.063,-5.911
2014,485648,Kevin Vaadeland,WR,North Dakota State,,1.362,1.362,,0.694,1.108,2.954,0.694,2.031,5.45,5.45,0.0,1.389,1.108,2.954,1.389,4.061
2014,485803,Jelani Berassa,WR,Youngstown State,,1.671,1.671,,1.48,0.732,3.738,0.982,3.738,6.683,6.683,0.0,1.48,1.465,3.738,2.945,3.738
2014,487641,Mitch Mathews,WR,BYU,Ind,0.606,0.606,,0.3,1.03,0.502,0.478,0.853,67.277,67.277,0.0,16.775,37.067,8.536,34.865,32.411
2014,498080,Mario Brown,WR,Eastern Washington,,0.205,0.543,-0.132,0.341,-0.201,,0.205,,0.82,1.085,-0.265,1.022,-0.201,0.0,0.82,0.0
2014,498091,Cory Mitchell,WR,Eastern Washington,,3.212,3.212,,2.764,,,3.212,,6.424,6.424,0.0,2.764,0.0,0.0,6.424,0.0
2014,498119,Lee Perkins,WR,Montana State,,1.235,1.235,,1.235,,,1.235,,1.235,1.235,0.0,1.235,0.0,0.0,1.235,0.0
2014,498121,Tiai Salanoa,WR,Montana State,,-0.232,-0.232,,-0.29,-0.117,,-0.29,-0.117,-0.697,-0.697,0.0,-0.581,-0.117,0.0,-0.581,-0.117
2014,498152,Ify Umodu,WR,Northern Arizona,,1.767,1.767,,0.368,,3.165,0.368,3.165,3.533,3.533,0.0,0.368,0.0,3.165,0.368,3.165
2014,498236,Chris Broadnax,WR,Sacramento State,,1.436,1.436,,1.464,1.407,,1.436,,2.871,2.871,0.0,1.464,1.407,0.0,2.871,0.0
2014,498266,Garrett Safron,QB,Sacramento State,,0.097,0.001,0.577,-0.022,0.04,0.364,0.02,0.221,4.061,0.02,4.04,-0.426,0.48,4.007,0.518,3.542
