season,id,name,position,team,conference,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2016,146099,Brian Smith,WR,Minnesota,B1G,0.631,0.631,,0.944,0.632,0.309,0.931,0.182,15.782,15.782,0.0,13.211,3.792,1.236,13.966,1.816
2016,183335,Kyle Williams,WR,Arizona State,PAC,0.002,0.002,,0.308,-0.181,,0.327,-0.539,0.018,0.018,0.0,0.925,-0.907,0.0,1.635,-1.617
2016,246044,Tyler Johnson,WR,Minnesota,B1G,0.445,0.445,,0.389,1.227,0.409,0.522,0.261,7.57,7.57,0.0,3.889,1.227,2.455,6.264,1.307
2016,482594,Taysom Hill,QB,BYU,Ind,0.209,0.108,0.549,0.032,0.082,0.543,0.131,0.338,97.193,38.985,58.208,5.349,13.026,70.628,37.985,59.208
2016,498767,Michael Hirsch,FB,Michigan,B1G,1.118,2.407,-0.172,-0.172,,2.407,1.118,,2.235,2.407,-0.172,-0.172,0.0,2.407,2.235,0.0
2016,502429,Algernon Brown,RB,BYU,Ind,-0.449,0.605,-0.936,-0.016,-0.511,-0.563,-0.488,0.256,-8.533,3.633,-12.166,-0.157,-3.068,-1.125,-8.79,0.256
2016,502940,Dwayne Garrett,RB,Hampton,,-0.23,,-0.23,0.094,-0.509,,-0.23,-0.228,-1.838,0.0,-1.838,0.376,-1.526,0.0,-1.61,-0.228
2016,505616,David Hood,RB,Temple,AAC,0.372,1.026,0.331,0.007,0.044,0.748,0.343,0.425,6.324,1.026,5.298,0.063,0.088,3.741,3.772,2.552
2016,508200,Tyrone Williams,WR,South Alabama,SBC,0.479,0.483,0.302,0.75,0.705,-0.047,0.378,0.555,21.06,20.758,0.302,9.005,13.402,-0.561,7.173,13.887
2016,511661,Jordan Frysinger,WR,Idaho,SBC,1.336,1.336,,1.063,2.603,1.532,1.001,2.006,32.069,32.069,0.0,15.948,10.412,6.127,16.021,16.047
2016,511726,Shaq Hill,WR,Eastern Washington,,0.893,0.893,,0.966,0.619,1.004,1.015,0.046,7.148,7.148,0.0,2.898,1.237,3.013,7.102,0.046
2016,512014,Collins Moore,WR,Alcorn State,,-0.318,-0.318,,,0.353,-0.99,0.353,-0.99,-0.637,-0.637,0.0,0.0,0.353,-0.99,0.353,-0.99
2016,512845,Harvey Langi,RB,BYU,Ind,0.371,,0.371,-0.101,0.316,0.964,0.365,0.392,7.414,0.0,7.414,-0.812,2.214,3.854,5.848,1.567
2016,512963,Jesse Kroll,WR,Central Michigan,MAC,0.493,0.493,,-0.036,1.365,0.811,0.33,1.02,8.376,8.376,0.0,-0.327,5.458,3.245,4.295,4.081
2016,513668,Brady Measom,WR,Southern Utah,,-0.741,-0.741,,,-0.741,,-0.741,,-0.741,-0.741,0.0,0.0,-0.741,0.0,-0.741,0.0
2016,513670,Logan Parker,TE,Southern Utah,,0.706,0.706,,,-0.363,1.419,0.494,0.848,3.532,3.532,0.0,0.0,-0.725,4.258,0.988,2.545
2016,514327,Zach Boden,RB,Duke,ACC,0.064,,0.064,-0.797,0.53,0.31,0.064,,0.77,0.0,0.77,-3.984,2.121,0.62,0.77,0.0
2016,515503,Alex Kuresa,QB,Portland State,,0.282,0.288,0.266,0.603,-0.013,0.313,0.618,0.042,16.906,12.38,4.525,7.842,-0.325,6.565,15.441,1.465
2016,515941,Kody Walker,RB,Arkansas,SEC,0.155,0.187,0.152,0.016,-0.135,0.655,0.139,0.235,5.575,0.562,5.013,0.311,-1.078,3.932,4.163,1.412
2016,516077,Israel Lamprakes,WR,Southern Illinois,,-0.224,-0.224,,-0.926,0.129,-0.228,-0.223,-0.228,-0.896,-0.896,0.0,-0.926,0.259,-0.228,-0.668,-0.228
2016,516771,Ben Axline,WR,UT Martin,,0.731,0.731,,2.049,0.599,-0.192,1.299,0.163,10.233,10.233,0.0,8.195,2.997,-0.959,9.09,1.143
2016,516910,BJ Johnson III,WR,Georgia Southern,SBC,0.716,0.716,,0.932,0.45,0.991,0.556,0.882,47.984,47.984,0.0,15.839,11.238,21.795,18.892,29.092
2016,517248,Joe Hubener,QB,Kansas State,B12,0.131,0.361,-0.394,-0.239,0.052,0.602,-0.141,0.476,7.703,14.798,-7.095,-3.828,1.044,13.248,-4.661,12.364
2016,517343,Hayden Plinke,TE,UTEP,CUSA,0.529,0.529,,0.578,0.401,1.053,0.415,0.749,24.869,24.869,0.0,9.254,6.408,12.642,12.88,11.989
2016,517429,Josh Clemons,RB,Jacksonville State,,-0.168,-0.431,-0.116,-0.331,-0.332,0.158,-0.087,-0.332,-1.01,-0.431,-0.579,-0.662,-0.664,0.316,-0.346,-0.664
2016,520574,Colby Hansen,RB,BYU,Ind,-0.164,,-0.164,0.074,-0.028,-0.352,-0.166,-0.159,-0.658,0.0,-0.658,0.074,-0.028,-0.705,-0.499,-0.159
2016,529330,Kori Garcia,RB,Cal Poly,,0.108,,0.108,0.211,0.39,-0.801,-0.024,0.218,1.193,0.0,1.193,0.844,1.951,-1.601,-0.118,1.311
2016,529342,Carson McMurtrey,WR,Cal Poly,,0.338,0.338,,-1.139,,2.265,-1.139,0.83,1.35,1.35,0.0,-1.139,0.0,4.529,-1.139,2.489
2016,529368,Paris Penn,RB,Portland State,,0.448,0.977,0.316,0.218,0.743,0.733,0.386,0.698,11.208,4.885,6.323,3.057,6.685,1.466,7.718,3.491
2016,529471,Demetrius Warren,RB,Sacramento State,,-0.23,,-0.23,-0.4,-0.451,1.111,-0.205,-0.408,-1.843,0.0,-1.843,-1.602,-1.352,1.111,-1.435,-0.408
2016,529506,Dante Shells,WR,Liberty,,-0.325,-0.325,,-1.238,-0.061,1.166,-1.238,0.245,-4.225,-4.225,0.0,-6.189,-0.368,2.332,-6.189,1.964
2016,529507,Canon Smith,WR,Liberty,,-1.25,-1.25,,0.07,,,0.07,-2.569,-2.499,-2.499,0.0,0.07,0.0,0.0,0.07,-2.569
2016,529568,Cole Hikutini,TE,Louisville,ACC,0.941,0.941,,0.781,0.634,1.319,0.767,1.177,62.081,62.081,0.0,17.966,14.589,23.734,29.131,32.95
2016,529577,Malik Brown,RB,Southern Utah,,-0.073,0.068,-0.089,-0.142,-0.005,0.066,-0.244,0.325,-1.465,0.136,-1.601,-1.561,-0.037,0.132,-3.417,1.951
2016,529619,Kendall Couamin,WR,Liberty,,0.037,0.037,,,,0.037,,0.037,0.148,0.148,0.0,0.0,0.0,0.148,0.0,0.148
2016,529919,David Broadus,RB,Richmond,,-0.081,,-0.081,-0.156,0.069,,-0.081,,-0.243,0.0,-0.243,-0.312,0.069,0.0,-0.243,0.0
2016,529982,Kendell Anderson,RB,William & Mary,,-0.663,-0.89,-0.572,-1.195,-0.833,-0.055,-1.333,-0.394,-4.638,-1.78,-2.858,-1.195,-3.332,-0.11,-2.667,-1.971
2016,529984,Steve Cluley,QB,William & Mary,,0.178,0.091,0.732,0.154,-0.001,0.54,0.344,0.013,3.926,1.731,2.195,1.23,-0.006,2.702,3.783,0.142
2016,530044,Oluwafemi Bamiro,QB,North Carolina A&T,,-0.853,-0.983,-0.514,-0.301,-0.544,-1.755,-0.234,-1.473,-15.357,-12.785,-2.572,-2.107,-2.72,-10.53,-2.102,-13.255
2016,530235,Connor Landberg,WR,South Dakota State,,0.204,0.204,,1.142,-0.748,0.211,0.279,-0.023,0.816,0.816,0.0,1.142,-0.748,0.421,0.838,-0.023
2016,530273,Anthony Nash,WR,Duke,ACC,0.743,0.743,,0.713,0.43,0.984,0.717,0.801,30.481,30.481,0.0,12.827,3.873,13.781,20.065,10.416
2016,530276,Erich Schneider,TE,Duke,ACC,0.312,0.312,,-0.311,0.359,1.12,0.131,0.585,14.06,14.06,0.0,-3.737,5.738,13.442,3.535,10.525
2016,530299,Sean Maguire,QB,Florida State,ACC,-0.141,-0.141,,0.569,-1.066,-0.104,0.214,-0.445,-1.83,-1.83,0.0,2.846,-4.262,-0.415,1.285,-3.116
2016,530312,Jontavious Carter,WR,Bethune-Cookman,,-0.673,-0.673,,-0.242,0.347,,-0.242,-0.817,-2.693,-2.693,0.0,-0.242,0.694,0.0,-0.242,-2.451
2016,530324,Jack Willenbrock,WR,Hampton,,-0.182,-0.182,,,-0.182,,,-0.182,-0.182,-0.182,0.0,0.0,-0.182,0.0,0.0,-0.182
2016,530328,Tyler Cameron,QB,Florida Atlantic,CUSA,0.748,0.748,,0.547,1.133,0.218,0.685,0.815,21.695,21.695,0.0,4.374,13.591,1.746,10.28,11.415
2016,530349,Lynx Hawthorne,WR,Baylor,B12,0.591,1.119,-0.15,-0.23,0.67,1.551,0.586,0.595,7.087,7.836,-0.749,-0.919,3.352,4.654,3.517,3.571
2016,530360,Brandon Radcliff,RB,Louisville,ACC,0.2,0.255,0.196,0.133,0.134,0.837,0.217,0.11,29.471,2.8,26.671,11.426,6.707,8.369,26.937,2.534
2016,530369,Lamar Atkins,FB,Louisville,ACC,-0.332,,-0.332,,,-0.332,-0.332,,-0.332,0.0,-0.332,0.0,0.0,-0.332,-0.332,0.0
2016,530403,Malcolm Lewis,WR,Miami,ACC,0.988,0.988,,0.931,0.512,1.461,0.921,1.048,20.748,20.748,0.0,7.447,3.074,10.228,9.215,11.533
2016,530434,James Summers,RB,East Carolina,AAC,0.184,0.28,0.167,0.059,0.134,0.517,0.211,0.093,34.34,7.848,26.491,5.192,8.728,15.496,30.321,4.019
2016,530449,Rushel Shell,RB,West Virginia,B12,0.045,0.122,0.032,0.133,-0.437,0.443,0.047,0.034,4.924,1.949,2.975,8.927,-12.68,5.761,4.171,0.753
2016,530450,Chad Voytik,QB,Arkansas State,SBC,-0.025,-0.099,0.045,-0.258,0.138,0.161,0.057,-0.172,-3.322,-6.446,3.125,-12.125,5.241,6.908,4.95,-8.271
2016,530452,Harrison Jackson,WR,Stony Brook,,0.35,0.35,,0.931,0.463,-0.344,0.293,0.463,1.049,1.049,0.0,0.931,0.463,-0.344,0.586,0.463
2016,530455,Dan Crimmins,WR,Eastern Kentucky,,1.373,1.373,,0.492,,3.136,0.492,3.136,8.239,8.239,0.0,1.968,0.0,6.272,1.968,6.272
2016,530463,Bobby Wolford,FB,Boston College,ACC,2.454,2.454,,,,2.454,2.454,,2.454,2.454,0.0,0.0,0.0,2.454,2.454,0.0
2016,530480,Jela Duncan,RB,Duke,ACC,0.108,0.215,0.099,-0.099,0.533,0.25,-0.051,0.688,9.033,1.29,7.743,-4.079,18.655,1.5,-3.344,12.377
2016,530516,Manny Stocker,QB,Pittsburgh,ACC,0.216,,0.216,,-0.249,0.681,-0.249,0.681,0.432,0.0,0.432,0.0,-0.249,0.681,-0.249,0.681
2016,530521,Greyson Lambert,QB,Georgia,SEC,-0.016,0.004,-0.318,-1.217,0.173,0.316,-0.745,0.421,-0.261,0.057,-0.318,-3.652,0.863,2.529,-4.468,4.207
2016,530541,Brenden Motley,QB,Virginia Tech,ACC,0.254,0.009,0.5,0.049,-0.014,0.744,0.197,0.318,10.175,0.179,9.996,0.687,-0.181,9.669,4.127,6.048
2016,530585,Ed Royds,RB,Monmouth,,-0.305,-0.082,-0.43,-0.402,-0.276,-0.159,-0.434,-0.134,-4.275,-0.409,-3.866,-2.811,-0.828,-0.635,-3.47,-0.805
2016,530619,McCoy Hill,QB,Southern Utah,,-0.029,0.069,-0.21,-0.198,-0.33,0.663,-0.122,0.188,-0.576,0.892,-1.468,-1.582,-2.311,3.317,-1.707,1.13
2016,530644,Alex Mut,WR,South Florida,AAC,-0.249,-0.249,,0.105,-0.603,,-0.249,,-0.498,-0.498,0.0,0.105,-0.603,0.0,-0.498,0.0
2016,530649,Dontez Ford,WR,Pittsburgh,ACC,0.591,0.662,-0.065,0.816,0.189,0.766,0.942,0.37,18.329,18.524,-0.195,5.709,1.89,10.73,11.302,7.027
2016,530652,George Morris,RB,Syracuse,ACC,-0.406,,-0.406,0.28,-0.489,-1.008,-0.406,,-1.217,0.0,-1.217,0.28,-0.489,-1.008,-1.217,0.0
2016,530660,Alvin Cornelius,WR,Syracuse,ACC,1.041,1.041,,0.577,0.895,1.339,0.577,1.092,10.408,10.408,0.0,0.577,4.474,5.356,0.577,9.83
