season,id,name,position,team,conference,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2023,102597,Will Rogers,QB,Mississippi State,SEC,0.238,0.248,0.092,-0.171,0.509,0.549,0.045,0.478,62.043,60.473,1.569,-15.777,43.812,39.511,6.572,55.471
2023,107494,Trey Sanders,RB,TCU,B12,0.127,-0.115,0.16,-0.018,-0.095,0.771,0.205,-0.189,6.499,-0.691,7.19,-0.318,-2.179,6.167,8.385,-1.886
2023,146583,John Adams,WR,Temple,AAC,0.856,0.848,0.992,0.955,0.591,1.239,0.959,0.695,15.416,14.424,0.992,5.73,4.732,4.954,10.553,4.863
2023,237553,Tyler Green,RB,Dartmouth,,-0.063,,-0.063,-0.063,,,-0.063,,-0.126,0.0,-0.126,-0.126,0.0,0.0,-0.126,0.0
2023,548696,Malik Jackson,TE,Towson,,-0.049,-0.049,,-0.159,0.067,-0.056,-0.046,-0.056,-0.148,-0.148,0.0,-0.159,0.067,-0.056,-0.092,-0.056
2023,3949586,Jake Taylor,TE,Duke,ACC,2.832,2.832,,,,2.832,,2.832,2.832,2.832,0.0,0.0,0.0,2.832,0.0,2.832
2023,4038961,Cam McCormick,TE,Miami,ACC,0.216,0.216,,-0.326,0.714,0.242,-0.326,0.419,2.376,2.376,0.0,-0.978,2.142,1.212,-0.978,3.354
2023,4240094,Micah Leon,QB,Florida,SEC,0.285,0.285,,,0.385,0.086,0.99,-0.067,0.855,0.855,0.0,0.0,0.77,0.086,0.99,-0.135
2023,4240351,Tyler Vander Waal,QB,Northwestern State,,-0.035,-0.106,0.335,0.014,-0.096,0.025,-0.07,0.022,-4.605,-11.641,7.037,0.679,-3.956,0.91,-5.69,1.086
2023,4240676,Beau Corrales,WR,Texas State,SBC,0.692,0.692,,-0.02,1.404,,-0.02,1.404,2.768,2.768,0.0,-0.04,2.808,0.0,-0.04,2.808
2023,4240735,Chris Autman-Bell,WR,Minnesota,B1G,1.274,1.274,,1.257,0.428,2.186,1.257,1.307,7.642,7.642,0.0,5.028,0.428,2.186,5.028,2.614
2023,4240775,Harry Van Dyne,WR,Indiana State,,1.112,1.112,,0.946,0.946,1.354,0.98,1.229,54.503,54.503,0.0,16.081,11.35,27.072,22.549,31.954
2023,4240785,Clevan Thomas,WR,Montana State,,1.277,1.277,,0.845,1.124,2.02,0.932,1.708,34.477,34.477,0.0,10.14,7.869,14.141,13.977,20.5
2023,4240911,Jacob Kibodi,RB,Louisiana,SBC,0.173,0.499,0.148,0.078,-0.051,0.458,0.207,0.055,24.048,4.985,19.063,5.405,-1.954,11.898,22.342,1.707
2023,4241937,Kasim Hill,QB,Rhode Island,,0.296,0.314,0.196,0.055,0.192,0.7,0.157,0.489,73.512,66.277,7.235,4.528,17.131,49.03,22.669,50.843
2023,4241965,Rocky Lombardi,QB,Northern Illinois,MAC,0.251,0.24,0.31,0.121,0.157,0.597,0.193,0.339,97.315,79.319,17.995,16.288,20.234,67.469,45.18,52.134
2023,4242148,Jarrod Barnes,WR,Central Arkansas,,0.624,0.698,-0.69,0.299,0.149,1.535,0.339,1.178,34.932,37.001,-2.069,8.381,1.936,21.495,12.549,22.383
2023,4242373,Bentley Hanshaw,TE,Liberty,CUSA,1.588,1.588,,1.471,1.572,1.853,1.571,1.885,28.587,28.587,0.0,16.176,3.144,9.267,26.702,1.885
2023,4243459,Jakairi Moses,RB,Missouri State,,0.153,0.831,0.051,0.305,-0.536,0.818,0.352,-0.792,3.511,2.493,1.017,4.274,-3.217,2.454,6.679,-3.168
2023,4243715,Dalen Morris,QB,Hawai'i,MWC,0.687,1.621,0.629,-0.012,0.864,-0.084,0.741,-0.171,11.679,1.621,10.058,-0.024,1.729,-0.507,11.851,-0.171
2023,4243826,Tre Siggers,RB,Incarnate Word,,0.059,0.072,0.056,-0.373,0.327,1.244,-0.198,0.885,2.224,0.435,1.789,-8.588,2.939,6.219,-5.737,7.961
2023,4243984,Zack Dobson,WR,Middle Tennessee,CUSA,1.335,1.52,0.412,0.525,2.474,0.838,1.147,1.992,24.031,22.796,1.235,4.199,17.318,2.514,16.061,7.97
2023,4244071,Xavier Williams,RB,Kent State,MAC,-0.076,-0.508,-0.055,-0.17,-0.157,-0.012,-0.038,-0.219,-3.212,-1.016,-2.196,-4.078,-1.257,-0.107,-1.244,-1.968
2023,4244768,Julian Hicks,WR,UAlbany,,1.057,1.096,-0.863,0.913,1.068,1.253,0.885,1.392,52.856,53.719,-0.863,21.919,19.224,8.774,29.19,23.666
2023,4245186,Frank Harris,QB,UTSA,AAC,0.376,0.369,0.407,0.06,0.442,0.716,0.197,0.658,154.758,126.267,28.491,9.824,58.386,72.349,49.551,105.207
2023,4245269,Zach Borisch,WR,East Tennessee State,,-0.034,-0.047,-0.034,-0.095,-0.08,0.891,0.038,-0.335,-1.237,-0.093,-1.144,-1.893,-1.126,1.782,1.106,-2.343
