season,id,name,position,team,conference,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2017,246044,Tyler Johnson,WR,Minnesota,B1G,0.811,0.811,,0.459,1.244,0.875,0.484,1.271,52.688,52.688,0.0,11.927,22.396,18.365,18.382,34.306
2017,480233,Donavan Tate,QB,Arizona,PAC,0.607,0.607,,,0.607,,0.607,,0.607,0.607,0.0,0.0,0.607,0.0,0.607,0.0
2017,505616,David Hood,RB,Temple,AAC,0.12,0.267,0.088,-0.012,0.127,0.612,0.096,0.18,18.815,7.469,11.346,-1.038,6.085,13.47,10.716,8.099
2017,513670,Logan Parker,TE,Southern Utah,,-0.401,-0.401,,0.134,-0.347,,-0.419,-0.347,-1.603,-1.603,0.0,0.268,-0.347,0.0,-1.256,-0.347
2017,529389,Darnell Adams,WR,Portland State,,0.743,0.743,,-0.45,1.848,1.596,0.18,1.447,6.685,6.685,0.0,-1.798,3.696,4.787,0.898,5.787
2017,529514,Connor Davis,TE,Stony Brook,,-0.079,-0.079,,-0.079,,,-0.079,,-0.158,-0.158,0.0,-0.158,0.0,0.0,-0.158,0.0
2017,529585,Dalton Demos,QB,Coastal Carolina,SBC,0.011,-0.025,0.024,0.044,0.097,0.243,-0.173,0.297,0.437,-0.272,0.709,0.799,1.167,2.19,-4.316,4.753
2017,530452,Harrison Jackson,WR,Stony Brook,,0.933,0.933,,-0.672,0.514,2.363,-0.722,1.76,5.596,5.596,0.0,-0.672,1.543,4.725,-1.444,7.04
2017,530478,Thomas Sirk,QB,East Carolina,AAC,0.2,0.193,0.228,0.045,0.022,0.484,0.123,0.313,61.122,47.906,13.216,5.249,1.901,42.617,22.599,38.523
2017,530619,McCoy Hill,QB,Southern Utah,,0.196,0.196,,1.131,-0.426,-0.118,0.353,-0.118,0.587,0.587,0.0,1.131,-0.426,-0.118,0.705,-0.118
2017,530921,JaQuay Savage,WR,Cincinnati,AAC,0.596,0.596,,0.983,0.146,0.272,0.899,0.091,4.771,4.771,0.0,3.933,0.293,0.545,4.497,0.273
2017,531640,Rob Riederer,TE,Tulsa,AAC,0.151,0.151,,,0.151,,,0.151,0.151,0.151,0.0,0.0,0.151,0.0,0.0,0.151
2017,534280,Warren Ball,RB,Akron,MAC,0.11,-0.264,0.16,0.046,-0.181,0.889,0.272,-0.191,9.48,-2.643,12.123,1.522,-7.054,10.673,15.225,-5.745
2017,536118,Dylan Collie,WR,Hawai'i,MWC,0.422,0.45,-0.638,0.203,0.46,1.072,0.311,0.591,32.94,34.216,-1.276,5.079,10.572,26.79,14.607,18.333
2017,536119,Brayden El-Bakri,RB,BYU,Ind,0.096,-0.108,0.188,0.015,0.278,0.01,-0.072,0.375,1.531,-0.54,2.07,0.104,1.388,0.038,-0.717,2.248
2017,537069,Stacey Bedell,RB,Stony Brook,,0.141,0.071,0.148,0.101,0.465,-1.275,-0.379,5.344,1.551,0.071,1.48,0.504,2.323,-1.275,-3.793,5.344
2017,545221,Parker Boehme,QB,Duke,ACC,0.115,-0.021,0.251,,0.228,-0.224,0.182,0.092,0.459,-0.042,0.501,0.0,0.683,-0.224,0.182,0.277
2017,545228,Donovan Wilson,RB,Bowling Green,MAC,-0.075,-0.111,-0.07,-0.052,-0.062,-0.16,-0.09,-0.034,-4.1,-0.665,-3.436,-1.203,-1.243,-1.599,-3.59,-0.51
2017,545245,Jordan Fieulleteau,WR,North Carolina Central,,0.545,0.545,,,-0.177,1.267,,0.545,2.179,2.179,0.0,0.0,-0.355,2.533,0.0,2.179
2017,545266,Sean Avant,WR,Syracuse,ACC,1.088,1.088,,0.659,,,1.088,,4.352,4.352,0.0,1.978,0.0,0.0,4.352,0.0
2017,545275,Mitch Kimble,QB,Eastern Illinois,,-0.067,-0.126,0.191,-0.155,-0.263,0.362,-0.104,-0.038,-2.561,-3.901,1.34,-1.861,-3.16,4.705,-1.768,-0.793
2017,545278,Kendall Moore,TE,Texas,B12,1.058,1.058,,,0.512,2.696,1.771,0.345,4.231,4.231,0.0,0.0,1.535,2.696,3.542,0.689
2017,545284,Austin Wilson,QB,Coastal Carolina,SBC,-0.981,-0.981,,,0.466,-0.97,-1.715,-0.246,-3.923,-3.923,0.0,0.0,0.466,-1.94,-3.431,-0.492
2017,545319,Cam Serigne,TE,Wake Forest,ACC,0.96,0.96,,1.105,0.488,1.049,1.07,0.801,53.742,53.742,0.0,27.614,7.806,14.683,35.323,18.419
2017,545364,Nic Shimonek,QB,Texas Tech,B12,0.298,0.313,0.07,0.198,0.173,0.693,0.218,0.425,163.954,161.446,2.508,44.942,32.083,89.379,74.267,89.687
2017,545367,Derrick Willies,WR,Texas Tech,B12,0.893,0.956,-0.608,1.227,0.384,0.959,1.186,0.373,22.327,22.935,-0.608,13.499,3.074,5.754,18.969,3.358
