join_name,draft_season,pick,round,w_av,dr_av,games,seasons_started,probowls,allpro,proxy_hit,proxy_hit_flat,proxy_hit_era_scaled,label_maturity
charlie whitehurst,2006,81,3,7.0,0.0,25.0,0,0,0,0,0,0,mature
brodie croyle,2006,85,3,2.0,2.0,18.0,0,0,0,0,0,0,mature
brad smith,2006,103,4,17.0,12.0,125.0,1,0,0,0,0,0,mature
ingle martin,2006,148,5,0.0,0.0,1.0,0,0,0,0,0,0,mature
omar jacobs,2006,164,5,,,,0,0,0,0,0,0,mature
reggie mcneal,2006,193,6,0.0,0.0,7.0,0,0,0,0,0,0,mature
bruce gradkowski,2006,194,6,8.0,3.0,37.0,1,0,0,0,0,0,mature
dj shockley,2006,223,7,,,,0,0,0,0,0,0,mature
jamarcus russell,2007,1,1,6.0,6.0,31.0,2,0,0,0,0,0,mature
brady quinn,2007,22,1,2.0,3.0,24.0,1,0,0,0,0,0,mature
kevin kolb,2007,36,2,12.0,5.0,34.0,1,0,0,0,0,0,mature
john beck,2007,40,2,4.0,2.0,9.0,0,0,0,0,0,0,mature
drew stanton,2007,43,2,10.0,4.0,38.0,1,0,0,0,0,0,mature
trent edwards,2007,92,3,16.0,15.0,38.0,2,0,0,0,0,0,mature
isaiah stanback,2007,103,4,0.0,0.0,22.0,0,0,0,0,0,0,mature
jeff rowe,2007,151,5,,,,0,0,0,0,0,0,mature
troy smith,2007,174,5,6.0,2.0,20.0,0,0,0,0,0,0,mature
jordan palmer,2007,205,6,0.0,,5.0,0,0,0,0,0,0,mature
tyler thigpen,2007,217,7,10.0,,29.0,1,0,0,0,0,0,mature
matt ryan,2008,3,1,146.0,144.0,234.0,15,4,1,1,1,1,mature
joe flacco,2008,18,1,97.0,89.0,209.0,12,1,0,1,1,1,mature
brian brohm,2008,56,2,0.0,,3.0,0,0,0,0,0,0,mature
chad henne,2008,57,2,26.0,16.0,78.0,3,0,0,0,0,0,mature
kevin oconnell,2008,94,3,0.0,0.0,2.0,0,0,0,0,0,0,mature
john david booty,2008,137,5,,,,0,0,0,0,0,0,mature
dennis dixon,2008,156,5,2.0,2.0,4.0,0,0,0,0,0,0,mature
josh johnson,2008,160,5,9.0,3.0,50.0,0,0,0,0,0,0,mature
erik ainge,2008,162,5,,,,0,0,0,0,0,0,mature
colt brennan,2008,186,6,,,,0,0,0,0,0,0,mature
andre woodson,2008,198,6,,,,0,0,0,0,0,0,mature
matt flynn,2008,209,7,8.0,7.0,51.0,0,0,0,0,0,0,mature
alex brink,2008,223,7,,,,0,0,0,0,0,0,mature
matthew stafford,2009,1,1,133.0,91.0,239.0,16,3,1,1,1,1,mature
mark sanchez,2009,5,1,32.0,26.0,79.0,4,0,0,1,1,0,mature
josh freeman,2009,17,1,37.0,36.0,62.0,4,0,0,1,1,1,mature
pat white,2009,44,2,1.0,1.0,13.0,0,0,0,0,0,0,mature
stephen mcgee,2009,101,4,2.0,2.0,3.0,0,0,0,0,0,0,mature
rhett bomar,2009,151,5,,,,0,0,0,0,0,0,mature
nate davis,2009,171,5,,,,0,0,0,0,0,0,mature
tom brandstater,2009,174,6,0.0,,1.0,0,0,0,0,0,0,mature
mike teel,2009,178,6,,,,0,0,0,0,0,0,mature
keith null,2009,196,6,1.0,1.0,4.0,0,0,0,0,0,0,mature
curtis painter,2009,201,6,2.0,2.0,14.0,1,0,0,0,0,0,mature
sam bradford,2010,1,1,44.0,25.0,83.0,5,0,0,1,1,1,mature
tim tebow,2010,25,1,12.0,11.0,35.0,1,0,0,0,0,0,mature
jimmy clausen,2010,48,2,3.0,0.0,21.0,1,0,0,0,0,0,mature
colt mccoy,2010,85,3,17.0,9.0,56.0,2,0,0,0,0,0,mature
mike kafka,2010,122,4,0.0,0.0,4.0,0,0,0,0,0,0,mature
john skelton,2010,155,5,4.0,4.0,20.0,1,0,0,0,0,0,mature
jonathan crompton,2010,168,5,,,,0,0,0,0,0,0,mature
rusty smith,2010,176,6,1.0,1.0,3.0,0,0,0,0,0,0,mature
dan lefevour,2010,181,6,,,,0,0,0,0,0,0,mature
tony pike,2010,204,6,0.0,0.0,1.0,0,0,0,0,0,0,mature
levi brown,2010,209,7,0.0,0.0,1.0,0,0,0,0,0,0,mature
sean canfield,2010,239,7,,,,0,0,0,0,0,0,mature
zac robinson,2010,250,7,,,,0,0,0,0,0,0,mature
cam newton,2011,1,1,115.0,107.0,148.0,9,3,1,1,1,1,mature
jake locker,2011,8,1,15.0,15.0,30.0,1,0,0,0,0,0,mature
blaine gabbert,2011,10,1,17.0,7.0,69.0,2,0,0,0,0,0,mature
christian ponder,2011,12,1,22.0,22.0,38.0,3,0,0,0,0,0,mature
andy dalton,2011,35,2,92.0,82.0,179.0,11,3,0,1,1,1,mature
colin kaepernick,2011,36,2,45.0,45.0,69.0,4,0,0,1,1,1,mature
ryan mallett,2011,74,3,4.0,0.0,21.0,0,0,0,0,0,0,mature
ricky stanzi,2011,135,5,,,,0,0,0,0,0,0,mature
tj yates,2011,152,5,6.0,6.0,22.0,0,0,0,0,0,0,mature
nathan enderle,2011,160,5,,,,0,0,0,0,0,0,mature
tyrod taylor,2011,180,6,50.0,1.0,100.0,3,1,0,1,1,1,mature
greg mcelroy,2011,208,7,1.0,1.0,2.0,0,0,0,0,0,0,mature
andrew luck,2012,1,1,72.0,72.0,86.0,5,4,0,1,1,1,mature
robert griffin,2012,2,1,36.0,31.0,56.0,3,1,0,1,1,1,mature
ryan tannehill,2012,8,1,91.0,47.0,155.0,10,1,0,1,1,1,mature
brandon weeden,2012,22,1,13.0,10.0,35.0,1,0,0,0,0,0,mature
brock osweiler,2012,57,2,14.0,7.0,49.0,1,0,0,0,0,0,mature
russell wilson,2012,75,3,140.0,125.0,205.0,12,10,0,1,1,1,mature
nick foles,2012,88,3,32.0,24.0,71.0,3,1,0,1,1,1,mature
kirk cousins,2012,102,4,102.0,34.0,174.0,9,4,0,1,1,1,mature
ryan lindley,2012,185,6,-4.0,-4.0,10.0,0,0,0,0,0,0,mature
bj coleman,2012,243,7,,,,0,0,0,0,0,0,mature
chandler harnish,2012,253,7,,,,0,0,0,0,0,0,mature
ej manuel,2013,16,1,10.0,10.0,30.0,1,0,0,0,0,0,mature
geno smith,2013,39,2,57.0,12.0,109.0,6,2,0,1,1,1,mature
mike glennon,2013,73,3,9.0,11.0,40.0,1,0,0,0,0,0,mature
matt barkley,2013,98,4,5.0,1.0,20.0,1,0,0,0,0,0,mature
ryan nassib,2013,110,4,0.0,0.0,5.0,0,0,0,0,0,0,mature
tyler wilson,2013,112,4,,,,0,0,0,0,0,0,mature
landry jones,2013,115,4,4.0,4.0,18.0,0,0,0,0,0,0,mature
brad sorensen,2013,221,7,,,,0,0,0,0,0,0,mature
zac dysert,2013,234,7,,,,0,0,0,0,0,0,mature
bj daniels,2013,237,7,0.0,,8.0,0,0,0,0,0,0,mature
sean renfree,2013,249,7,0.0,0.0,2.0,0,0,0,0,0,0,mature
blake bortles,2014,3,1,44.0,44.0,78.0,5,0,0,1,1,1,mature
johnny manziel,2014,22,1,4.0,4.0,14.0,0,0,0,0,0,0,mature
teddy bridgewater,2014,32,1,49.0,22.0,83.0,4,1,0,1,1,1,mature
derek carr,2014,36,2,93.0,80.0,169.0,11,4,0,1,1,1,mature
jimmy garoppolo,2014,62,2,47.0,2.0,85.0,3,0,0,1,1,1,mature
logan thomas,2014,120,4,15.0,0.0,94.0,3,0,0,0,0,0,mature
tom savage,2014,135,4,3.0,3.0,13.0,1,0,0,0,0,0,mature
aaron murray,2014,163,5,,,,0,0,0,0,0,0,mature
aj mccarron,2014,164,5,4.0,3.0,19.0,0,0,0,0,0,0,mature
zach mettenberger,2014,178,6,1.0,1.0,14.0,1,0,0,0,0,0,mature
david fales,2014,183,6,1.0,0.0,5.0,0,0,0,0,0,0,mature
keith wenning,2014,194,6,,,,0,0,0,0,0,0,mature
tajh boyd,2014,213,6,,,,0,0,0,0,0,0,mature
garrett gilbert,2014,214,6,2.0,,8.0,0,0,0,0,0,0,mature
jameis winston,2015,1,1,63.0,54.0,108.0,5,1,0,1,1,1,mature
marcus mariota,2015,2,1,60.0,43.0,104.0,5,0,0,1,1,1,mature
garrett grayson,2015,75,3,,,,0,0,0,0,0,0,mature
sean mannion,2015,89,3,2.0,1.0,14.0,0,0,0,0,0,0,mature
bryce petty,2015,103,4,4.0,4.0,10.0,0,0,0,0,0,0,mature
brett hundley,2015,147,5,5.0,5.0,18.0,1,0,0,0,0,0,mature
trevor siemian,2015,250,7,16.0,13.0,40.0,2,0,0,0,0,0,mature
jared goff,2016,1,1,106.0,44.0,151.0,9,5,0,1,1,1,mature
carson wentz,2016,2,1,63.0,43.0,103.0,6,1,0,1,1,1,mature
paxton lynch,2016,26,1,2.0,2.0,5.0,0,0,0,0,0,0,mature
christian hackenberg,2016,51,2,,,,0,0,0,0,0,0,mature
jacoby brissett,2016,91,3,42.0,2.0,101.0,4,0,0,1,1,1,mature
cody kessler,2016,93,3,5.0,3.0,17.0,1,0,0,0,0,0,mature
connor cook,2016,100,4,0.0,0.0,1.0,0,0,0,0,0,0,mature
dak prescott,2016,135,4,104.0,104.0,139.0,9,4,0,1,1,1,mature
cardale jones,2016,139,4,0.0,0.0,1.0,0,0,0,0,0,0,mature
kevin hogan,2016,162,5,2.0,,9.0,0,0,0,0,0,0,mature
nate sudfeld,2016,187,6,1.0,,6.0,0,0,0,0,0,0,mature
jake rudock,2016,191,6,0.0,0.0,3.0,0,0,0,0,0,0,mature
brandon allen,2016,201,6,5.0,,19.0,0,0,0,0,0,0,mature
jeff driskel,2016,207,6,7.0,,25.0,0,0,0,0,0,0,mature
brandon doughty,2016,223,7,,,,0,0,0,0,0,0,mature
mitchell trubisky,2017,2,1,40.0,34.0,82.0,4,1,0,1,1,1,mature
patrick mahomes,2017,10,1,115.0,115.0,126.0,8,6,2,1,1,1,mature
deshaun watson,2017,12,1,58.0,52.0,73.0,4,3,0,1,1,1,mature
deshone kizer,2017,52,2,6.0,5.0,18.0,1,0,0,0,0,0,mature
davis webb,2017,87,3,1.0,1.0,2.0,0,0,0,0,0,0,mature
cj beathard,2017,104,3,9.0,8.0,32.0,0,0,0,0,0,0,mature
joshua dobbs,2017,135,4,9.0,0.0,27.0,0,0,0,0,0,0,mature
nathan peterman,2017,171,5,3.0,2.0,15.0,0,0,0,0,0,0,mature
brad kaaya,2017,215,6,,,,0,0,0,0,0,0,mature
chad kelly,2017,253,7,0.0,0.0,1.0,0,0,0,0,0,0,mature
baker mayfield,2018,1,1,80.0,35.0,123.0,7,2,0,1,1,1,mature
sam darnold,2018,3,1,49.0,14.0,100.0,6,2,0,1,1,1,mature
josh allen,2018,7,1,111.0,111.0,128.0,8,4,0,1,1,1,mature
josh rosen,2018,10,1,3.0,2.0,24.0,1,0,0,0,0,0,mature
lamar jackson,2018,32,1,110.0,110.0,116.0,7,4,3,1,1,1,mature
mason rudolph,2018,76,3,10.0,7.0,34.0,1,0,0,0,0,0,mature
kyle lauletta,2018,108,4,0.0,0.0,2.0,0,0,0,0,0,0,mature
mike white,2018,171,5,5.0,,15.0,0,0,0,0,0,0,mature
luke falk,2018,199,6,1.0,,3.0,0,0,0,0,0,0,mature
tanner lee,2018,203,6,,,,0,0,0,0,0,0,mature
danny etling,2018,219,7,,,,0,0,0,0,0,0,mature
alex mcgough,2018,220,7,,,,0,0,0,0,0,0,mature
logan woodside,2018,249,7,0.0,,13.0,0,0,0,0,0,0,mature
kyler murray,2019,1,1,71.0,71.0,87.0,5,2,0,1,1,1,mature
daniel jones,2019,6,1,52.0,40.0,83.0,6,0,0,1,1,1,mature
dwayne haskins,2019,15,1,4.0,4.0,16.0,0,0,0,0,0,0,mature
drew lock,2019,42,2,14.0,12.0,41.0,1,0,0,0,0,0,mature
will grier,2019,100,3,1.0,1.0,2.0,0,0,0,0,0,0,mature
ryan finley,2019,104,4,2.0,2.0,8.0,0,0,0,0,0,0,mature
jarrett stidham,2019,133,4,6.0,1.0,20.0,0,0,0,0,0,0,mature
easton stick,2019,166,5,4.0,4.0,6.0,0,0,0,0,0,0,mature
clayton thorson,2019,167,5,,,,0,0,0,0,0,0,mature
gardner minshew,2019,178,6,32.0,16.0,63.0,4,1,0,1,1,1,mature
trace mcsorley,2019,197,6,1.0,0.0,9.0,0,0,0,0,0,0,mature
joe burrow,2020,1,1,63.0,63.0,77.0,5,3,0,1,1,1,provisional
tua tagovailoa,2020,5,1,52.0,52.0,78.0,6,1,0,1,1,1,provisional
justin herbert,2020,6,1,74.0,74.0,95.0,6,2,0,1,1,1,provisional
jordan love,2020,26,1,42.0,42.0,57.0,3,0,0,1,1,1,provisional
jalen hurts,2020,53,2,79.0,79.0,93.0,5,3,0,1,1,1,provisional
jacob eason,2020,122,4,0.0,0.0,2.0,0,0,0,0,0,0,provisional
james morgan,2020,125,4,,,,0,0,0,0,0,0,provisional
jake fromm,2020,167,5,1.0,,3.0,0,0,0,0,0,0,provisional
jake luton,2020,189,6,2.0,2.0,3.0,0,0,0,0,0,0,provisional
cole mcdonald,2020,224,7,,,,0,0,0,0,0,0,provisional
ben dinucci,2020,231,7,1.0,1.0,3.0,0,0,0,0,0,0,provisional
tommy stevens,2020,240,7,0.0,,1.0,0,0,0,0,0,0,provisional
nate stanley,2020,244,7,,,,0,0,0,0,0,0,provisional
trevor lawrence,2021,1,1,52.0,52.0,77.0,5,1,0,1,1,1,provisional
zach wilson,2021,2,1,13.0,13.0,38.0,3,0,0,0,0,0,provisional
trey lance,2021,3,1,6.0,4.0,16.0,0,0,0,0,0,0,provisional
justin fields,2021,11,1,44.0,34.0,59.0,4,0,0,1,1,1,provisional
mac jones,2021,15,1,34.0,24.0,63.0,3,1,0,1,1,1,provisional
kyle trask,2021,64,2,0.0,0.0,7.0,0,0,0,0,0,0,provisional
kellen mond,2021,66,3,0.0,0.0,1.0,0,0,0,0,0,0,provisional
davis mills,2021,67,3,17.0,17.0,44.0,2,0,0,0,0,0,provisional
ian book,2021,133,4,0.0,0.0,1.0,0,0,0,0,0,0,provisional
sam ehlinger,2021,218,6,2.0,2.0,8.0,0,0,0,0,0,0,provisional
kenny pickett,2022,20,1,14.0,13.0,36.0,2,0,0,0,0,0,provisional
desmond ridder,2022,74,3,13.0,12.0,25.0,1,0,0,0,0,0,provisional
malik willis,2022,86,3,6.0,1.0,22.0,0,0,0,0,0,0,provisional
matt corral,2022,94,3,,,,0,0,0,0,0,0,provisional
bailey zappe,2022,137,4,2.0,2.0,15.0,0,0,0,0,0,0,provisional
sam howell,2022,144,5,12.0,12.0,20.0,1,0,0,0,0,0,provisional
chris oladokun,2022,241,7,1.0,,4.0,0,0,0,0,0,0,provisional
skylar thompson,2022,247,7,3.0,3.0,10.0,0,0,0,0,0,0,provisional
brock purdy,2022,262,7,44.0,44.0,49.0,3,1,0,1,1,1,provisional
bryce young,2023,1,1,23.0,23.0,46.0,2,0,0,0,0,0,immature
cj stroud,2023,2,1,33.0,33.0,46.0,3,1,0,1,1,1,immature
anthony richardson,2023,4,1,9.0,9.0,17.0,1,0,0,0,0,0,immature
will levis,2023,33,2,11.0,11.0,21.0,2,0,0,0,0,0,immature
hendon hooker,2023,68,3,0.0,0.0,3.0,0,0,0,0,0,0,immature
jake haener,2023,127,4,1.0,1.0,8.0,0,0,0,0,0,0,immature
stetson bennett,2023,128,4,,,,0,0,0,0,0,0,immature
aidan oconnell,2023,135,4,10.0,10.0,21.0,1,0,0,0,0,0,immature
clayton tune,2023,139,5,0.0,0.0,15.0,0,0,0,0,0,0,immature
dorian thompson-robinson,2023,140,5,2.0,2.0,15.0,0,0,0,0,0,0,immature
sean clifford,2023,149,5,0.0,0.0,2.0,0,0,0,0,0,0,immature
jaren hall,2023,164,5,1.0,1.0,3.0,0,0,0,0,0,0,immature
tanner mckee,2023,188,6,2.0,2.0,6.0,0,0,0,0,0,0,immature
max duggan,2023,239,7,,,,0,0,0,0,0,0,immature
caleb williams,2024,1,1,26.0,26.0,34.0,2,0,0,0,0,0,immature
jayden daniels,2024,2,1,26.0,26.0,24.0,1,1,0,0,0,0,immature
drake maye,2024,3,1,26.0,26.0,30.0,2,2,0,0,0,0,immature
michael penix,2024,8,1,8.0,8.0,14.0,1,0,0,0,0,0,immature
jj mccarthy,2024,10,1,4.0,4.0,10.0,1,0,0,0,0,0,immature
bo nix,2024,12,1,25.0,25.0,34.0,2,0,0,0,0,0,immature
spencer rattler,2024,150,5,6.0,6.0,16.0,0,0,0,0,0,0,immature
jordan travis,2024,171,5,,,,0,0,0,0,0,0,immature
joe milton,2024,193,6,2.0,1.0,5.0,0,0,0,0,0,0,immature
devin leary,2024,218,6,,,,0,0,0,0,0,0,immature
michael pratt,2024,245,7,,,,0,0,0,0,0,0,immature
cam ward,2025,1,1,7.0,7.0,17.0,1,0,0,0,0,0,immature
jaxson dart,2025,25,1,11.0,11.0,14.0,1,0,0,0,0,0,immature
tyler shough,2025,40,2,7.0,7.0,11.0,1,0,0,0,0,0,immature
jalen milroe,2025,92,3,0.0,0.0,3.0,0,0,0,0,0,0,immature
dillon gabriel,2025,94,3,0.0,0.0,10.0,0,0,0,0,0,0,immature
shedeur sanders,2025,144,5,2.0,2.0,8.0,0,1,0,0,0,0,immature
kyle mccord,2025,181,6,,,,0,0,0,0,0,0,immature
will howard,2025,185,6,,,,0,0,0,0,0,0,immature
riley leonard,2025,189,6,2.0,2.0,5.0,0,0,0,0,0,0,immature
graham mertz,2025,197,6,,,,0,0,0,0,0,0,immature
tommy mellott,2025,213,6,,,,0,0,0,0,0,0,immature
cam miller,2025,215,6,,,,0,0,0,0,0,0,immature
kurtis rourke,2025,227,7,,,,0,0,0,0,0,0,immature
quinn ewers,2025,231,7,2.0,2.0,4.0,0,0,0,0,0,0,immature
fernando mendoza,2026,1,1,,,,0,0,0,0,0,0,immature
ty simpson,2026,13,1,,,,0,0,0,0,0,0,immature
carson beck,2026,65,3,,,,0,0,0,0,0,0,immature
drew allar,2026,76,3,,,,0,0,0,0,0,0,immature
cade klubnik,2026,110,4,,,,0,0,0,0,0,0,immature
cole payton,2026,178,5,,,,0,0,0,0,0,0,immature
taylen green,2026,182,6,,,,0,0,0,0,0,0,immature
athan kaliakmanis,2026,223,7,,,,0,0,0,0,0,0,immature
behren morton,2026,234,7,,,,0,0,0,0,0,0,immature
garrett nussmeier,2026,249,7,,,,0,0,0,0,0,0,immature
