join_name,draft_season,pick,round,w_av,dr_av,games,seasons_started,probowls,allpro,proxy_hit,proxy_hit_flat,proxy_hit_era_scaled,label_maturity
john witkowski,1984,160,6,1.0,1.0,5.0,0,0,0,0,0,0,mature
scott campbell,1984,191,7,8.0,2.0,45.0,1,0,0,0,0,0,mature
mark casale,1984,244,9,,,,0,0,0,0,0,0,mature
blair kiel,1984,281,11,4.0,0.0,25.0,0,0,0,0,0,0,mature
kyle mackey,1984,296,11,3.0,,7.0,0,0,0,0,0,0,mature
randy essington,1984,336,12,,,,0,0,0,0,0,0,mature
randall cunningham,1985,37,2,110.0,85.0,161.0,7,4,1,1,1,1,mature
frank reich,1985,57,3,15.0,8.0,118.0,1,0,0,0,0,0,mature
steve bono,1985,142,6,32.0,0.0,88.0,2,1,0,1,1,1,mature
rusty hilger,1985,143,6,5.0,3.0,23.0,1,0,0,0,0,0,mature
scott barry,1985,168,6,,,,0,0,0,0,0,0,mature
steve calabria,1985,232,9,,,,0,0,0,0,0,0,mature
paul berner,1985,234,9,,,,0,0,0,0,0,0,mature
buddy funck,1985,269,10,,,,0,0,0,0,0,0,mature
john conner,1985,277,10,,,,0,0,0,0,0,0,mature
doug flutie,1985,285,11,53.0,,92.0,4,1,0,1,1,1,mature
joe shield,1985,294,11,0.0,0.0,3.0,0,0,0,0,0,0,mature
jim everett,1986,3,1,87.0,,158.0,10,1,0,1,1,1,mature
chuck long,1986,12,1,11.0,11.0,27.0,1,0,0,0,0,0,mature
jack trudeau,1986,47,2,23.0,21.0,67.0,3,0,0,0,0,0,mature
bubby brister,1986,67,3,39.0,31.0,99.0,4,0,0,1,1,1,mature
hugh millen,1986,71,3,15.0,0.0,40.0,2,0,0,0,0,0,mature
robbie bosco,1986,72,3,,,,0,0,0,0,0,0,mature
doug gaynor,1986,99,4,0.0,0.0,1.0,0,0,0,0,0,0,mature
mark rypien,1986,146,6,54.0,50.0,104.0,5,2,0,1,1,1,mature
stan gelbaugh,1986,150,6,2.0,,20.0,1,0,0,0,0,0,mature
mike norseth,1986,174,7,0.0,,1.0,0,0,0,0,0,0,mature
jeff wickersham,1986,274,10,,,,0,0,0,0,0,0,mature
chris hegg,1986,280,11,,,,0,0,0,0,0,0,mature
david norrie,1986,291,11,1.0,,2.0,0,0,0,0,0,0,mature
kent austin,1986,312,12,0.0,0.0,16.0,0,0,0,0,0,0,mature
brian mcclure,1986,313,12,1.0,1.0,1.0,0,0,0,0,0,0,mature
steve bradley,1986,316,12,0.0,,1.0,0,0,0,0,0,0,mature
vinny testaverde,1987,1,1,97.0,26.0,233.0,15,2,0,1,1,1,mature
kelly stouffer,1987,6,1,2.0,,22.0,0,0,0,0,0,0,mature
chris miller,1987,13,1,51.0,41.0,98.0,7,1,0,1,1,1,mature
jim harbaugh,1987,26,1,79.0,40.0,177.0,10,1,0,1,1,1,mature
cody carlson,1987,64,3,14.0,14.0,45.0,0,0,0,0,0,0,mature
mark vlasic,1987,88,4,3.0,2.0,15.0,0,0,0,0,0,0,mature
rich gannon,1987,98,4,97.0,,157.0,8,4,2,1,1,1,mature
steve beuerlein,1987,110,4,69.0,9.0,147.0,4,1,0,1,1,1,mature
kevin sweeney,1987,180,7,2.0,2.0,6.0,0,0,0,0,0,0,mature
doug hudson,1987,186,7,0.0,0.0,1.0,0,0,0,0,0,0,mature
sammy garza,1987,216,8,1.0,,2.0,0,0,0,0,0,0,mature
ken lambiotte,1987,232,9,,,,0,0,0,0,0,0,mature
don majkowski,1987,255,10,39.0,35.0,90.0,4,1,0,1,1,1,mature
john paye,1987,275,10,,,,0,0,0,0,0,0,mature
brent pease,1987,295,11,2.0,,20.0,0,0,0,0,0,0,mature
dave walter,1987,307,11,1.0,,3.0,0,0,0,0,0,0,mature
mike shula,1987,313,12,,,,0,0,0,0,0,0,mature
jim karsatos,1987,322,12,,,,0,0,0,0,0,0,mature
bill ransdell,1987,327,12,,,,0,0,0,0,0,0,mature
tom tupa,1988,68,3,29.0,8.0,220.0,1,1,1,0,0,0,mature
chris chandler,1988,76,3,77.0,7.0,180.0,9,2,0,1,1,1,mature
don mcpherson,1988,149,6,,,,0,0,0,0,0,0,mature
scott secules,1988,151,6,5.0,,57.0,0,0,0,0,0,0,mature
stan humphries,1988,159,6,50.0,1.0,88.0,6,0,0,1,1,1,mature
mike perez,1988,175,7,,,,0,0,0,0,0,0,mature
kerwin bell,1988,180,7,0.0,,1.0,0,0,0,0,0,0,mature
bud keyes,1988,256,10,,,,0,0,0,0,0,0,mature
todd santos,1988,274,10,,,,0,0,0,0,0,0,mature
danny mccoin,1988,281,11,,,,0,0,0,0,0,0,mature
danny mcmanus,1988,282,11,,,,0,0,0,0,0,0,mature
david weber,1988,283,11,,,,0,0,0,0,0,0,mature
steve slayden,1988,328,12,,,,0,0,0,0,0,0,mature
troy aikman,1989,1,1,96.0,96.0,165.0,12,6,0,1,1,1,mature
mike elkins,1989,32,2,0.0,0.0,1.0,0,0,0,0,0,0,mature
billy joe tolliver,1989,51,2,24.0,10.0,79.0,3,0,0,0,0,0,mature
anthony dilweg,1989,74,3,4.0,4.0,10.0,0,0,0,0,0,0,mature
erik wilhelm,1989,83,3,3.0,3.0,22.0,0,0,0,0,0,0,mature
jeff graham,1989,87,4,,,,0,0,0,0,0,0,mature
jeff carlson,1989,102,4,2.0,,7.0,0,0,0,0,0,0,mature
jeff francis,1989,140,6,0.0,,1.0,0,0,0,0,0,0,mature
rodney peete,1989,141,6,46.0,32.0,104.0,7,0,0,1,1,1,mature
brent snyder,1989,192,7,,,,0,0,0,0,0,0,mature
terrence jones,1989,195,7,,,,0,0,0,0,0,0,mature
paul singer,1989,202,8,,,,0,0,0,0,0,0,mature
bob jean,1989,278,10,,,,0,0,0,0,0,0,mature
wayne johnson,1989,296,11,,,,0,0,0,0,0,0,mature
steve taylor,1989,323,12,,,,0,0,0,0,0,0,mature
chuck hartlieb,1989,325,12,,,,0,0,0,0,0,0,mature
jeff george,1990,1,1,66.0,16.0,131.0,9,0,0,1,1,1,mature
andre ware,1990,7,1,5.0,5.0,14.0,0,0,0,0,0,0,mature
tom hodson,1990,59,3,4.0,4.0,36.0,0,0,0,0,0,0,mature
peter tom willis,1990,63,3,4.0,4.0,21.0,0,0,0,0,0,0,mature
neil odonnell,1990,70,3,60.0,40.0,125.0,7,1,0,1,1,1,mature
troy taylor,1990,84,4,0.0,0.0,7.0,0,0,0,0,0,0,mature
cary conklin,1990,86,4,1.0,1.0,7.0,0,0,0,0,0,0,mature
scott mitchell,1990,93,4,49.0,6.0,99.0,5,0,0,1,1,1,mature
