player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_epa,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_positive_epa_percent,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_epa,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_positive_epa_percent,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Luke Falk,46586,QB,WASH STATE,12,2.55,2.39,3.82,4.6,711,341,80.0,365,368,4.9,1.73,1,17,4.5,72.8,268,25,8.2,372,52.3,24,0.21,127,,,,,77.6,87.7,84.7,,85.6,,,,,,1,4,383,50.5,16.0,109.2,1.1,4,0,0,1,25,8,2.1,2500,6.8,76.6,256,278,8.6,3.46,1,15,5.3,64.4,179,121,8.7,339,47.7,17,0.07,107,,,,,52.8,67.0,84.2,,68.1,,,54.0,,,8,4,348,46.3,27.3,96.5,9.7,33,28,0,13,13,24,6.9,2080,7.5
Patrick Mahomes,11765,QB,TEXAS TECH,13,2.86,2.64,4.11,5.04,646,315,83.2,309,314,3.9,1.66,2,6,1.9,77.7,244,33,5.1,316,48.9,13,0.2,113,,,,,76.7,79.0,83.8,,77.5,,,,,,0,5,323,54.1,6.1,110.3,0.6,2,0,0,3,16,7,2.2,2511,8.0,62.1,232,261,14.1,4.01,2,24,8.5,46.0,120,189,16.7,330,51.1,24,0.1,106,,,,,36.1,76.3,84.3,,70.6,,,77.3,,,3,10,352,41.8,12.7,83.9,7.3,24,45,0,24,20,18,5.1,2122,8.1
Matt Johnson,11111,QB,BOWL GREEN,14,2.56,2.39,3.71,5.05,626,122,82.0,338,345,6.2,1.72,6,17,4.8,76.2,263,49,5.1,349,55.8,14,0.38,138,,,,,53.1,91.4,84.4,,90.7,,,,,,0,3,361,59.9,8.2,126.2,1.1,4,0,0,1,32,11,3.0,2753,8.0,64.9,188,220,17.4,3.63,3,24,10.1,52.7,116,113,4.9,276,44.1,6,0.14,90,,,,,76.3,89.8,83.4,,90.0,,,58.5,,,0,5,298,41.7,30.1,99.0,12.3,34,22,0,29,14,8,2.7,2178,9.9
Mike Bercovici,10986,QB,ARIZONA ST,13,2.49,2.4,3.12,4.52,586,110,77.8,302,310,6.0,1.91,4,13,4.1,67.7,210,64,10.6,319,54.4,25,0.14,116,,,,,59.6,89.3,83.9,,87.2,,,,,,3,4,326,47.3,14.1,104.9,2.8,9,0,0,1,22,8,2.5,2090,6.7,63.5,197,225,12.6,3.19,3,8,3.4,48.9,110,102,12.0,267,45.6,15,-0.13,72,,,,,46.7,61.0,83.0,,61.5,,,54.0,,,3,5,278,36.0,28.4,80.1,10.9,29,13,0,22,9,16,5.8,1794,8.0
Jared Goff,10635,QB,CAL,13,2.49,2.38,2.96,4.64,578,130,78.0,323,330,6.5,1.83,3,18,5.1,69.1,228,66,9.5,339,58.7,24,0.2,116,,,,,69.2,88.9,84.4,,86.8,,,,,,2,7,361,54.6,13.6,112.9,2.7,9,0,0,2,30,11,3.0,2517,7.6,66.7,180,199,17.5,3.44,2,18,8.5,55.8,111,106,7.5,239,41.3,9,0.39,104,,,,,55.0,92.5,82.6,,91.5,,,75.4,,,1,6,255,49.8,16.0,104.0,7.1,17,23,0,16,13,13,5.1,2209,11.1
Brandon Doughty,10857,QB,W KENTUCKY,14,2.42,2.37,2.85,5.26,566,346,88.2,313,320,4.3,1.77,6,9,2.7,79.7,255,53,7.6,324,57.2,21,0.42,134,,,,,68.6,90.9,84.0,,90.3,,,,,,0,2,333,58.3,7.5,125.4,1.2,4,0,0,1,26,4,1.2,2632,8.2,72.1,208,224,13.6,3.29,0,15,6.4,59.4,133,103,11.3,242,42.8,17,0.32,98,,,,,58.3,89.2,82.6,,88.5,,,53.0,,,4,7,253,48.8,10.7,116.1,4.5,11,7,0,12,22,10,4.0,2411,10.8
Deshaun Watson,11767,QB,CLEMSON,15,2.41,2.1,4.19,4.71,561,140,83.0,324,336,4.2,1.59,12,10,2.9,75.9,255,37,5.2,338,60.2,14,0.24,133,,,,,77.2,80.0,84.3,,78.4,,,,,,0,5,352,57.4,5.4,103.7,0.6,2,0,0,0,14,5,1.4,2471,7.4,64.3,143,156,18.9,3.64,0,25,14.7,50.6,79,95,14.1,223,39.8,13,0.26,84,,,,,75.3,85.2,82.3,,87.1,,,62.5,,,2,8,239,47.5,13.7,105.6,5.8,13,54,0,11,21,11,4.6,1615,10.4
Dane Evans,46560,QB,TULSA,13,2.38,2.27,2.83,3.69,554,320,75.1,309,322,8.3,1.8,11,13,3.9,66.5,214,40,7.8,334,60.3,18,0.13,108,,,,,68.8,86.0,84.2,,84.0,,,,,,1,2,346,45.8,30.0,96.9,3.6,12,0,0,1,11,12,3.5,2370,7.4,64.9,151,164,19.1,3.28,1,23,12.3,54.9,90,81,8.2,218,39.4,8,0.2,75,,,,,28.8,78.6,82.4,,83.8,60.0,,44.0,,,1,6,244,43.6,34.6,110.5,12.8,28,26,0,11,14,15,6.1,1949,11.9
Nick Mullens,12282,QB,SO MISS,14,2.48,2.43,3.05,4.45,553,296,83.0,277,291,6.0,1.87,13,14,4.6,72.5,211,66,8.3,299,54.1,19,0.33,111,,,,,58.8,91.7,83.6,,91.0,,,,,,0,6,312,53.2,12.1,120.1,2.7,8,0,0,1,27,7,2.2,2464,8.5,69.8,192,232,13.8,3.21,5,19,7.7,51.7,120,118,10.4,254,45.9,14,0.08,85,,,,,65.9,84.1,40.6,,85.0,,,51.2,,,12,6,269,41.7,11.9,86.3,5.5,14,8,0,23,11,9,3.3,2010,8.7
Cooper Rush,12324,QB,C MICHIGAN,13,2.65,2.54,3.09,4.56,543,134,76.0,225,234,5.1,2.01,6,4,1.6,68.8,161,67,5.8,241,44.4,10,0.06,78,,,,,75.6,72.8,82.6,,71.7,,,,,,0,6,256,48.1,10.4,92.3,2.9,7,0,0,3,13,11,4.3,1407,6.0,71.3,237,258,11.3,3.18,3,27,10.0,62.4,161,131,4.7,300,55.2,8,0.28,112,,,,,67.6,90.7,64.8,,90.3,,,66.5,,,4,5,312,48.7,14.5,100.4,6.3,19,23,0,14,12,14,4.5,2406,9.3
