test_year,train_years,validation_years,n_all,n_drafted,position_specific,n_raw_features,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,candidate_spearman_all,candidate_spearman_drafted,candidate_hit_auc_drafted,candidate_precision_at_32,candidate_precision_at_64,candidate_ndcg_at_32,candidate_ndcg_at_64,delta_candidate_vs_pick_spearman_drafted,delta_candidate_vs_market_spearman_drafted,delta_market_vs_pick_spearman_drafted,ablation,description
2016,<= 2015,2014-2015,454,246,False,27,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8318,0.6,0.7948,0.5,0.4062,0.9236,0.9044,0.0267,0.0191,0.0077,global_profile_plus_all_production,Current main model: profile plus all NCAA production features.
2017,<= 2016,2015-2016,582,237,False,27,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7826,0.5739,0.776,0.625,0.5156,0.9446,0.9419,-0.0024,-0.0147,0.0124,global_profile_plus_all_production,Current main model: profile plus all NCAA production features.
2018,<= 2017,2016-2017,589,240,False,27,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8176,0.6629,0.8245,0.7188,0.5156,0.9582,0.949,0.0332,0.0108,0.0224,global_profile_plus_all_production,Current main model: profile plus all NCAA production features.
2019,<= 2018,2017-2018,640,234,False,27,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7759,0.6271,0.8399,0.7812,0.5938,0.9579,0.9553,0.0192,0.0117,0.0074,global_profile_plus_all_production,Current main model: profile plus all NCAA production features.
2020,<= 2019,2018-2019,325,209,False,27,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8299,0.5908,0.8422,0.4688,0.375,0.8917,0.9145,-0.0142,-0.0026,-0.0117,global_profile_plus_all_production,Current main model: profile plus all NCAA production features.
2021,<= 2020,2019-2020,403,199,False,27,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8161,0.6207,0.8189,0.5312,0.4375,0.9256,0.9195,0.035,0.0228,0.0123,global_profile_plus_all_production,Current main model: profile plus all NCAA production features.
2011,<= 2010,2009-2010,365,236,False,17,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.7924,0.5571,0.8265,0.625,0.3906,0.9076,0.9009,-0.0566,-0.0472,-0.0094,global_production_only,"All NCAA production features only, plus age and college encoding."
2012,<= 2011,2010-2011,365,233,False,17,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8034,0.5979,0.7906,0.5,0.3594,0.898,0.8928,0.0146,0.0075,0.0071,global_production_only,"All NCAA production features only, plus age and college encoding."
2013,<= 2012,2011-2012,370,241,False,17,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.7961,0.5832,0.799,0.5,0.3906,0.8947,0.9063,0.0068,-0.0017,0.0085,global_production_only,"All NCAA production features only, plus age and college encoding."
2014,<= 2013,2012-2013,365,243,False,17,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.7878,0.5959,0.823,0.5,0.375,0.8944,0.8944,0.0209,-0.0021,0.0231,global_production_only,"All NCAA production features only, plus age and college encoding."
2015,<= 2014,2013-2014,732,245,False,17,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7361,0.6142,0.8261,0.8125,0.6562,0.9601,0.9485,0.0364,0.029,0.0073,global_production_only,"All NCAA production features only, plus age and college encoding."
2016,<= 2015,2014-2015,454,246,False,17,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8331,0.5936,0.7947,0.5,0.4219,0.9221,0.913,0.0203,0.0126,0.0077,global_production_only,"All NCAA production features only, plus age and college encoding."
2017,<= 2016,2015-2016,582,237,False,17,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.785,0.5719,0.7646,0.5938,0.5312,0.9427,0.9437,-0.0043,-0.0167,0.0124,global_production_only,"All NCAA production features only, plus age and college encoding."
2018,<= 2017,2016-2017,589,240,False,17,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8176,0.6565,0.8256,0.6875,0.5312,0.9557,0.9488,0.0268,0.0044,0.0224,global_production_only,"All NCAA production features only, plus age and college encoding."
2019,<= 2018,2017-2018,640,234,False,17,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7755,0.6241,0.8354,0.75,0.6094,0.9549,0.9549,0.0162,0.0088,0.0074,global_production_only,"All NCAA production features only, plus age and college encoding."
