player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_snap,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_snap,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_snap,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_snap,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
A.J. Bush Jr.,60595,QB,ILLINOIS,10,-2.39,0,257,187,61.3,163,177,14.1,3.2,3,11,5.8,46.3,82,71,18.0,213,82.9,18,-0.1,60,,,,,47.4,76.7,49.1,,69.7,54.3,,74.7,,,,1,9,227,38.5,16.9,59.1,5.6,12,23,1,9,6,10,4.4,1201,6.8,66.1,115,123,9.9,3.11,2,5,3.8,54.5,67,49,11.8,152,59.1,9,-0.2,38,,,,,42.5,66.9,44.1,,50.8,54.3,,76.1,,,,0,6,163,38.8,20.4,52.2,6.6,10,18,1,5,2,8,4.9,578,4.7,67.0,88,96,12.1,2.76,1,6,6.0,52.1,50,27,15.3,105,40.9,9,-0.04,31,,,,,72.2,83.9,78.7,,85.0,,,52.3,,,,1,4,109,40.0,7.4,77.7,1.9,2,5,0,6,4,3,2.8,823,8.6,0,87.5,40,42,-2.4,1.83,0,0,0.0,83.3,35,5,0.0,44,17.1,0,-0.29,9,,,,,69.4,51.2,75.2,,50.9,,,,,,,0,1,45,43.2,0.0,76.6,0.0,0,0,0,2,0,1,2.2,200,4.8,3.87
Shawn Stankavage,26668,QB,RICE,10,1.92,0,252,275,63.9,183,203,9.4,2.6,2,7,3.4,53.2,108,78,7.7,232,92.1,9,-0.16,70,,,,,57.5,51.6,27.5,,52.4,,,55.8,,,,0,10,236,37.9,20.5,66.7,6.9,16,12,5,13,9,12,5.1,1268,6.2,65.3,167,186,8.7,2.51,3,7,3.7,54.8,102,64,6.4,209,82.9,7,-0.24,59,,,,,55.8,52.3,25.8,,52.5,,,57.9,,,,0,10,212,34.9,20.3,65.0,6.2,13,10,5,11,8,12,5.7,1129,6.1,70.6,34,37,6.6,2.59,0,0,0.0,56.8,21,14,12.5,43,17.1,3,0.05,14,,,,,69.2,53.1,75.1,,55.5,,,51.6,,,,0,0,44,44.2,21.4,88.8,7.0,3,2,0,3,2,1,2.3,190,5.1,0,88.9,18,20,-3.0,1.6,1,0,0.0,75.0,15,0,6.3,20,7.9,1,-0.54,3,,,,,67.1,56.6,72.4,,56.3,,,,,,,0,0,20,20.0,,93.8,0.0,0,0,0,1,1,1,5.0,51,2.6,-0.93
Skylar Thompson,60417,QB,KANSAS ST,11,1.72,0,249,199,66.5,164,179,13.0,3.06,3,12,6.3,54.7,98,67,10.1,220,88.4,11,0.08,72,,,,,56.8,71.5,52.8,,71.6,,,63.6,,,,5,4,235,45.5,26.9,84.6,8.2,18,23,0,7,9,6,2.6,1266,7.1,70.0,150,163,10.2,2.91,3,10,5.8,58.3,95,52,9.5,195,78.3,10,0.06,60,,,,,64.2,71.5,51.1,,72.6,,,62.6,,,,5,2,207,44.1,26.9,90.4,7.2,14,18,0,5,9,3,1.4,1036,6.4,69.8,43,45,12.2,2.97,0,2,4.1,60.0,27,18,10.0,54,21.7,3,-0.01,14,,,,,40.7,64.9,76.2,,62.5,,,66.5,,,,0,2,59,48.1,22.2,66.4,7.4,4,5,0,2,0,3,5.1,355,7.9,0,89.7,29,29,-2.4,1.87,0,0,0.0,82.8,24,3,7.7,29,11.6,2,-0.21,2,,,,,68.3,62.8,73.9,,62.4,,,,,,,0,0,31,41.4,0.0,84.6,0.0,0,0,0,0,0,0,0.0,125,4.3,1.53
Evan Orth,27348,QB,S ALABAMA,10,-5.04,0,246,288,68.2,173,181,10.3,2.43,2,18,9.2,60.8,110,70,6.8,203,82.5,8,0.13,63,,,,,57.9,72.9,62.2,,76.6,,,54.1,,,,2,6,222,42.4,18.6,96.5,6.4,13,9,0,4,11,11,5.0,1620,9.0,76.5,132,138,5.6,2.18,2,9,6.2,67.4,93,46,7.9,152,61.8,8,0.02,39,,,,,53.2,73.2,58.9,,76.4,,,57.9,,,,1,2,160,35.5,15.2,91.3,4.6,7,7,0,3,5,4,2.5,894,6.5,65.9,82,85,11.2,2.44,1,9,9.8,62.4,53,25,1.9,94,38.2,1,0.14,32,,,,,72.1,68.3,78.5,,71.2,,,44.5,,,,1,4,105,44.7,28.0,102.3,7.4,7,2,0,1,6,7,6.7,904,10.6,0,90.2,41,42,-3.1,1.59,1,0,0.0,85.7,36,1,2.7,43,17.5,1,-0.26,8,,,,,69.2,67.7,75.0,,67.2,,,,,,,0,0,43,23.3,100.0,84.3,2.3,1,0,0,0,0,0,0.0,178,4.2,4.16
Ross Comis,46584,QB,UMASS,11,13.43,0,246,216,67.1,164,172,12.2,2.95,2,14,7.5,58.1,100,89,9.1,223,90.7,10,0.08,71,,,,,25.9,72.6,85.4,,70.5,,,65.4,,,,1,3,239,42.2,28.1,108.2,11.2,25,25,0,5,13,13,5.4,1641,9.5,69.6,148,156,10.3,2.76,2,10,6.0,60.3,94,63,8.7,197,80.1,9,0.0,56,,,,,27.2,69.9,85.0,,68.3,,,63.7,,,,1,2,210,41.1,28.6,99.0,9.1,18,22,0,5,10,11,5.2,1150,7.4,76.3,38,38,11.1,2.9,0,4,10.0,73.7,28,27,3.4,49,19.9,1,0.4,22,,,,,38.1,76.9,75.7,,73.7,,,69.6,,,,0,1,52,51.0,25.9,139.7,14.3,7,3,0,0,4,2,3.8,649,17.1,0,100.0,22,22,-2.2,1.23,0,0,0.0,100.0,22,1,0.0,23,9.3,0,0.11,7,,,,,67.5,67.5,72.8,,67.1,,,,,,,0,0,23,52.2,0.0,111.7,0.0,0,0,0,0,1,0,0.0,158,7.2,9.71
Sawyer Smith,46505,QB,TROY,12,1.21,0,245,318,64.1,153,168,14.7,2.56,5,12,6.8,52.4,88,48,10.2,181,73.9,10,0.16,60,,,,66.7,54.2,63.2,30.4,,71.1,81.6,,48.3,,,,3,6,190,41.4,18.8,92.2,5.0,9,4,1,6,14,4,2.1,1354,8.1,71.3,122,130,9.8,2.27,1,8,5.8,61.5,80,34,8.0,141,57.6,7,-0.02,37,,,,66.7,51.1,62.8,27.5,,73.5,82.2,,47.8,,,,1,3,149,36.2,26.5,84.9,6.4,9,2,1,5,5,2,1.3,884,6.8,74.7,95,102,9.8,2.2,4,4,3.8,62.7,64,14,9.9,104,42.4,7,0.25,38,,,,66.7,72.2,69.8,78.6,,67.4,89.2,,61.8,,,,2,3,106,47.1,0.0,103.6,0.0,0,2,0,1,9,2,1.9,784,7.7,0,93.8,64,64,-2.0,1.34,0,0,0.0,87.5,56,0,6.7,64,26.1,4,-0.1,15,,,,66.7,70.6,74.7,76.7,,71.4,89.3,,,,,,0,0,65,39.1,,87.1,0.0,0,0,0,0,0,0,0.0,314,4.9,0.89
Jake Luton,17287,QB,OREGON ST,8,-4.76,0,244,265,68.1,191,209,10.3,2.54,4,7,3.3,59.8,125,72,3.8,229,93.9,5,0.13,77,,,,,76.1,78.8,85.0,,81.8,48.6,,34.6,,,,0,4,236,46.3,23.6,90.9,7.4,17,3,0,14,10,4,1.7,1553,7.4,71.1,159,173,8.7,2.48,4,5,2.9,63.6,110,61,2.7,189,77.5,3,0.19,62,,,,,75.3,76.5,84.4,,80.2,57.5,,34.6,,,,0,3,192,45.5,21.3,93.1,6.9,13,3,0,10,7,4,2.1,1318,7.6,68.1,47,51,10.9,2.56,0,2,3.6,58.8,30,13,6.3,55,22.5,2,-0.02,19,,,,,70.2,77.0,76.3,,77.0,50.2,,,,,,0,1,59,50.9,30.8,90.5,7.3,4,0,0,4,3,0,0.0,342,6.7,0,100.0,15,15,-4.9,1.9,0,0,0.0,100.0,15,2,0.0,15,6.1,0,0.4,4,,,,,66.4,69.0,71.4,,68.6,,,,,,,0,0,15,53.3,0.0,96.4,0.0,0,0,0,0,0,0,0.0,107,7.1,-0.91
Seth Boomer,77643,QB,TULSA,8,7.35,0,237,320,62.0,166,182,12.5,3.07,0,7,3.7,47.8,87,93,15.5,221,93.2,16,-0.12,71,,,,,29.6,49.3,75.1,,47.2,,,56.9,,,,3,4,231,34.4,24.7,79.4,10.4,23,16,0,13,9,17,7.4,1317,7.2,63.4,101,109,11.6,3.21,0,3,2.7,47.7,52,61,18.8,138,58.2,12,-0.14,45,,,,,28.4,58.7,72.4,,57.0,,,58.3,,,,1,3,145,34.1,24.6,75.9,10.9,15,14,0,7,5,10,6.9,792,7.3,66.3,80,89,11.0,2.61,1,4,4.3,55.1,49,33,7.5,99,41.8,4,-0.09,28,,,,,52.9,39.5,78.5,,40.7,,,53.1,,,,2,1,103,35.4,24.2,85.5,8.1,8,2,0,6,4,7,6.8,581,6.5,0,93.3,15,16,-1.3,1.38,1,0,0.0,87.5,14,1,0.0,16,6.8,0,-0.18,2,,,,,66.7,64.8,71.8,,64.5,,,,,,,0,0,17,37.5,0.0,81.3,0.0,0,0,0,0,0,0,0.0,56,3.5,-0.74
Wilton Speight,46399,QB,UCLA,7,3.16,0,237,324,69.3,189,199,10.0,2.99,3,5,2.4,59.3,118,98,9.9,228,96.2,13,0.01,79,,,,,44.7,71.2,85.4,,70.2,,,61.4,,,,3,6,240,46.1,13.3,79.9,5.7,13,15,0,4,6,7,2.9,1475,7.4,69.6,161,170,9.0,2.99,1,4,2.2,60.0,102,88,8.9,198,83.5,10,-0.05,64,,,,,41.4,68.9,85.0,,67.4,,,62.4,,,,3,5,210,44.4,14.8,75.3,6.6,13,14,0,5,3,6,2.9,1207,7.1,75.0,36,38,12.3,2.68,2,1,2.6,63.2,24,11,11.1,39,16.5,3,0.3,18,,,,,68.9,73.5,74.8,,74.3,,,57.3,,,,0,1,39,53.8,0.0,105.2,0.0,0,1,0,0,3,1,2.6,320,8.4,0,100.0,8,9,-0.6,1.69,0,0,0.0,88.9,8,1,0.0,9,3.8,0,-0.1,3,,,,,65.1,61.9,69.8,,61.7,,,,,,,0,0,9,44.4,0.0,90.7,0.0,0,0,0,1,0,0,0.0,52,5.8,1.32
Dorian Thompson-Robinson,83574,QB,UCLA,8,-0.66,0,230,324,67.6,170,185,9.8,3.1,2,6,3.1,56.2,104,102,9.6,218,94.8,11,-0.17,65,,,,,45.9,56.9,71.4,,53.8,54.3,,65.0,,,,1,4,227,36.7,19.6,81.5,9.2,20,13,0,12,7,11,4.8,1287,7.0,66.7,138,148,7.6,2.89,2,3,2.0,58.1,86,74,6.5,171,74.3,6,-0.27,47,,,,,64.4,49.4,69.3,,45.7,,,62.2,,,,1,4,178,33.3,16.2,71.2,7.0,12,9,0,7,4,8,4.5,816,5.5,78.0,41,47,14.4,3.3,1,3,6.1,57.4,27,28,15.6,59,25.7,5,0.02,19,,,,,25.4,77.4,76.5,,75.1,54.3,,69.6,,,,0,0,61,42.4,28.6,114.8,13.6,8,4,0,5,3,3,4.9,492,10.5,0,100.0,9,10,-4.2,1.15,1,0,0.0,90.0,9,0,0.0,12,5.2,0,-0.67,1,,,,,65.8,62.7,70.7,,62.4,,,,,,,0,0,12,16.7,,79.2,0.0,0,0,0,0,0,0,0.0,21,2.1,4.96
N'Kosi Perry,60446,QB,MIAMI FL,10,-2.78,0,230,220,56.6,143,153,13.9,2.95,4,17,10.6,39.9,61,59,24.7,192,83.5,20,-0.22,52,,,,,49.3,67.5,85.6,,64.8,54.3,,64.0,,,,1,6,202,30.7,28.8,70.7,8.9,17,22,0,5,13,10,5.0,859,5.6,65.8,149,158,9.6,2.61,4,14,8.5,51.3,81,50,17.3,190,82.6,17,-0.12,50,,,,,59.8,70.5,85.5,,67.9,,,64.2,,,,1,4,199,37.4,30.0,83.4,7.9,15,17,0,4,12,8,4.0,904,5.7,62.5,32,33,13.9,3.21,0,3,8.6,48.5,16,11,20.0,40,17.4,4,-0.4,9,,,,,32.5,61.6,75.0,,61.7,54.3,,60.7,,,,0,2,42,27.5,18.2,50.9,5.0,2,5,0,1,1,2,4.8,187,5.7,0,97.4,38,38,-2.8,1.57,0,0,0.0,94.7,36,2,2.7,38,16.5,1,0.09,7,,,,,68.9,75.0,74.7,,74.4,,,,,,,0,0,39,60.5,0.0,92.1,0.0,0,0,0,0,0,0,0.0,232,6.1,-0.05
A.J. Erdely,18567,QB,UAB,9,-3.51,0,228,321,66.7,150,167,14.2,3.05,5,19,11.0,53.9,90,72,10.0,194,85.1,10,0.03,68,,,,,63.5,76.3,74.6,,79.9,48.7,,59.4,,,,4,7,200,40.2,20.8,79.1,7.7,15,12,1,7,7,13,6.5,1428,8.6,69.6,125,136,12.0,2.83,5,14,9.9,57.4,78,51,10.3,155,68.0,9,0.04,52,,,,,71.8,73.9,73.4,,76.3,54.3,,60.6,,,,3,4,161,38.7,23.5,85.4,7.7,12,7,1,2,6,9,5.6,1081,7.9,69.0,58,65,9.0,2.91,1,5,7.7,53.8,35,25,12.5,73,32.0,5,-0.06,23,,,,,45.8,70.7,77.1,,73.0,55.9,,53.5,,,,1,3,73,42.5,12.0,63.2,4.1,3,5,0,5,1,4,5.5,473,7.3,0,81.8,33,34,-3.2,1.74,1,0,0.0,67.6,23,4,14.8,34,14.9,4,-0.11,7,,,,,68.5,56.3,74.2,,55.9,,,,,,,0,0,34,38.2,0.0,73.9,0.0,0,0,0,0,0,0,0.0,126,3.7,-0.67
Tyler Vitt,83566,QB,TEXAS ST,9,6.26,0,227,314,65.1,126,146,10.0,3.07,3,8,5.2,51.4,75,95,8.5,179,78.9,7,-0.25,53,,,,70.7,41.7,60.1,84.7,,52.6,90.2,,64.7,,,,8,9,188,36.3,17.9,61.1,9.5,17,16,0,9,7,14,7.4,908,6.2,73.8,107,122,6.2,2.83,3,6,4.7,59.0,72,67,8.9,140,61.7,7,-0.16,38,,,,,36.4,65.5,84.1,,61.4,54.3,,64.7,,,,5,3,147,37.1,11.9,79.5,5.7,8,10,0,7,6,7,4.8,647,5.3,71.6,67,72,6.8,2.69,0,2,2.7,65.3,47,34,2.1,87,38.3,1,-0.25,29,,,,70.7,71.7,52.6,77.9,,47.3,91.5,,61.5,,,,3,7,89,42.5,26.5,51.4,10.3,9,6,0,2,1,8,9.0,516,7.2,0,93.8,48,48,-2.9,1.69,0,0,0.0,91.7,44,6,2.2,48,21.1,1,-0.01,14,,,,,69.5,65.8,75.4,,65.3,,,,,,,0,1,48,50.0,0.0,80.1,0.0,0,0,0,0,0,1,2.1,255,5.3,1.87
Shawn Robinson,60551,QB,TCU,7,6.33,0,226,305,57.6,151,156,13.6,2.7,2,10,6.2,50.0,78,68,10.3,178,78.8,9,-0.1,53,,,,,27.9,58.5,84.8,,55.5,60.0,,62.6,,,,1,6,185,41.6,8.8,68.9,3.4,6,9,0,2,6,16,8.6,1060,6.8,63.9,133,136,10.7,2.53,1,9,6.4,58.8,80,48,5.9,156,69.0,5,-0.16,45,,,,,26.7,63.8,84.4,,61.3,,,62.6,,,,1,6,161,41.7,10.4,74.0,3.2,5,9,0,1,6,12,7.5,868,6.4,73.4,64,66,8.4,2.08,1,1,1.5,65.2,43,21,8.5,70,31.0,4,0.01,20,,,,,70.8,53.6,77.0,,53.6,60.0,,,,,,0,1,72,44.3,4.8,93.7,1.4,1,0,0,1,3,4,5.6,451,6.8,0,97.8,46,46,-2.0,1.23,0,0,0.0,97.8,45,1,0.0,48,21.2,0,-0.14,12,,,,,69.5,70.9,75.4,,70.3,,,,,,,0,1,48,45.8,0.0,102.8,0.0,0,0,0,0,3,0,0.0,259,5.6,0.45
Alex Hornibrook,34842,QB,WISCONSIN,9,0.29,0,226,349,68.1,191,200,11.6,2.88,1,9,4.3,57.5,115,57,11.5,216,95.6,15,-0.15,81,,,,,50.8,71.2,87.1,,70.1,,,53.1,,,,3,11,226,44.0,21.1,77.1,5.6,12,4,3,2,12,19,8.4,1443,7.2,68.5,165,174,10.4,2.72,1,7,3.8,58.0,101,50,10.6,189,83.6,12,-0.12,67,,,,,47.9,66.7,86.8,,65.0,,,55.1,,,,3,7,199,43.4,24.0,77.6,6.3,12,3,3,2,8,15,7.5,1195,6.9,71.4,35,36,13.4,3.51,0,2,5.4,58.3,21,8,16.0,37,16.4,4,-0.26,15,,,,,68.9,72.7,74.6,,73.3,,,57.3,,,,0,4,38,43.2,0.0,89.7,0.0,0,1,0,1,5,5,13.2,337,9.4,0,88.9,9,10,-3.0,2.21,0,0,0.0,70.0,7,1,12.5,10,4.4,1,0.13,1,,,,,65.6,36.1,70.4,,36.2,,,,,,,0,0,11,30.0,0.0,130.8,0.0,0,0,0,1,1,1,9.1,89,8.9,2.49
Sheriron Jones,33910,QB,NEW MEXICO,11,12.3,0,226,241,59.5,158,167,12.6,2.73,1,7,3.9,49.7,83,76,11.7,204,90.3,11,-0.18,62,,,,,70.7,52.8,47.5,,49.0,,,62.4,,,,0,12,218,37.3,18.4,67.0,6.9,14,23,1,7,11,14,6.4,1260,7.5,59.2,120,128,10.6,2.59,1,5,3.7,50.0,64,64,9.9,157,69.5,7,-0.22,45,,,,,69.0,49.2,57.6,,42.6,,,62.2,,,,1,9,166,33.1,15.6,57.0,6.4,10,19,1,5,6,11,6.6,826,6.5,74.6,59,61,11.3,2.64,0,2,3.0,62.3,38,12,13.6,69,30.5,6,0.05,26,,,,,70.9,68.1,24.1,,68.5,,,62.0,,,,0,3,75,50.7,33.3,112.0,5.8,4,4,0,2,7,3,4.0,589,9.7,0,100.0,21,22,-2.2,1.41,0,0,0.0,86.4,19,0,9.5,22,9.7,2,0.28,9,,,,,67.5,69.6,72.8,,69.2,,,,,,,1,0,23,50.0,,126.3,0.0,0,0,0,0,2,0,0.0,155,7.0,3.21
Collin Hill,40245,QB,COLO STATE,10,-15.13,0,223,144,68.9,161,176,11.2,2.67,5,7,3.7,55.1,97,79,12.6,199,89.2,14,-0.1,64,,,,16.8,64.2,69.7,68.2,,70.0,30.3,,61.3,,,,2,7,212,41.7,17.7,74.6,7.0,14,9,0,8,7,9,4.2,1261,7.2,74.4,133,140,8.2,2.54,4,3,2.0,64.3,90,54,9.1,162,72.6,9,-0.11,53,,,,,61.6,67.9,65.7,,67.2,,,61.3,,,,0,6,170,43.8,22.2,78.9,7.4,12,9,0,3,5,7,4.1,982,7.0,68.0,50,59,13.2,2.59,2,4,6.3,49.2,29,26,14.7,61,27.4,5,-0.12,17,,,,16.8,70.5,71.2,76.7,,72.9,30.3,,,,,,2,1,66,34.4,7.7,75.9,3.3,2,0,0,5,2,2,3.0,405,6.9,0,100.0,22,23,-2.3,1.55,1,0,0.0,95.7,22,1,0.0,24,10.8,0,-0.24,6,,,,,67.6,68.4,73.0,,68.0,,,,,,,0,0,24,37.5,0.0,89.5,0.0,0,0,0,0,0,0,0.0,126,5.5,-0.15
Steven Duncan,40211,QB,W KENTUCKY,9,-4.1,0,220,346,57.9,152,158,13.6,2.87,0,7,4.2,51.3,81,66,8.0,190,86.4,7,-0.17,53,,,,,40.7,56.5,53.2,,62.5,52.3,,49.0,,,,3,7,201,35.8,21.2,68.1,7.4,14,18,0,3,8,15,7.5,944,6.0,63.5,137,142,11.2,2.66,0,6,4.0,58.5,83,53,4.6,169,76.8,4,-0.14,46,,,,,59.1,63.4,84.5,,66.6,54.3,,54.4,,,,3,5,177,34.9,24.5,72.6,7.7,13,14,0,2,5,12,6.8,842,5.9,64.4,45,46,10.6,2.75,0,1,2.1,54.3,25,14,13.8,51,23.2,4,-0.21,14,,,,,24.1,42.2,0.0,,54.1,60.0,,33.2,,,,0,2,54,35.3,7.1,79.0,2.0,1,4,0,1,4,3,5.6,229,5.0,0,93.3,30,30,-2.0,1.53,0,0,0.0,90.0,27,1,3.6,30,13.6,1,-0.07,7,,,,,68.2,67.2,73.7,,66.7,,,,,,,0,0,30,30.0,0.0,95.4,0.0,0,0,0,0,1,0,0.0,127,4.2,-0.95
Zack Annexstad,83516,QB,MINNESOTA,7,15.55,0,206,225,56.5,147,161,14.7,2.58,8,7,4.0,44.7,72,69,13.3,180,87.4,11,-0.2,59,,,,,50.9,51.4,86.0,,50.5,68.4,,46.8,,,,2,7,193,38.3,24.6,66.8,9.4,17,2,0,4,8,17,8.8,1120,7.0,55.9,111,119,12.8,2.41,4,6,4.7,46.2,55,45,11.3,129,62.6,7,-0.24,37,,,,,58.8,48.9,85.3,,47.7,59.3,,49.6,,,,1,6,138,34.9,22.2,60.0,7.8,10,0,0,3,6,11,8.0,673,5.7,74.2,62,68,11.3,2.55,4,1,1.4,61.8,42,25,8.7,77,37.4,4,-0.01,31,,,,,48.2,62.4,77.9,,62.0,70.3,,53.1,,,,1,1,82,45.5,28.0,98.7,9.1,7,2,0,1,3,6,7.3,596,8.8,0,96.2,26,26,-1.6,1.68,0,0,0.0,96.2,25,1,0.0,26,12.6,0,0.19,9,,,,,67.9,68.8,73.4,,68.3,,,,,,,0,0,27,42.3,0.0,103.4,0.0,0,0,0,0,1,0,0.0,149,5.7,3.1
Kai Locksley,34333,QB,UTEP,9,-2.4,0,201,330,52.6,137,149,12.4,2.96,0,8,5.0,45.0,67,78,6.9,180,89.6,5,-0.52,44,,,,,47.4,50.5,70.8,,39.5,,,68.4,,,,3,9,191,31.1,25.6,46.0,11.1,20,11,0,9,3,12,6.3,889,6.0,56.0,109,117,11.1,2.93,1,8,6.3,49.6,58,58,4.9,144,71.6,3,-0.34,34,,,,,53.8,61.0,69.2,,52.4,,,68.2,,,,3,5,153,33.3,31.0,59.9,12.5,18,9,0,4,3,6,3.9,724,6.2,58.3,48,53,8.8,2.57,0,0,0.0,47.2,25,23,10.7,57,28.4,3,-0.95,11,,,,,41.1,28.8,76.2,,28.6,,,62.9,,,,0,4,59,26.3,8.7,26.5,3.5,2,2,0,5,0,6,10.2,210,4.0,0,85.0,20,21,-3.2,1.7,1,0,0.0,76.2,16,3,5.9,21,10.4,1,-0.39,1,,,,,67.2,63.2,72.5,,62.8,,,,,,,0,0,21,33.3,0.0,78.1,0.0,0,0,0,0,0,0,0.0,45,2.1,-2.23
Tommy Lazzaro,41906,QB,C MICHIGAN,6,9.09,0,198,134,58.1,124,133,12.8,2.9,2,3,2.1,47.4,63,80,12.5,185,93.4,9,-0.19,48,,,,,40.6,47.6,84.4,,47.8,46.3,,53.5,,,,2,10,195,33.5,26.3,44.8,11.4,21,31,1,4,5,12,6.2,704,5.3,58.3,103,109,11.8,2.88,0,1,0.9,46.8,51,68,15.0,154,77.8,9,-0.3,32,,,,,36.3,46.2,83.8,,43.9,,,55.0,,,,0,10,160,28.6,23.5,25.6,10.4,16,26,1,5,2,11,6.9,436,4.0,63.3,30,34,11.7,2.42,2,2,5.4,55.9,19,13,0.0,44,22.2,0,0.13,16,,,,,69.5,56.7,75.6,,61.3,46.3,,51.3,,,,2,0,48,47.7,38.5,112.6,11.4,5,5,0,0,3,1,2.1,282,8.3,0,77.8,9,10,-3.0,1.05,0,0,0.0,70.0,7,1,0.0,13,6.6,0,-0.42,0,,,,,66.0,52.9,71.0,,52.7,,,,,,,0,0,13,23.1,0.0,72.9,0.0,0,0,0,1,0,0,0.0,14,1.4,4.29
Conor Blount,39950,QB,OREGON ST,9,-5.18,0,198,265,70.1,117,131,9.3,3.05,1,5,3.6,59.5,78,75,4.9,174,87.9,4,0.06,54,,,,,23.1,67.2,84.4,,69.9,,,52.8,,,,3,2,180,42.5,32.0,95.6,13.8,24,19,0,10,7,7,3.9,1019,7.8,76.8,99,113,6.2,2.86,2,3,2.6,63.7,72,52,5.3,141,71.2,4,0.05,37,,,,,20.9,61.2,83.9,,65.7,,,47.6,,,,3,2,145,40.4,26.9,91.9,9.9,14,13,0,9,6,6,4.1,716,6.3,64.9,37,41,10.8,2.92,1,2,4.5,58.5,24,26,0.0,57,28.8,0,0.07,19,,,,,70.2,76.4,76.3,,73.0,,,70.3,,,,0,0,60,45.6,38.5,100.5,17.5,10,6,0,3,1,1,1.7,408,10.0,0,94.7,19,23,-3.8,1.66,2,0,0.0,78.3,18,3,0.0,24,12.1,0,0.05,2,,,,,67.7,62.4,73.1,,62.0,,,,,,,0,0,25,37.5,0.0,85.7,0.0,0,0,0,2,0,0,0.0,105,4.6,3.61
