player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_snap,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_snap,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_snap,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_snap,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Gardner Minshew,41401,QB,WASH STATE,13,15.97,0,708,341,78.6,528,574,7.5,3.01,10,23,3.9,67.2,386,169,7.0,618,87.3,29,0.21,224,,,,,77.0,88.3,89.6,,88.9,56.7,,52.9,,,,6,9,641,49.2,7.1,103.3,1.9,12,32,0,30,37,13,2.0,4170,7.3,79.4,548,592,6.6,2.86,9,22,3.6,68.8,407,153,6.4,634,89.5,28,0.2,229,,,,,77.2,86.8,89.7,,87.2,,,53.4,,,,6,9,653,49.1,7.2,102.4,1.7,11,31,0,29,35,13,2.0,4217,7.1,91.4,70,72,4.4,2.23,1,1,1.3,84.7,61,17,4.7,74,10.5,3,0.22,27,,,,,71.2,79.9,77.5,,80.3,56.7,,57.3,,,,0,0,81,52.7,5.9,112.6,1.4,1,1,0,1,3,0,0.0,553,7.7,0,93.3,90,90,-0.8,1.35,0,0,0.0,91.1,82,1,2.4,90,12.7,2,0.12,32,,,,,71.7,71.4,78.0,,70.7,,,,,,,0,0,93,51.1,0.0,98.1,0.0,0,0,0,0,1,0,0.0,600,6.7,0.56
Dwayne Haskins,41897,QB,OHIO STATE,14,-4.55,0,587,260,73.6,439,454,10.7,2.74,5,24,5.0,66.1,300,141,7.1,506,86.2,23,0.3,208,,,,,65.9,86.5,90.2,,86.7,,,58.1,,,,6,8,539,51.8,15.6,120.4,4.3,22,30,0,4,44,17,3.2,4173,9.2,78.2,399,413,7.5,2.53,3,17,3.9,70.9,293,112,6.1,454,77.3,19,0.31,176,,,,,76.1,80.0,90.0,,80.3,,,57.6,,,,6,6,481,51.5,13.4,117.0,3.3,15,26,0,5,33,11,2.3,3486,8.4,73.3,120,122,12.4,2.58,2,7,5.3,66.4,81,29,8.0,133,22.7,7,0.34,65,,,,,42.3,87.5,79.8,,86.1,,,62.2,,,,0,2,142,54.9,24.1,136.3,5.3,7,4,0,0,17,7,4.9,1351,11.1,0,96.3,80,81,-2.6,1.28,0,0,0.0,91.4,74,0,3.9,81,13.8,3,0.42,33,,,,,71.3,62.0,77.6,,61.4,,,,,,,0,0,84,55.6,,125.5,0.0,0,0,0,1,6,1,1.2,664,8.2,2.63
Cole McDonald,38584,QB,HAWAII,13,-4.56,0,559,180,64.0,425,439,13.0,2.58,4,25,5.4,54.9,241,114,11.4,511,91.4,31,0.16,176,,,,,51.4,76.9,64.8,,77.4,57.0,,60.8,,,,3,10,538,46.8,31.6,99.2,7.0,36,36,2,5,35,26,4.8,3612,8.2,66.5,400,412,11.7,2.56,3,22,5.1,59.2,244,108,8.3,482,86.2,22,0.16,156,,,,,49.9,73.2,63.7,,73.8,,,60.4,,,,2,10,505,46.9,32.4,98.9,7.3,35,35,2,5,30,25,5.0,3291,8.0,70.8,72,75,10.8,2.03,2,3,3.8,54.7,41,8,19.6,77,13.8,10,0.18,30,,,,,71.2,85.6,77.6,,84.1,57.0,,63.1,,,,1,0,82,44.2,12.5,106.7,1.3,1,1,0,0,6,1,1.2,584,7.8,0,95.7,47,48,-1.6,1.5,1,0,0.0,91.7,44,2,2.2,48,8.6,1,0.12,10,,,,,69.6,69.5,75.5,,68.9,,,,,,,0,0,49,43.8,0.0,96.4,0.0,0,0,0,0,1,0,0.0,263,5.5,-0.2
Clayton Thorson,46501,QB,NWESTERN,14,-13.73,0,547,256,69.7,406,447,9.9,2.88,10,16,3.3,57.9,259,169,8.5,500,91.4,24,-0.09,153,,,,,64.8,73.7,90.0,,70.8,,,67.1,,,,6,15,532,41.2,21.9,77.0,7.4,37,16,3,22,17,15,2.8,3000,6.7,74.1,371,402,8.0,2.77,8,13,3.1,63.2,254,140,7.6,448,81.9,21,-0.12,131,,,,,63.0,78.3,89.7,,75.2,,,68.7,,,,3,14,472,40.8,22.1,77.4,6.9,31,14,3,17,12,12,2.5,2622,6.5,62.5,80,91,11.2,2.75,2,3,3.0,49.5,45,30,10.0,99,18.1,5,-0.04,28,,,,,72.2,52.7,78.6,,53.6,,,53.1,,,,3,1,107,38.4,20.0,82.9,6.1,6,2,0,6,5,3,2.8,564,6.2,0,93.3,45,46,-3.6,1.53,0,0,0.0,87.0,40,1,4.8,47,8.6,2,-0.28,6,,,,,69.5,66.7,75.4,,66.2,,,,,,,0,0,47,31.9,0.0,83.5,0.0,0,0,0,1,0,0,0.0,186,4.0,-0.32
Taylor Cornelius,46535,QB,OKLA STATE,13,-1.21,0,544,262,63.6,390,412,15.0,3.0,6,23,5.2,53.6,221,158,10.9,464,85.3,27,0.18,175,,,,66.7,64.0,76.5,89.9,,68.9,62.8,,78.9,,,,5,13,499,45.7,19.0,94.7,6.5,30,20,0,11,31,23,4.6,3555,8.6,68.3,265,276,11.9,2.59,3,9,3.1,59.8,165,88,8.8,309,56.8,16,0.2,105,,,,70.7,71.9,72.9,89.0,,62.8,83.3,,78.0,,,,4,8,328,46.3,18.2,89.5,5.2,16,12,0,4,15,11,3.4,2093,7.6,69.5,197,210,13.0,2.97,3,14,6.2,58.6,123,73,10.2,235,43.2,14,0.17,94,,,,66.7,54.9,77.3,82.6,,74.9,62.8,,69.7,,,,2,5,253,48.5,19.2,105.4,6.0,14,8,0,8,17,12,4.7,1887,9.0,0,97.2,72,74,-1.8,1.32,0,0,0.0,90.5,67,3,4.3,80,14.7,3,0.22,24,,,,70.7,71.4,71.2,77.6,,68.6,83.3,,,,,,1,0,82,56.3,0.0,95.1,0.0,0,0,0,1,1,0,0.0,425,5.7,1.41
Brent Stockstill,29288,QB,MIDDLE TN,14,-10.76,0,534,224,69.8,308,325,9.9,2.72,3,28,8.2,60.9,198,145,7.9,396,74.2,17,0.03,132,,,,,38.4,75.4,80.7,,77.6,,,56.9,,,,2,10,413,41.2,26.9,96.7,9.8,39,32,1,11,21,14,3.4,2744,8.4,80.4,312,325,4.5,2.28,5,15,4.5,73.5,239,96,4.8,374,70.0,12,0.05,117,,,,,56.1,72.8,80.3,,75.4,,,55.7,,,,1,10,385,43.9,27.1,103.9,7.0,26,22,1,6,22,9,2.3,2404,7.4,71.5,130,137,9.9,2.57,0,13,8.9,62.8,86,53,7.5,160,30.0,7,0.06,53,,,,66.7,33.0,76.2,80.7,,75.0,61.9,,63.7,,,,1,0,169,41.3,24.5,103.4,8.1,13,10,0,6,6,6,3.6,1131,8.3,0,96.3,134,137,-2.8,1.35,2,0,0.0,92.7,127,4,1.6,138,25.8,2,0.12,38,,,,66.7,73.2,70.6,79.8,,69.7,61.9,,,,,,0,0,141,48.6,0.0,107.8,0.0,0,0,0,1,7,1,0.7,791,5.8,0.86
J'mar Smith,27005,QB,LA TECH,13,5.26,0,525,208,63.1,331,362,13.3,2.88,5,16,4.2,48.9,177,170,15.3,421,80.2,32,-0.06,126,,,,,49.5,70.2,80.4,,72.2,,,51.6,,,,3,10,442,39.2,18.8,73.6,7.6,32,26,2,21,13,17,3.8,2635,7.3,70.4,341,371,9.2,2.57,6,13,3.4,55.8,207,139,13.8,419,79.8,33,-0.06,112,,,,,49.4,68.9,89.2,,70.2,,,52.6,,,,3,7,438,38.2,16.5,78.1,5.5,23,24,2,19,11,14,3.2,2449,6.6,70.0,90,95,11.1,2.82,1,3,3.1,61.1,58,37,7.9,106,20.2,5,0.04,39,,,,,72.2,72.8,36.5,,74.1,,,52.7,,,,0,3,110,42.5,24.3,85.2,8.5,9,2,0,4,4,3,2.7,714,7.5,0,94.0,100,104,-2.7,1.58,2,0,0.0,84.6,88,6,6.4,104,19.8,6,0.01,25,,,,,72.1,69.0,78.6,,68.3,,,,,,,0,0,106,38.5,0.0,94.2,0.0,0,0,0,2,2,0,0.0,528,5.1,0.92
David Blough,46508,QB,PURDUE,13,-12.11,0,512,273,68.4,354,375,10.5,2.8,8,21,5.2,61.1,229,145,5.4,426,83.2,13,0.07,132,,,,66.7,55.2,71.7,80.3,,72.9,78.6,,52.3,,,,1,10,455,45.1,20.0,94.4,6.8,29,22,0,12,19,15,3.3,3205,8.5,77.0,318,335,6.8,2.43,9,13,3.6,69.3,232,97,5.3,373,72.9,13,0.07,119,,,,66.7,52.2,69.4,79.2,,70.7,89.1,,51.8,,,,0,6,395,45.8,21.6,103.2,5.6,21,17,0,8,18,11,2.8,2648,7.9,64.2,120,126,11.2,2.92,0,8,5.8,57.1,72,51,6.5,139,27.1,5,0.07,37,,,,,73.4,75.5,80.2,,75.3,52.7,,59.4,,,,1,4,151,43.9,15.7,88.8,5.8,8,5,0,5,7,4,2.6,1022,8.1,0,95.2,84,86,-2.6,1.39,1,0,0.0,87.2,75,3,6.3,86,16.8,5,0.06,24,,,,,71.6,72.3,77.9,,71.6,,,,,,,0,0,91,46.5,0.0,112.5,0.0,0,0,0,1,6,0,0.0,465,5.4,0.21
Mason Fine,46629,QB,N TEXAS,13,4.79,0,511,251,78.0,387,431,9.8,2.86,10,31,6.8,61.9,267,153,11.6,473,92.6,35,0.14,171,,,,,42.6,90.7,81.5,,91.3,57.0,,51.7,,,,2,5,499,46.7,15.0,102.1,4.9,23,18,0,32,25,15,3.0,3505,8.1,79.3,347,383,8.0,2.75,6,23,5.7,63.4,243,132,11.6,423,82.8,32,0.12,151,,,,,39.3,85.6,80.6,,88.2,57.0,,51.7,,,,2,5,446,46.8,15.2,97.9,4.7,20,18,0,28,18,15,3.4,3008,7.9,81.6,76,85,11.6,2.8,4,8,9.0,68.2,58,24,6.5,88,17.2,4,0.3,35,,,,,71.6,93.1,78.0,,92.6,,,,,,,0,0,92,51.1,12.5,132.2,3.4,3,0,0,5,9,0,0.0,775,9.1,0,97.2,36,37,-3.5,1.48,0,0,0.0,91.9,34,3,2.9,38,7.4,1,0.25,15,,,,,68.9,70.7,74.7,,70.2,,,,,,,0,0,39,57.9,0.0,116.0,0.0,0,0,0,1,2,0,0.0,278,7.5,1.27
Brett Rypien,46487,QB,BOISE ST,13,1.94,0,509,120,72.8,383,397,12.8,2.66,5,34,8.4,64.2,255,148,8.6,455,89.4,24,0.24,163,,,,,41.7,90.1,73.7,,90.1,51.6,,62.3,,,,1,7,468,50.1,21.6,106.8,7.0,32,26,0,8,28,20,4.3,3342,8.4,74.1,348,363,10.7,2.49,6,27,7.3,66.7,242,122,6.2,411,80.7,16,0.23,148,,,,,45.3,86.8,72.6,,86.5,55.7,,63.2,,,,1,5,421,49.1,22.1,106.3,6.6,27,20,0,8,23,17,4.0,2903,8.0,77.9,86,86,12.4,2.74,0,7,7.9,68.6,59,29,11.9,98,19.3,8,0.2,31,,,,,52.0,81.3,78.4,,82.2,54.3,,57.6,,,,0,2,101,52.0,20.7,115.6,6.1,6,6,0,0,7,4,4.0,802,9.3,0,90.2,51,52,-2.6,1.51,1,0,0.0,88.5,46,3,0.0,54,10.6,0,0.07,16,,,,,69.9,57.8,76.3,,58.0,57.2,,,,,,0,0,54,46.3,33.3,108.6,1.9,1,0,0,0,2,1,1.9,363,7.0,1.33
